Gene	r	p	Name
ACOT4	0.617	6.41e-06	acyl-CoA thioesterase 4
EDARADD	0.616	6.61e-06	EDAR associated death domain
SPAG9	0.607	9.65e-06	sperm associated antigen 9
XYLT2	0.606	1.02e-05	xylosyltransferase 2
CISD3	0.606	1.03e-05	CDGSH iron sulfur domain 3
ERAL1	0.606	1.05e-05	Era like 12S mitochondrial rRNA chaperone 1
UBE2Z	0.604	1.14e-05	ubiquitin conjugating enzyme E2 Z
PLXNA3	0.603	1.17e-05	plexin A3
EPN3	0.602	1.19e-05	epsin 3
REM2	0.602	1.23e-05	RRAD and GEM like GTPase 2
MLLT6	0.597	1.52e-05	MLLT6, PHD finger containing
RARA	0.593	1.73e-05	retinoic acid receptor alpha
LUC7L3	0.588	2.12e-05	LUC7 like 3 pre-mRNA splicing factor
EPS8L1	0.588	2.17e-05	EPS8 like 1
TBC1D16	0.586	2.3e-05	TBC1 domain family member 16
SUPT6H	0.585	2.4e-05	SPT6 homolog, histone chaperone and transcription elongation factor
CRAT	0.584	2.53e-05	carnitine O-acetyltransferase
NUFIP2	0.583	2.65e-05	nuclear FMR1 interacting protein 2
FBXO15	0.964	2.88e-05	F-box protein 15
NLK	0.578	3.25e-05	nemo like kinase
OSBPL2	0.578	3.27e-05	oxysterol binding protein like 2
TBC1D2	0.567	4.97e-05	TBC1 domain family member 2
PHLDA2	0.566	5.01e-05	pleckstrin homology like domain family A member 2
HID1	0.566	5.08e-05	HID1 domain containing
PIP4K2B	0.563	5.59e-05	phosphatidylinositol-5-phosphate 4-kinase type 2 beta
N4BP3	0.56	6.35e-05	NEDD4 binding protein 3
THRA	0.61	7.85e-05	thyroid hormone receptor alpha
SLC38A1	0.554	7.91e-05	solute carrier family 38 member 1
ITGB6	0.55	9e-05	integrin subunit beta 6
HN1	0.548	9.76e-05	Jupiter microtubule associated homolog 1
TLCD1	0.603	9.85e-05	TLC domain containing 1
DLGAP4	0.548	9.87e-05	DLG associated protein 4
ECI2	0.545	0.00011	enoyl-CoA delta isomerase 2
SOX13	0.544	0.000114	SRY-box transcription factor 13
TMEM62	0.543	0.000118	transmembrane protein 62
SRCIN1	0.542	0.000121	SRC kinase signaling inhibitor 1
SOCS7	0.944	0.000133	suppressor of cytokine signaling 7
ZNF467	0.538	0.00014	zinc finger protein 467
CSTF1	0.538	0.00014	cleavage stimulation factor subunit 1
TMEM97	0.537	0.000141	transmembrane protein 97
HSP90AA1	0.537	0.000143	heat shock protein 90 alpha family class A member 1
POF1B	0.537	0.000144	POF1B actin binding protein
CDC25B	0.774	0.000162	cell division cycle 25B
RRM1	0.532	0.000172	ribonucleotide reductase catalytic subunit M1
POLDIP2	0.531	0.000174	DNA polymerase delta interacting protein 2
TMEM199	0.529	0.000185	transmembrane protein 199
SLC12A2	0.529	0.000188	solute carrier family 12 member 2
FBXL20	0.527	0.000201	F-box and leucine rich repeat protein 20
TBC1D30	0.519	0.000262	TBC1 domain family member 30
SEC16A	0.518	0.000265	SEC16 homolog A, endoplasmic reticulum export factor
PPP1R10	0.518	0.000268	protein phosphatase 1 regulatory subunit 10
FASN	0.517	0.000277	fatty acid synthase
TMEM167A	0.515	0.000291	transmembrane protein 167A
CDR2L	0.515	0.000297	cerebellar degeneration related protein 2 like
LASP1	0.514	0.000301	LIM and SH3 protein 1
ALOX15B	0.514	0.000302	arachidonate 15-lipoxygenase type B
GOLGA1	0.513	0.000316	golgin A1
INF2	0.513	0.000318	inverted formin 2
ZDHHC20	0.511	0.000334	zinc finger DHHC-type palmitoyltransferase 20
GSDMA	0.507	0.000382	gasdermin A
ZNF551	0.923	0.000388	zinc finger protein 551
IVNS1ABP	0.504	0.000422	influenza virus NS1A binding protein
KIAA1524	0.503	0.000431	cellular inhibitor of PP2A
DCTN5	0.503	0.000434	dynactin subunit 5
ZNF652	0.502	0.000441	zinc finger protein 652
VAPB	0.502	0.000445	VAMP associated protein B and C
FLOT1	0.501	0.000452	flotillin 1
KMO	0.501	0.000462	kynurenine 3-monooxygenase
VPS13B	0.499	0.000486	vacuolar protein sorting 13 homolog B
EHHADH	0.499	0.000487	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase
UBR1	0.498	0.000503	ubiquitin protein ligase E3 component n-recognin 1
PCGF2	0.498	0.000506	polycomb group ring finger 2
P2RY2	0.55	0.000517	purinergic receptor P2Y2
CWC25	0.496	0.000535	CWC25 spliceosome associated protein homolog
SUV420H2	0.494	0.00056	lysine methyltransferase 5C
GALNT6	0.494	0.000568	polypeptide N-acetylgalactosaminyltransferase 6
DECR2	0.493	0.000574	2,4-dienoyl-CoA reductase 2
SP3	-0.493	0.000587	Sp3 transcription factor
ACTA2	0.545	0.000591	actin alpha 2, smooth muscle
FAM83H	0.49	0.00064	family with sequence similarity 83 member H
CLYBL	-0.49	0.000642	citramalyl-CoA lyase
MRPS21	0.542	0.000644	mitochondrial ribosomal protein S21
MCM9	0.615	0.000647	minichromosome maintenance 9 homologous recombination repair factor
C9orf41	0.489	0.000657	carnosine N-methyltransferase 1
SLC27A4	0.488	0.000666	solute carrier family 27 member 4
SLC37A2	0.487	0.000695	solute carrier family 37 member 2
HSPA8	0.486	0.000703	heat shock protein family A (Hsp70) member 8
NME1	0.485	0.000743	NME/NM23 nucleoside diphosphate kinase 1
KIAA0100	0.485	0.000744	KIAA0100
CCDC6	0.484	0.000746	coiled-coil domain containing 6
DIDO1	0.484	0.000751	death inducer-obliterator 1
RABIF	0.483	0.000768	RAB interacting factor
RELT	0.533	0.000808	RELT TNF receptor
ACOX1	0.481	0.000826	acyl-CoA oxidase 1
HMGCR	0.481	0.000827	3-hydroxy-3-methylglutaryl-CoA reductase
CUX1	0.481	0.000827	cut like homeobox 1
CUX2	-0.904	0.00083	cut like homeobox 2
TSPAN31	0.602	0.000884	tetraspanin 31
PDSS2	0.478	0.000891	decaprenyl diphosphate synthase subunit 2
RNASEL	0.478	0.000901	ribonuclease L
DGKD	0.529	0.000903	diacylglycerol kinase delta
ACSF2	0.476	0.000942	acyl-CoA synthetase family member 2
ELMOD2	0.476	0.000943	ELMO domain containing 2
PEX26	0.475	0.00097	peroxisomal biogenesis factor 26
PPP1R1B	0.475	0.000979	protein phosphatase 1 regulatory inhibitor subunit 1B
NEK5	0.708	0.00101	NIMA related kinase 5
S100A14	0.474	0.00102	S100 calcium binding protein A14
CARD14	0.473	0.00105	caspase recruitment domain family member 14
MED24	0.472	0.00105	mediator complex subunit 24
IPO9	0.472	0.00106	importin 9
PMEPA1	0.472	0.00107	prostate transmembrane protein, androgen induced 1
CPSF3	0.471	0.00109	cleavage and polyadenylation specific factor 3
PLCB3	0.47	0.00113	phospholipase C beta 3
SLC25A29	0.47	0.00113	solute carrier family 25 member 29
FAF2	0.469	0.00115	Fas associated factor family member 2
ABCC3	0.468	0.00118	ATP binding cassette subfamily C member 3
VEZT	0.468	0.00119	vezatin, adherens junctions transmembrane protein
PITHD1	-0.467	0.00123	PITH domain containing 1
PANK3	0.517	0.00124	pantothenate kinase 3
ZNF496	0.517	0.00124	zinc finger protein 496
CCDC157	0.699	0.00125	coiled-coil domain containing 157
SLC52A2	0.516	0.00127	solute carrier family 52 member 2
ARV1	0.464	0.00131	ARV1 homolog, fatty acid homeostasis modulator
GATAD1	0.464	0.00132	GATA zinc finger domain containing 1
SNX25	0.464	0.00132	sorting nexin 25
TBC1D20	0.461	0.00143	TBC1 domain family member 20
PNKD	0.46	0.00149	PNKD metallo-beta-lactamase domain containing
MSL3	0.459	0.0015	MSL complex subunit 3
C10orf12	0.459	0.0015	ligand dependent nuclear receptor corepressor
TNFRSF12A	0.885	0.00152	TNF receptor superfamily member 12A
SEC14L1	0.458	0.00155	SEC14 like lipid binding 1
ITFG2	-0.457	0.0016	integrin alpha FG-GAP repeat containing 2
EIF5	0.457	0.0016	eukaryotic translation initiation factor 5
TRIP12	0.457	0.0016	thyroid hormone receptor interactor 12
CDC42SE1	0.507	0.0016	CDC42 small effector 1
CSTF2T	0.456	0.00163	cleavage stimulation factor subunit 2 tau variant
BUB1	0.456	0.00166	BUB1 mitotic checkpoint serine/threonine kinase
TRIM32	0.455	0.0017	tripartite motif containing 32
C9orf85	0.504	0.00171	chromosome 9 open reading frame 85
SERINC3	0.454	0.00171	serine incorporator 3
USP38	0.454	0.00173	ubiquitin specific peptidase 38
ACOT8	0.453	0.00177	acyl-CoA thioesterase 8
RMND5B	0.681	0.00185	required for meiotic nuclear division 5 homolog B
COQ10B	0.451	0.00186	coenzyme Q10B
ZNF451	0.45	0.00191	zinc finger protein 451
CROT	0.45	0.00191	carnitine O-octanoyltransferase
PRKACA	-0.45	0.00192	protein kinase cAMP-activated catalytic subunit alpha
SPOP	0.449	0.00198	speckle type BTB/POZ protein
SUSD2	0.449	0.00199	sushi domain containing 2
TOP2A	0.448	0.00201	DNA topoisomerase II alpha
PITPNC1	0.448	0.00203	phosphatidylinositol transfer protein cytoplasmic 1
CDS1	0.448	0.00204	CDP-diacylglycerol synthase 1
SNX19	0.448	0.00204	sorting nexin 19
DCUN1D4	0.446	0.00211	defective in cullin neddylation 1 domain containing 4
N6AMT1	0.446	0.00212	N-6 adenine-specific DNA methyltransferase 1
USP40	0.446	0.00213	ubiquitin specific peptidase 40
CSNK1D	0.445	0.00218	casein kinase 1 delta
WDR26	0.444	0.00227	WD repeat domain 26
NR1H3	-0.87	0.00232	nuclear receptor subfamily 1 group H member 3
WDR82	0.443	0.00232	WD repeat domain 82
TRAF3IP2	0.443	0.00233	TRAF3 interacting protein 2
SLC30A4	0.442	0.00238	solute carrier family 30 member 4
KNDC1	0.669	0.00242	kinase non-catalytic C-lobe domain containing 1
NINJ1	0.438	0.00261	ninjurin 1
G6PD	0.437	0.00266	glucose-6-phosphate dehydrogenase
MYRIP	0.864	0.00268	myosin VIIA and Rab interacting protein
B3GNTL1	0.437	0.00271	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1
IFT20	0.437	0.00272	intraflagellar transport 20
FAM193B	0.435	0.00282	family with sequence similarity 193 member B
CCDC115	0.435	0.00283	coiled-coil domain containing 115
TMEM135	0.435	0.00283	transmembrane protein 135
ASRGL1	0.434	0.00288	asparaginase and isoaspartyl peptidase 1
SEMA4C	0.434	0.0029	semaphorin 4C
TESK1	0.434	0.00292	testis associated actin remodelling kinase 1
NARF	0.434	0.00292	nuclear prelamin A recognition factor
CDK5RAP2	0.433	0.00297	CDK5 regulatory subunit associated protein 2
CSNK2A1	0.433	0.003	casein kinase 2 alpha 1
URGCP	0.433	0.003	upregulator of cell proliferation
MARCHF1	0.432	0.00304	membrane associated ring-CH-type finger 1
SPTLC2	0.432	0.00305	serine palmitoyltransferase long chain base subunit 2
MYADM	0.549	0.00305	myeloid associated differentiation marker
TSTD2	0.432	0.00305	thiosulfate sulfurtransferase like domain containing 2
IPPK	0.432	0.00306	inositol-pentakisphosphate 2-kinase
EFHC2	0.858	0.00307	EF-hand domain containing 2
SPTLC1	0.432	0.00308	serine palmitoyltransferase long chain base subunit 1
RPA3	-0.431	0.0031	replication protein A3
CCDC109B	0.431	0.00313	mitochondrial calcium uniporter dominant negative subunit beta
HECTD1	0.431	0.00316	HECT domain E3 ubiquitin protein ligase 1
UBAP2	0.43	0.00317	ubiquitin associated protein 2
SLC9A3R1	0.43	0.00318	SLC9A3 regulator 1
NDOR1	0.43	0.0032	NADPH dependent diflavin oxidoreductase 1
PDXDC1	0.43	0.0032	pyridoxal dependent decarboxylase domain containing 1
CUTA	-0.43	0.00322	cutA divalent cation tolerance homolog
FSTL3	0.43	0.00323	follistatin like 3
GNPAT	0.429	0.00324	glyceronephosphate O-acyltransferase
FA2H	0.477	0.00324	fatty acid 2-hydroxylase
GNAI3	-0.429	0.00324	G protein subunit alpha i3
KPNA1	0.428	0.00334	karyopherin subunit alpha 1
HEATR2	0.428	0.00338	dynein axonemal assembly factor 5
C15orf57	0.427	0.00341	coiled-coil domain containing 32
ASCC1	0.427	0.00341	activating signal cointegrator 1 complex subunit 1
NUDCD3	0.427	0.00342	NudC domain containing 3
KIDINS220	0.427	0.00342	kinase D interacting substrate 220
MICAL2	0.427	0.00343	microtubule associated monooxygenase, calponin and LIM domain containing 2
EIF2AK1	0.474	0.00346	eukaryotic translation initiation factor 2 alpha kinase 1
MMP10	0.427	0.00348	matrix metallopeptidase 10
HIST1H1T	0.542	0.00348	H1.6 linker histone, cluster member
AHSA1	0.427	0.00348	activator of HSP90 ATPase activity 1
PPP1R37	0.426	0.0035	protein phosphatase 1 regulatory subunit 37
ALK	0.852	0.00353	ALK receptor tyrosine kinase
GALNT7	0.426	0.00355	polypeptide N-acetylgalactosaminyltransferase 7
TMEM189	0.54	0.00361	plasmanylethanolamine desaturase 1
PPP2R5E	0.424	0.00372	protein phosphatase 2 regulatory subunit B'epsilon
ATP7B	0.423	0.00376	ATPase copper transporting beta
PCDHGA10	0.538	0.00376	protocadherin gamma subfamily A, 10
C11orf30	0.423	0.00379	EMSY transcriptional repressor, BRCA2 interacting
TRAPPC6B	0.423	0.00381	trafficking protein particle complex subunit 6B
RAB11A	0.422	0.00386	RAB11A, member RAS oncogene family
ZSCAN29	0.422	0.00392	zinc finger and SCAN domain containing 29
GNPNAT1	0.421	0.00396	glucosamine-phosphate N-acetyltransferase 1
KIAA1919	0.488	0.00397	major facilitator superfamily domain containing 4B
RAB6A	0.421	0.00397	RAB6A, member RAS oncogene family
EAPP	0.42	0.00406	E2F associated phosphoprotein
CREB3L4	0.419	0.00415	cAMP responsive element binding protein 3 like 4
KLHL15	-0.419	0.00415	kelch like family member 15
THUMPD3	0.419	0.00416	THUMP domain containing 3
GPC6	0.419	0.00417	glypican 6
PEX16	0.418	0.00425	peroxisomal biogenesis factor 16
UHRF1BP1L	0.418	0.00428	UHRF1 binding protein 1 like
GOLGA5	0.418	0.00431	golgin A5
SLC39A11	0.417	0.00434	solute carrier family 39 member 11
WASH4P	-0.417	0.00439	WASP family homolog 4, pseudogene
TGM4	0.842	0.00444	transglutaminase 4
COL4A3BP	0.416	0.00451	ceramide transporter 1
SMAD7	0.841	0.00451	SMAD family member 7
GGA3	0.416	0.00452	golgi associated, gamma adaptin ear containing, ARF binding protein 3
DNAJC8	-0.416	0.00452	DnaJ heat shock protein family (Hsp40) member C8
CDS2	0.416	0.00453	CDP-diacylglycerol synthase 2
BRWD3	0.529	0.00457	bromodomain and WD repeat domain containing 3
RRN3	0.415	0.00464	RRN3 homolog, RNA polymerase I transcription factor
IGHV3-20	0.461	0.00465	immunoglobulin heavy variable 3-20
FAM129B	0.414	0.00466	niban apoptosis regulator 2
MRPS7	0.414	0.00468	mitochondrial ribosomal protein S7
B4GALT7	0.414	0.00469	beta-1,4-galactosyltransferase 7
ZNF587	0.527	0.0047	zinc finger protein 587
KCNK1	0.414	0.00474	potassium two pore domain channel subfamily K member 1
IKBKAP	0.414	0.00475	elongator acetyltransferase complex subunit 1
TM7SF2	0.413	0.00476	transmembrane 7 superfamily member 2
SH3BP5L	0.413	0.00477	SH3 binding domain protein 5 like
TTI2	0.413	0.00483	TELO2 interacting protein 2
SHB	0.413	0.00486	SH2 domain containing adaptor protein B
SLC45A4	-0.836	0.005	solute carrier family 45 member 4
ALKBH1	0.411	0.00503	alkB homolog 1, histone H2A dioxygenase
DCAF12	0.457	0.00504	DDB1 and CUL4 associated factor 12
ATP6V0A4	0.411	0.00508	ATPase H+ transporting V0 subunit a4
MFN2	-0.411	0.00508	mitofusin 2
RPL32	0.41	0.00512	ribosomal protein L32
CLSTN3	0.41	0.00512	calsyntenin 3
PRKAG2	-0.41	0.00517	protein kinase AMP-activated non-catalytic subunit gamma 2
TRIP4	0.41	0.00519	thyroid hormone receptor interactor 4
SLC38A2	0.41	0.00521	solute carrier family 38 member 2
KRT72	0.409	0.00526	keratin 72
DMTF1	0.409	0.00528	cyclin D binding myb like transcription factor 1
G3BP2	0.409	0.00529	G3BP stress granule assembly factor 2
NAT14	0.408	0.00534	N-acetyltransferase 14 (putative)
USF2	-0.408	0.00535	upstream transcription factor 2, c-fos interacting
C10orf88	0.408	0.00541	chromosome 10 open reading frame 88
SPTBN1	-0.408	0.00542	spectrin beta, non-erythrocytic 1
ZNF713	0.831	0.00548	zinc finger protein 713
ATF7IP	0.407	0.00553	activating transcription factor 7 interacting protein
EHMT1	0.406	0.00561	euchromatic histone lysine methyltransferase 1
ZCCHC2	0.406	0.00566	zinc finger CCHC-type containing 2
FAM102A	0.406	0.00567	family with sequence similarity 102 member A
S100A16	0.405	0.00572	S100 calcium binding protein A16
ORAOV1	0.405	0.00575	LTO1 maturation factor of ABCE1
FAM109A	0.405	0.00577	PH domain containing endocytic trafficking adaptor 1
NEDD4	0.405	0.00578	NEDD4 E3 ubiquitin protein ligase
C18orf32	0.404	0.00589	chromosome 18 open reading frame 32
SYMPK	0.404	0.00597	symplekin scaffold protein
KMT2D	0.404	0.00598	lysine methyltransferase 2D
C1orf27	0.403	0.00599	odr-4 GPCR localization factor homolog
FAR1	0.404	0.00599	fatty acyl-CoA reductase 1
FER1L6	0.826	0.00602	fer-1 like family member 6
KRT38	0.826	0.00603	keratin 38
CNIH3	0.449	0.00603	cornichon family AMPA receptor auxiliary protein 3
NAA38	-0.403	0.0061	N-alpha-acetyltransferase 38, NatC auxiliary subunit
GNAO1	-0.402	0.00615	G protein subunit alpha o1
USP24	-0.402	0.0062	ubiquitin specific peptidase 24
PABPC1L	0.823	0.00639	poly(A) binding protein cytoplasmic 1 like
FAM222B	0.616	0.00651	family with sequence similarity 222 member B
TUBB2A	0.4	0.00653	tubulin beta 2A class IIa
SAMD11	0.445	0.00659	sterile alpha motif domain containing 11
PRDM10	0.399	0.00659	PR/SET domain 10
SIX1	0.51	0.00661	SIX homeobox 1
SUCO	0.399	0.00662	SUN domain containing ossification factor
RAB22A	0.399	0.00663	RAB22A, member RAS oncogene family
DOLK	0.399	0.00667	dolichol kinase
NFIX	-0.399	0.00668	nuclear factor I X
C2orf54	0.444	0.00669	mab-21 like 4
NRCAM	0.398	0.00671	neuronal cell adhesion molecule
DGKH	0.398	0.00674	diacylglycerol kinase eta
ADCY3	-0.398	0.00676	adenylate cyclase 3
FAM115A	0.398	0.00678	TRPM8 channel associated factor 1
RHBDD2	0.397	0.00687	rhomboid domain containing 2
CIZ1	0.397	0.0069	CDKN1A interacting zinc finger protein 1
DNAJC5	0.396	0.0071	DnaJ heat shock protein family (Hsp40) member C5
PI4KB	0.396	0.00712	phosphatidylinositol 4-kinase beta
PAIP2	0.396	0.00713	poly(A) binding protein interacting protein 2
HDAC5	-0.396	0.00714	histone deacetylase 5
RAB20	0.396	0.00715	RAB20, member RAS oncogene family
ETF1	0.395	0.00717	eukaryotic translation termination factor 1
OSBPL5	0.395	0.00728	oxysterol binding protein like 5
ARFRP1	0.395	0.00731	ADP ribosylation factor related protein 1
SLC7A8	0.394	0.00734	solute carrier family 7 member 8
KREMEN1	0.609	0.00735	kringle containing transmembrane protein 1
IGF2R	0.394	0.00747	insulin like growth factor 2 receptor
IPO4	0.393	0.0075	importin 4
C15orf39	0.393	0.00754	chromosome 15 open reading frame 39
STIP1	0.393	0.00754	stress induced phosphoprotein 1
GGPS1	0.393	0.00755	geranylgeranyl diphosphate synthase 1
BRF1	0.393	0.00761	BRF1 RNA polymerase III transcription initiation factor subunit
ZNF444	0.393	0.00761	zinc finger protein 444
RAB24	0.392	0.00772	RAB24, member RAS oncogene family
ZNF804A	0.812	0.00779	zinc finger protein 804A
HIST3H2BB	-0.391	0.00787	H2B.U histone 1
GRB2	0.391	0.00788	growth factor receptor bound protein 2
PCDHGA7	0.441	0.00795	protocadherin gamma subfamily A, 7
RAD23A	-0.391	0.00799	RAD23 homolog A, nucleotide excision repair protein
CFB	0.846	0.00804	complement factor B
PRKCD	0.39	0.00804	protein kinase C delta
ST3GAL1	0.39	0.00813	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
ACYP2	-0.39	0.00814	acylphosphatase 2
RPA1	-0.39	0.00815	replication protein A1
SNAPC3	0.39	0.00815	small nuclear RNA activating complex polypeptide 3
SGSM1	0.81	0.00816	small G protein signaling modulator 1
LRRC26	0.39	0.00817	leucine rich repeat containing 26
ZDHHC8	-0.389	0.0083	zinc finger DHHC-type palmitoyltransferase 8
MAVS	0.389	0.00834	mitochondrial antiviral signaling protein
BCL7C	-0.389	0.00834	BAF chromatin remodeling complex subunit BCL7C
RABEPK	0.388	0.00851	Rab9 effector protein with kelch motifs
MED1	0.387	0.00863	mediator complex subunit 1
DAGLB	0.387	0.00865	diacylglycerol lipase beta
JMJD6	0.387	0.00866	jumonji domain containing 6, arginine demethylase and lysine hydroxylase
SPTAN1	-0.387	0.00871	spectrin alpha, non-erythrocytic 1
PTGES2	0.386	0.00878	prostaglandin E synthase 2
DYRK2	0.494	0.00881	dual specificity tyrosine phosphorylation regulated kinase 2
COMMD5	0.386	0.00881	COMM domain containing 5
AGPAT9	-0.386	0.00883	glycerol-3-phosphate acyltransferase 3
TRIP11	0.386	0.00887	thyroid hormone receptor interactor 11
NAV1	0.385	0.009	neuron navigator 1
PMS2	0.385	0.00903	PMS1 homolog 2, mismatch repair system component
SLC39A13	0.385	0.00909	solute carrier family 39 member 13
FAM83D	0.384	0.00912	family with sequence similarity 83 member D
NR1H2	-0.384	0.00915	nuclear receptor subfamily 1 group H member 2
DCAF5	0.384	0.00919	DDB1 and CUL4 associated factor 5
GNL1	-0.384	0.00921	G protein nucleolar 1 (putative)
ING1	-0.383	0.00932	inhibitor of growth family member 1
WIPF2	0.383	0.00943	WAS/WASL interacting protein family member 2
GTF3C1	0.383	0.00943	general transcription factor IIIC subunit 1
TGFBR1	0.383	0.00949	transforming growth factor beta receptor 1
TRPM4	0.382	0.00955	transient receptor potential cation channel subfamily M member 4
PLEKHA6	0.382	0.00969	pleckstrin homology domain containing A6
CD47	-0.381	0.00972	CD47 molecule
SLC46A1	0.381	0.00982	solute carrier family 46 member 1
HIBCH	-0.381	0.00982	3-hydroxyisobutyryl-CoA hydrolase
THAP3	-0.488	0.00987	THAP domain containing 3
ZNF692	0.798	0.00991	zinc finger protein 692
PIGS	0.381	0.00992	phosphatidylinositol glycan anchor biosynthesis class S
MID1IP1	0.486	0.0101	MID1 interacting protein 1
ANKFY1	-0.379	0.0101	ankyrin repeat and FYVE domain containing 1
PDXP	-0.38	0.0101	pyridoxal phosphatase
ZNF341	0.486	0.0101	zinc finger protein 341
TRAPPC13	0.38	0.0101	trafficking protein particle complex subunit 13
TPRN	0.38	0.0101	taperin
MOB4	0.797	0.0101	MOB family member 4, phocein
PGBD2	0.589	0.0101	piggyBac transposable element derived 2
MID2	0.379	0.0102	midline 2
RPA2	-0.379	0.0103	replication protein A2
SCMH1	-0.378	0.0104	Scm polycomb group protein homolog 1
TMEM86A	0.587	0.0104	transmembrane protein 86A
SNX33	0.378	0.0104	sorting nexin 33
LDHC	0.422	0.0104	lactate dehydrogenase C
YBEY	0.378	0.0105	ybeY metalloendoribonuclease
BZW2	0.378	0.0105	basic leucine zipper and W2 domains 2
PEX1	0.377	0.0106	peroxisomal biogenesis factor 1
ELK3	-0.377	0.0106	ETS transcription factor ELK3
RAB3D	0.377	0.0107	RAB3D, member RAS oncogene family
ATP5L	-0.377	0.0107	ATP synthase membrane subunit g
TXNL4A	0.376	0.0109	thioredoxin like 4A
TMEM87B	0.376	0.011	transmembrane protein 87B
NOD2	-0.792	0.011	nucleotide binding oligomerization domain containing 2
ZDHHC16	0.481	0.011	zinc finger DHHC-type palmitoyltransferase 16
TRIM11	0.375	0.0111	tripartite motif containing 11
NPLOC4	0.375	0.0112	NPL4 homolog, ubiquitin recognition factor
MICU1	0.375	0.0112	mitochondrial calcium uptake 1
PCBP2	0.375	0.0112	poly(rC) binding protein 2
RTFDC1	0.374	0.0113	replication termination factor 2
GK5	0.418	0.0113	glycerol kinase 5
SHROOM2	0.374	0.0113	shroom family member 2
HSF2	0.479	0.0115	heat shock transcription factor 2
SEC24B	0.374	0.0115	SEC24 homolog B, COPII coat complex component
GALNT10	0.374	0.0115	polypeptide N-acetylgalactosaminyltransferase 10
STAT5A	-0.373	0.0115	signal transducer and activator of transcription 5A
PLEKHG3	0.373	0.0116	pleckstrin homology and RhoGEF domain containing G3
FLAD1	0.373	0.0117	flavin adenine dinucleotide synthetase 1
CCDC85C	0.373	0.0117	coiled-coil domain containing 85C
AAR2	0.373	0.0117	AAR2 splicing factor
TMEM165	0.373	0.0117	transmembrane protein 165
ZNF665	0.787	0.0118	zinc finger protein 665
STAT5B	-0.372	0.0119	signal transducer and activator of transcription 5B
HMGN2	-0.372	0.0119	high mobility group nucleosomal binding domain 2
RALA	0.371	0.012	RAS like proto-oncogene A
DHFR	0.371	0.0121	dihydrofolate reductase
ABL1	0.371	0.0121	ABL proto-oncogene 1, non-receptor tyrosine kinase
KCTD2	0.414	0.0121	potassium channel tetramerization domain containing 2
NIPSNAP3B	-0.371	0.0121	nipsnap homolog 3B
CASP3	0.371	0.0121	caspase 3
NEK6	0.371	0.0121	NIMA related kinase 6
CTDP1	0.371	0.0121	CTD phosphatase subunit 1
DUSP6	0.475	0.0122	dual specificity phosphatase 6
PLK2	0.785	0.0122	polo like kinase 2
XPNPEP3	0.37	0.0123	X-prolyl aminopeptidase 3
YWHAQ	0.37	0.0123	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
RAC3	0.37	0.0123	Rac family small GTPase 3
MTERFD2	0.37	0.0123	mitochondrial transcription termination factor 4
GSK3B	0.37	0.0124	glycogen synthase kinase 3 beta
SLC39A9	0.413	0.0124	solute carrier family 39 member 9
