Gene	p avg	Name
CREB3L4	5.05252e-05	cAMP responsive element binding protein 3 like 4
GALNT6	5.07e-05	polypeptide N-acetylgalactosaminyltransferase 6
B4GALNT2	5.466e-05	beta-1,4-N-acetyl-galactosaminyltransferase 2
AKT1	6.3475e-05	AKT serine/threonine kinase 1
LRRC26	6.39e-05	leucine rich repeat containing 26
SERHL	6.5795e-05	serine hydrolase like (pseudogene)
C9orf152	6.665e-05	chromosome 9 open reading frame 152
CWC25	6.719391205537048e-05	CWC25 spliceosome associated protein homolog
CTNNA1	6.93e-05	catenin alpha 1
TSPAN15	6.950000000000001e-05	tetraspanin 15
CREB3L1	7.695e-05	cAMP responsive element binding protein 3 like 1
ABL1	7.725000000000001e-05	ABL proto-oncogene 1, non-receptor tyrosine kinase
SPRED2	7.950000000000001e-05	sprouty related EVH1 domain containing 2
HN1L	8.474051034088657e-05	Jupiter microtubule associated homolog 2
RREB1	8.877e-05	ras responsive element binding protein 1
CATSPERB	0.00010757990455624785	cation channel sperm associated auxiliary subunit beta
PAX9	0.00010984999999999999	paired box 9
KRT8	0.000115165	keratin 8
CAPN13	0.00011899999999999999	calpain 13
CDC6	0.00011921	cell division cycle 6
CRAT	0.00012175	carnitine O-acetyltransferase
FGFR4	0.00012708	fibroblast growth factor receptor 4
GALNT10	0.00012859999999999998	polypeptide N-acetylgalactosaminyltransferase 10
ZDHHC18	0.00014011184900103189	zinc finger DHHC-type palmitoyltransferase 18
JUP	0.00014011499999999998	junction plakoglobin
PCGF2	0.00015187099999999998	polycomb group ring finger 2
PEX11A	0.00015769999999999998	peroxisomal biogenesis factor 11 alpha
RWDD3	0.00015795622346071042	RWD domain containing 3
PRPF38B	0.0001599562032062989	pre-mRNA processing factor 38B
TBCB	0.0001610524863541311	tubulin folding cofactor B
FAM110A	0.00016474371897810496	family with sequence similarity 110 member A
GPRC5C	0.00016665	G protein-coupled receptor class C group 5 member C
ABCC11	0.00016902014999999997	ATP binding cassette subfamily C member 11
RNF220	0.0001758151579968823	ring finger protein 220
IKZF3	0.0001819749900755663	IKAROS family zinc finger 3
EHMT1	0.000184684	euchromatic histone lysine methyltransferase 1
GGT1	0.00018495251860395711	gamma-glutamyltransferase 1
TMEM132A	0.00018874406591247537	transmembrane protein 132A
DBNDD2	0.00019289529327605652	dysbindin domain containing 2
TMUB2	0.00019479831559120517	transmembrane and ubiquitin like domain containing 2
RPAIN	0.00019482617282149395	RPA interacting protein
AR	0.00019748299999999998	androgen receptor
EXOSC5	0.00019844532671371267	exosome component 5
CCDC162P	0.00019877997318822163	coiled-coil domain containing 162, pseudogene
KLHDC7A	0.00021679999999999998	kelch domain containing 7A
SOCS7	0.00021743325413110424	suppressor of cytokine signaling 7
ZNF529	0.00022194395321876626	zinc finger protein 529
TMEM231	0.00023093919957623048	transmembrane protein 231
TRIM62	0.0002525	tripartite motif containing 62
LAMTOR5	0.00025607545812236625	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5
GDF5	0.000257	growth differentiation factor 5
EPN3	0.00026851595000000004	epsin 3
KIAA1244	0.00026889000000000004	ARFGEF family member 3
CEACAM6	0.000269	CEA cell adhesion molecule 6
TP53INP2	0.00027181	tumor protein p53 inducible nuclear protein 2
CRISP3	0.0002725	cysteine rich secretory protein 3
TOX3	0.000274	TOX high mobility group box family member 3
DHCR24	0.0002759	24-dehydrocholesterol reductase
GOLGA2	0.0002765	golgin A2
ALDH4A1	0.00027995	aldehyde dehydrogenase 4 family member A1
KMO	0.00028946500000000003	kynurenine 3-monooxygenase
PKN1	0.000290228286282283	protein kinase N1
C15orf41	0.00030295	CDAN1 interacting nuclease 1
MUC1	0.0003052825316801817	mucin 1, cell surface associated
CLCA2	0.00031259	chloride channel accessory 2
C9orf169	0.00032062999999999997	cysteine rich tail 1
HYI	0.00032483118131106656	hydroxypyruvate isomerase (putative)
RAB27B	0.00032963000000000003	RAB27B, member RAS oncogene family
N4BP3	0.0003389	NEDD4 binding protein 3
PLA2G4F	0.00033967	phospholipase A2 group IVF
METTL4	0.000348	methyltransferase 4, N6-adenosine
SDHB	0.0003527150359925242	succinate dehydrogenase complex iron sulfur subunit B
ZNF341	0.0003536268461797411	zinc finger protein 341
TFCP2L1	0.0003595	transcription factor CP2 like 1
ZBTB42	0.000359925	zinc finger and BTB domain containing 42
SH3BP4	0.000362	SH3 domain binding protein 4
ABCA12	0.000381035	ATP binding cassette subfamily A member 12
EZR	0.00038652907779235257	ezrin
CYB561	0.000387	cytochrome b561
TMEM62	0.00039	transmembrane protein 62
TOR1AIP2	0.00039068285863454194	torsin 1A interacting protein 2
ZNF710	0.00039540270698752055	zinc finger protein 710
PRR15	0.0004152	proline rich 15
TRAF4	0.0004292126905566598	TNF receptor associated factor 4
HRASLS2	0.00043835	phospholipase A and acyltransferase 2
SOX13	0.0004489859430467801	SRY-box transcription factor 13
FOXA1	0.0004525	forkhead box A1
GNRH1	0.000454	gonadotropin releasing hormone 1
MYO18A	0.00045426671973759124	myosin XVIIIA
GGTLC1	0.000472946780550288	gamma-glutamyltransferase light chain 1
TANC2	0.000474	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2
SLC44A4	0.0005146	solute carrier family 44 member 4
RARA	0.00052074	retinoic acid receptor alpha
DMAP1	0.0005217035327855551	DNA methyltransferase 1 associated protein 1
TRIM3	0.000537	tripartite motif containing 3
SLC9A6	0.00055255	solute carrier family 9 member A6
SUPT6H	0.0005535528055141257	SPT6 homolog, histone chaperone and transcription elongation factor
HPRT1	0.0005595	hypoxanthine phosphoribosyltransferase 1
TRIL	0.0005652745	TLR4 interactor with leucine rich repeats
GATA2	0.0005695360017078129	GATA binding protein 2
C8orf46	0.00057005	vexin
CNBP	0.000590333530159837	CCHC-type zinc finger nucleic acid binding protein
PM20D2	0.0006205	peptidase M20 domain containing 2
PROCA1	0.0006448371846452036	protein interacting with cyclin A1
C1orf109	0.0006588000000000001	chromosome 1 open reading frame 109
SENP3	0.0006594211323433043	SUMO specific peptidase 3
RAP1A	0.0006595458027374199	RAP1A, member of RAS oncogene family
SRD5A3	0.0006663692246365112	steroid 5 alpha-reductase 3
MMGT1	0.000677241027371062	membrane magnesium transporter 1
HAUS1	0.000678249409636441	HAUS augmin like complex subunit 1
ATP2C2	0.0006835	ATPase secretory pathway Ca2+ transporting 2
ZNF232	0.0006895	zinc finger protein 232
VPS37C	0.000693	VPS37C subunit of ESCRT-I
RNASEH2B	0.000707056670657521	ribonuclease H2 subunit B
PLCB3	0.0007222076937718	phospholipase C beta 3
DGKD	0.000727	diacylglycerol kinase delta
CPD	0.00072725	carboxypeptidase D
ECHDC1	0.0007534050229769211	ethylmalonyl-CoA decarboxylase 1
UBL7	0.0007570777156680275	ubiquitin like 7
BTBD2	0.000760253567435421	BTB domain containing 2
TBX10	0.0007838999999999999	T-box transcription factor 10
LDLRAD1	0.0007885	low density lipoprotein receptor class A domain containing 1
ME2	0.0007925	malic enzyme 2
DUSP4	0.0007930000000000001	dual specificity phosphatase 4
BIK	0.000806	BCL2 interacting killer
NRK	0.0008105	Nik related kinase
ARHGAP32	0.0008118	Rho GTPase activating protein 32
SNX11	0.0008140529306069727	sorting nexin 11
C3orf17	0.0008257425383604246	nucleolus and neural progenitor protein
TBC1D23	0.0008309690507105731	TBC1 domain family member 23
SUSD2	0.0008501518696845995	sushi domain containing 2
LYSMD2	0.0008569752024191516	LysM domain containing 2
MFAP3	0.000859502133993845	microfibril associated protein 3
NSMAF	0.0008816087051644947	neutral sphingomyelinase activation associated factor
RPL23P8	0.0008843119269185711	ribosomal protein L23 pseudogene 8
MARK2	0.0008879852281251403	microtubule affinity regulating kinase 2
LEO1	0.000892	LEO1 homolog, Paf1/RNA polymerase II complex component
TIRAP	0.0009062196628170293	TIR domain containing adaptor protein
KDM2B	0.0009072913321302215	lysine demethylase 2B
ERGIC1	0.00090915	endoplasmic reticulum-golgi intermediate compartment 1
SNX7	0.000915100242266979	sorting nexin 7
CEPT1	0.0009199183060362558	choline/ethanolamine phosphotransferase 1
BCL2L1	0.00093895	BCL2 like 1
C9orf47	0.000954017326244711	sphingosine-1-phosphate receptor 3
ERAL1	0.0009652403563869115	Era like 12S mitochondrial rRNA chaperone 1
TARBP1	0.000978	TAR (HIV-1) RNA binding protein 1
KATNAL2	0.0010042	katanin catalytic subunit A1 like 2
RAB26	0.00100625	RAB26, member RAS oncogene family
PRODH	0.001014	proline dehydrogenase 1
RFNG	0.001019714699023945	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
RGMB	0.0010208700000000001	repulsive guidance molecule BMP co-receptor b
RPA2	0.001023228718014916	replication protein A2
SERINC2	0.00103	serine incorporator 2
PCDH20	0.001031	protocadherin 20
TNFAIP1	0.0010316054979466359	TNF alpha induced protein 1
TM7SF2	0.001034	transmembrane 7 superfamily member 2
SLC35F5	0.0010391321676049329	solute carrier family 35 member F5
ACBD7	0.001043	acyl-CoA binding domain containing 7
KIAA0100	0.001050056	KIAA0100
PLEKHJ1	0.001050827330028189	pleckstrin homology domain containing J1
BRD3	0.0010565972965200985	bromodomain containing 3
ABHD11	0.00106365	abhydrolase domain containing 11
NUDT6	0.0010641374223366664	nudix hydrolase 6
BRPF3	0.0010675	bromodomain and PHD finger containing 3
INPP5J	0.001069265	inositol polyphosphate-5-phosphatase J
LOC100996634	0.001069997172321765	
ARHGAP8	0.0010840000000000001	Rho GTPase activating protein 8
KLHL26	0.001109226127964939	kelch like family member 26
ZNF789	0.00111545	zinc finger protein 789
SIDT1	0.001129	SID1 transmembrane family member 1
KIAA2013	0.001135249423094184	KIAA2013
SRPK3	0.0011489088142620923	SRSF protein kinase 3
C6orf25	0.00115	megakaryocyte and platelet inhibitory receptor G6b
SLC35C2	0.00115988803376035	solute carrier family 35 member C2
NHEJ1	0.001183385566879934	non-homologous end joining factor 1
TRIT1	0.001209	tRNA isopentenyltransferase 1
DDX20	0.0012124145678854682	DEAD-box helicase 20
CNTNAP2	0.001213465	contactin associated protein 2
PRPSAP2	0.0012223111048932907	phosphoribosyl pyrophosphate synthetase associated protein 2
ZNF91	0.0012266999999999998	zinc finger protein 91
SLC39A14	0.0012323936447343176	solute carrier family 39 member 14
ELMO2	0.0012685	engulfment and cell motility 2
GPR160	0.0012775	G protein-coupled receptor 160
ADCY3	0.0012820205300674557	adenylate cyclase 3
MRPL34	0.0012876290866758163	mitochondrial ribosomal protein L34
KLHL21	0.001289	kelch like family member 21
FLOT2	0.0012894060078713328	flotillin 2
GPATCH3	0.001295770705400276	G-patch domain containing 3
HOXC11	0.00132	homeobox C11
VSTM2L	0.0013358083034518838	V-set and transmembrane domain containing 2 like
RP9P	0.0013556	RP9 pseudogene
ADCY6	0.0013915	adenylate cyclase 6
ASAH2	0.0013988413599009156	N-acylsphingosine amidohydrolase 2
TGFBR1	0.001407124717096649	transforming growth factor beta receptor 1
DDX6	0.0014267955603272015	DEAD-box helicase 6
SRMS	0.001435	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites
CRNKL1	0.0014455568920135327	crooked neck pre-mRNA splicing factor 1
SREBF1	0.0014910791503788886	sterol regulatory element binding transcription factor 1
RPS16	0.0014936798783188778	ribosomal protein S16
OSBPL5	0.001509	oxysterol binding protein like 5
ADRA2C	0.001515	adrenoceptor alpha 2C
ENAH	0.0015256849126002868	ENAH actin regulator
SPTLC2	0.00155004385	serine palmitoyltransferase long chain base subunit 2
PLXNB2	0.00156255	plexin B2
SAMD11	0.0015702605	sterile alpha motif domain containing 11
DPY19L2P2	0.0015975	DPY19L2 pseudogene 2
CXXC1	0.0016001334060110359	CXXC finger protein 1
ATP5A1	0.0016112351968231662	ATP synthase F1 subunit alpha
OSBPL2	0.0016250000000000001	oxysterol binding protein like 2
DLG3	0.0016316999999999998	discs large MAGUK scaffold protein 3
TMC5	0.0016365	transmembrane channel like 5
ARCN1	0.0016580326712936585	archain 1
ODC1	0.0016849734241090283	ornithine decarboxylase 1
XYLT2	0.0017352156198302171	xylosyltransferase 2
FA2H	0.001743	fatty acid 2-hydroxylase
TP53I13	0.0017491942332238204	tumor protein p53 inducible protein 13
BEX2	0.0017523365513840289	brain expressed X-linked 2
STS	0.0017525	steroid sulfatase
PLEKHG4	0.0017575000000000002	pleckstrin homology and RhoGEF domain containing G4
XRCC1	0.0017627562060855797	X-ray repair cross complementing 1
TSPAN9	0.0017925	tetraspanin 9
LOC100131347	0.0017983993339726815	
ZNF576	0.00183819617212514	zinc finger protein 576
EDAR	0.0018414279858876737	ectodysplasin A receptor
FAM110C	0.001843	family with sequence similarity 110 member C
CYP4Z1	0.001848725	cytochrome P450 family 4 subfamily Z member 1
NDUFS5	0.0018549999999999999	NADH:ubiquinone oxidoreductase subunit S5
TAOK1	0.0018587500000000002	TAO kinase 1
OGG1	0.0018674058294964424	8-oxoguanine DNA glycosylase
SLC25A18	0.001885	solute carrier family 25 member 18
BCAS2	0.001894964269859612	BCAS2 pre-mRNA processing factor
RIMS1	0.001896	regulating synaptic membrane exocytosis 1
PBX1	0.0019005	PBX homeobox 1
SYF2	0.0019022442566870757	SYF2 pre-mRNA splicing factor
CACNA1H	0.001906	calcium voltage-gated channel subunit alpha1 H
ZNF609	0.0019065	zinc finger protein 609
OTUB2	0.0019150307530851002	OTU deubiquitinase, ubiquitin aldehyde binding 2
CD47	0.00193545	CD47 molecule
SLC12A2	0.001936	solute carrier family 12 member 2
EPGN	0.0019389934929278357	epithelial mitogen
ERMP1	0.0019450000000000001	endoplasmic reticulum metallopeptidase 1
NUFIP2	0.0019451885	nuclear FMR1 interacting protein 2
KIAA1598	0.001947576912530235	shootin 1
MBP	0.0019524999999999998	myelin basic protein
IFT57	0.001956	intraflagellar transport 57
SREBF2	0.0019749999999999998	sterol regulatory element binding transcription factor 2
CBLC	0.001977792176630026	Cbl proto-oncogene C
ROPN1	0.00199	rhophilin associated tail protein 1
SLC37A1	0.002029	solute carrier family 37 member 1
PDCD5	0.0020325	programmed cell death 5
EIF3K	0.0020372447227573628	eukaryotic translation initiation factor 3 subunit K
RAB1B	0.0020525	RAB1B, member RAS oncogene family
PROM2	0.00205435	prominin 2
PIGY	0.00209865	phosphatidylinositol glycan anchor biosynthesis class Y
LFNG	0.0021449999999999998	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
C17orf49	0.0021579669094413043	chromosome 17 open reading frame 49
C2orf54	0.002190238	mab-21 like 4
SULT2B1	0.0021930499999999998	sulfotransferase family 2B member 1
C9orf41	0.0022007275090471764	carnosine N-methyltransferase 1
PSMB6	0.002202271165819724	proteasome 20S subunit beta 6
PPIL2	0.00221	peptidylprolyl isomerase like 2
MLPH	0.0022125	melanophilin
PGRMC2	0.002221482952521862	progesterone receptor membrane component 2
RAB19	0.0022326437959909445	RAB19, member RAS oncogene family
ZFAND2B	0.0022357781436766677	zinc finger AN1-type containing 2B
ITGB5	0.00224	integrin subunit beta 5
NOB1	0.002268541849312051	NIN1 (RPN12) binding protein 1 homolog
DNAJC22	0.002275	DnaJ heat shock protein family (Hsp40) member C22
FBXO7	0.002326296183157119	F-box protein 7
UROD	0.002348736056900636	uroporphyrinogen decarboxylase
SLC16A2	0.00235	solute carrier family 16 member 2
RNF8	0.002355	ring finger protein 8
FBXL19-AS1	0.002390176117263586	FBXL19 antisense RNA 1
SMIM12	0.0024121219157735964	small integral membrane protein 12
ARRDC2	0.0024173580695620745	arrestin domain containing 2
TMEM141	0.0024200000000000003	transmembrane protein 141
ADPRHL2	0.002433496564305207	ADP-ribosylserine hydrolase
UBA2	0.002451	ubiquitin like modifier activating enzyme 2
GPR98	0.0024638000000000004	adhesion G protein-coupled receptor V1
ARHGEF6	0.002464572528907256	Rac/Cdc42 guanine nucleotide exchange factor 6
TTC19	0.002469856487907496	tetratricopeptide repeat domain 19
TMEM63B	0.00247805866422682	transmembrane protein 63B
C15orf39	0.002478447941271605	chromosome 15 open reading frame 39
MARVELD2	0.0025015	MARVEL domain containing 2
C11orf73	0.0025170251878604832	heat shock protein nuclear import factor hikeshi
FOXC1	0.00253295	forkhead box C1
PP14571	0.0025599999999999998	
RBBP8	0.0025885	RB binding protein 8, endonuclease
FAM19A3	0.0025930000000000003	TAFA chemokine like family member 3
ST6GALNAC1	0.002594005835163139	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1
BRK1	0.002602719618270417	BRICK1 subunit of SCAR/WAVE actin nucleating complex
ZNF358	0.0026060299647830635	zinc finger protein 358
EIF3E	0.0026108935480505108	eukaryotic translation initiation factor 3 subunit E
HNRNPA3	0.00262	heterogeneous nuclear ribonucleoprotein A3
SEMA3F	0.002625	semaphorin 3F
THAP11	0.002633011093221978	THAP domain containing 11
PRKAB1	0.0026569563229699106	protein kinase AMP-activated non-catalytic subunit beta 1
AGR2	0.00266465	anterior gradient 2, protein disulphide isomerase family member
AKR1B10	0.002685	aldo-keto reductase family 1 member B10
CCDC6	0.0027155	coiled-coil domain containing 6
GNL1	0.0027159444103928626	G protein nucleolar 1 (putative)
KLK15	0.0027267974195779743	kallikrein related peptidase 15
SNHG6	0.002733	small nucleolar RNA host gene 6
PEMT	0.002743215847160616	phosphatidylethanolamine N-methyltransferase
KRT18	0.002755	keratin 18
PPP3CC	0.002755931797334621	protein phosphatase 3 catalytic subunit gamma
CMBL	0.0027600000000000003	carboxymethylenebutenolidase homolog
C2CD4B	0.002795	C2 calcium dependent domain containing 4B
SNED1	0.0028025000000000003	sushi, nidogen and EGF like domains 1
SLC22A23	0.0028154251653518736	solute carrier family 22 member 23
BCAS1	0.00282025	brain enriched myelin associated protein 1
LOC145837	0.002825	
WNT7B	0.0028250000000000003	Wnt family member 7B
EPPK1	0.0028545000000000003	epiplakin 1
CDC42BPB	0.0028548297288347327	CDC42 binding protein kinase beta
EMG1	0.0028608121912484727	EMG1 N1-specific pseudouridine methyltransferase
QPRT	0.002861	quinolinate phosphoribosyltransferase
MED21	0.0028771032725653416	mediator complex subunit 21
REEP6	0.002895	receptor accessory protein 6
TIMM44	0.0029082521632107445	translocase of inner mitochondrial membrane 44
CCDC115	0.0029088011773929787	coiled-coil domain containing 115
ACVR1B	0.00291705	activin A receptor type 1B
CEBPG	0.0029195000000000002	CCAAT enhancer binding protein gamma
IRS2	0.002920122833109298	insulin receptor substrate 2
PMAIP1	0.0029235000000000003	phorbol-12-myristate-13-acetate-induced protein 1
AKT2	0.0029389705620796376	AKT serine/threonine kinase 2
GGTLC2	0.0029585727424874266	gamma-glutamyltransferase light chain 2
FIBCD1	0.00296365	fibrinogen C domain containing 1
DCAF15	0.0029740249695140034	DDB1 and CUL4 associated factor 15
THNSL1	0.002996706659200915	threonine synthase like 1
CLTC	0.003001	clathrin heavy chain
ALDH3B2	0.003003795	aldehyde dehydrogenase 3 family member B2
GABRD	0.0030199999999999997	gamma-aminobutyric acid type A receptor subunit delta
SMARCE1	0.0030242782368101085	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1
TGFB3	0.003028	transforming growth factor beta 3
MYBL1	0.003029	MYB proto-oncogene like 1
PTPN2	0.003045	protein tyrosine phosphatase non-receptor type 2
POPDC3	0.003055	popeye domain containing 3
PSCA	0.003067701820998005	prostate stem cell antigen
ZNF345	0.00309627566818676	zinc finger protein 345
DOLPP1	0.00313	dolichyldiphosphatase 1
NUPL2	0.0031355000000000003	nucleoporin 42
STT3B	0.0031358588776522972	STT3 oligosaccharyltransferase complex catalytic subunit B
SEC16A	0.003145000104	SEC16 homolog A, endoplasmic reticulum export factor
CDH19	0.0031645	cadherin 19
SF3A3	0.0031755	splicing factor 3a subunit 3
TP53I11	0.0031807000000000003	tumor protein p53 inducible protein 11
FYCO1	0.0032040000000000003	FYVE and coiled-coil domain autophagy adaptor 1
NEU4	0.003205	neuraminidase 4
KCTD9	0.003213975	potassium channel tetramerization domain containing 9
DHRS13	0.003223112082748324	dehydrogenase/reductase 13
CEACAM5	0.0032394999999999998	CEA cell adhesion molecule 5
SAMD12	0.003241876849325758	sterile alpha motif domain containing 12
TXNRD3	0.0032765299615075995	thioredoxin reductase 3
SGK3	0.00334	serum/glucocorticoid regulated kinase family member 3
NPNT	0.003385	nephronectin
MRPL10	0.003397572133211633	mitochondrial ribosomal protein L10
OC90	0.0034231934204231023	otoconin 90
UBR1	0.003467	ubiquitin protein ligase E3 component n-recognin 1
TP53RK	0.003562948326353509	TP53 regulating kinase
GAL3ST2	0.0035795	galactose-3-O-sulfotransferase 2
MYPN	0.003591097410752226	myopalladin
TMEM150A	0.00359307251162361	transmembrane protein 150A
ARHGEF12	0.0035947503927591593	Rho guanine nucleotide exchange factor 12
GBF1	0.003595	golgi brefeldin A resistant guanine nucleotide exchange factor 1
MYC	0.0036	MYC proto-oncogene, bHLH transcription factor
PRTFDC1	0.0036085	phosphoribosyl transferase domain containing 1
MAGOH	0.003609822586247911	mago homolog, exon junction complex subunit
SYT17	0.003627	synaptotagmin 17
LINC01341	0.0036930641464633968	long intergenic non-protein coding RNA 1341
CISD3	0.0037115	CDGSH iron sulfur domain 3
RAB15	0.003745	RAB15, member RAS oncogene family
CHST4	0.0037527000000000003	carbohydrate sulfotransferase 4
SDC1	0.0037615	syndecan 1
MFSD2A	0.00377	major facilitator superfamily domain containing 2A
AMBP	0.003774	alpha-1-microglobulin/bikunin precursor
CDKL5	0.0037764692458995453	cyclin dependent kinase like 5
PRLR	0.0037795	prolactin receptor
FBL	0.003783818251594981	fibrillarin
SLC39A9	0.0038531950951202244	solute carrier family 39 member 9
HDAC5	0.0038532165966280478	histone deacetylase 5
NXPH1	0.003875743295291049	neurexophilin 1
MIA3	0.0038900000000000002	MIA SH3 domain ER export factor 3
EDEM3	0.003988858447282126	ER degradation enhancing alpha-mannosidase like protein 3
CNTLN	0.00401	centlein
SLC39A11	0.004012369581630977	solute carrier family 39 member 11
SLC9A1	0.004027051603090908	solute carrier family 9 member A1
RANGRF	0.004034561790177572	RAN guanine nucleotide release factor
LRRC1	0.0040614883711287625	leucine rich repeat containing 1
ZNF157	0.004068242781039797	zinc finger protein 157
CPA3	0.00407	carboxypeptidase A3
NDUFA11	0.0040901404292641285	NADH:ubiquinone oxidoreductase subunit A11
IGLL1	0.004105311635571141	immunoglobulin lambda like polypeptide 1
EXOG	0.004111	exo/endonuclease G
GTF2IRD1	0.004113	GTF2I repeat domain containing 1
TOB1	0.004145	transducer of ERBB2, 1
RPS19	0.004146639007876822	ribosomal protein S19
MS4A2	0.0041725	membrane spanning 4-domains A2
RAB4B	0.004186695068373964	RAB4B, member RAS oncogene family
TECPR2	0.0041907370933340305	tectonin beta-propeller repeat containing 2
CAB39L	0.0041995	calcium binding protein 39 like
VIPR1	0.0042450000000000005	vasoactive intestinal peptide receptor 1
TPRN	0.0043005184080772575	taperin
GTF3C1	0.004345	general transcription factor IIIC subunit 1
POLR2J2	0.004383152592668399	RNA polymerase II subunit J2
SEH1L	0.004431	SEH1 like nucleoporin
ANP32E	0.00444	acidic nuclear phosphoprotein 32 family member E
C9orf40	0.00445	chromosome 9 open reading frame 40
NDOR1	0.00445	NADPH dependent diflavin oxidoreductase 1
RNF217	0.004472901505090516	ring finger protein 217
UNC119B	0.004485739846482778	unc-119 lipid binding chaperone B
USP1	0.00448767940214311	ubiquitin specific peptidase 1
S100A3	0.00449	S100 calcium binding protein A3
RAB3D	0.0045276	RAB3D, member RAS oncogene family
FAM57A	0.004537697946211633	TLC domain containing 3A
PDXDC1	0.004553963232331759	pyridoxal dependent decarboxylase domain containing 1
RAPGEFL1	0.004559145	Rap guanine nucleotide exchange factor like 1
DPH2	0.004563013960237439	diphthamide biosynthesis 2
SGCB	0.004585	sarcoglycan beta
PCGF6	0.0045919487169052715	polycomb group ring finger 6
MB	0.004635	myoglobin
FAM102B	0.004653104435115832	family with sequence similarity 102 member B
RP9	0.004656034924245596	RP9 pre-mRNA splicing factor
HNRNPR	0.004658007807596683	heterogeneous nuclear ribonucleoprotein R
ASCC3	0.004659242829287514	activating signal cointegrator 1 complex subunit 3
GABARAP	0.004659261464461516	GABA type A receptor-associated protein
NCAPH2	0.004677228707049391	non-SMC condensin II complex subunit H2
RXRA	0.004710000000000001	retinoid X receptor alpha
GTF2A1	0.004711521448102893	general transcription factor IIA subunit 1
ZMYM6NB	0.004796921003494224	transmembrane protein 35B
DIP2B	0.0048044360330462554	disco interacting protein 2 homolog B
ISCU	0.0048087023339478665	iron-sulfur cluster assembly enzyme
PLEKHA6	0.0048104	pleckstrin homology domain containing A6
FUBP3	0.004811823557171308	far upstream element binding protein 3
FFAR2	0.004835000000000001	free fatty acid receptor 2
POLDIP2	0.0048593489237038065	DNA polymerase delta interacting protein 2
BAZ2A	0.0048850000000000005	bromodomain adjacent to zinc finger domain 2A
LARS2	0.0048850000000000005	leucyl-tRNA synthetase 2, mitochondrial
