Gene	r	p	Name
ACBD5	0.369	2.95e-05	acyl-CoA binding domain containing 5
HNRNPLL	-0.368	3.01e-05	heterogeneous nuclear ribonucleoprotein L like
LINC01873	0.379	3.21e-05	long intergenic non-protein coding RNA 1873
TMUB1	0.365	3.65e-05	transmembrane and ubiquitin like domain containing 1
INF2	0.364	3.81e-05	inverted formin 2
EXOC4	0.364	3.83e-05	exocyst complex component 4
MED24	0.364	3.83e-05	mediator complex subunit 24
HSD17B12	0.362	4.12e-05	hydroxysteroid 17-beta dehydrogenase 12
LGALS9	0.362	4.13e-05	galectin 9
STX3	0.361	4.31e-05	syntaxin 3
WIPF2	0.361	4.38e-05	WAS/WASL interacting protein family member 2
NCLN	0.361	4.49e-05	nicalin
CCDC58	-0.36	4.61e-05	mitochondrial matrix import factor 23
RAB29	0.36	4.66e-05	RAB29, member RAS oncogene family
RHOB	0.36	4.69e-05	ras homolog family member B
PIGK	0.359	4.96e-05	phosphatidylinositol glycan anchor biosynthesis class K
SH3BP4	0.356	5.57e-05	SH3 domain binding protein 4
TMEM63A	0.356	5.6e-05	transmembrane protein 63A
TTYH3	0.355	6.04e-05	tweety family member 3
ARL6	-0.354	6.46e-05	ADP ribosylation factor like GTPase 6
CCDC6	0.353	6.53e-05	coiled-coil domain containing 6
LSS	0.353	6.78e-05	lanosterol synthase
GIT1	0.351	7.41e-05	GIT ArfGAP 1
MYO1B	0.351	7.43e-05	myosin IB
GALNT7	0.35	7.72e-05	polypeptide N-acetylgalactosaminyltransferase 7
ELOF1	-0.348	8.4e-05	elongation factor 1
CCP110	-0.348	8.49e-05	centriolar coiled-coil protein 110
SPTLC2	0.348	8.58e-05	serine palmitoyltransferase long chain base subunit 2
ORMDL2	0.347	8.83e-05	ORMDL sphingolipid biosynthesis regulator 2
NCEH1	0.347	8.95e-05	neutral cholesterol ester hydrolase 1
UNC45A	0.347	8.96e-05	unc-45 myosin chaperone A
TNPO3	0.347	9.1e-05	transportin 3
MAGT1	0.346	9.25e-05	magnesium transporter 1
FLNB	-0.346	9.36e-05	filamin B
MGST1	0.345	0.000101	microsomal glutathione S-transferase 1
SLC12A2	0.344	0.000104	solute carrier family 12 member 2
PRG2	0.344	0.000113	proteoglycan 2, pro eosinophil major basic protein
ATL3	0.342	0.000116	atlastin GTPase 3
DIP2A	0.342	0.000116	disco interacting protein 2 homolog A
TSPAN15	0.342	0.000117	tetraspanin 15
EPX	0.364	0.000117	eosinophil peroxidase
CDC42SE1	0.427	0.000119	CDC42 small effector 1
SEC62	0.341	0.000122	SEC62 homolog, preprotein translocation factor
C2CD2	0.376	0.000126	C2 calcium dependent domain containing 2
VMP1	0.34	0.000128	vacuole membrane protein 1
SCARB2	0.34	0.00013	scavenger receptor class B member 2
AGPAT3	0.338	0.000143	1-acylglycerol-3-phosphate O-acyltransferase 3
RAB24	0.337	0.000149	RAB24, member RAS oncogene family
KRI1	-0.336	0.000153	KRI1 homolog
SLC27A3	0.336	0.000157	solute carrier family 27 member 3
NTHL1	-0.336	0.000158	nth like DNA glycosylase 1
SCD	0.344	0.000166	stearoyl-CoA desaturase
RAB27B	0.334	0.000172	RAB27B, member RAS oncogene family
PAFAH2	0.332	0.000185	platelet activating factor acetylhydrolase 2
TRPM4	0.332	0.00019	transient receptor potential cation channel subfamily M member 4
GPHN	-0.332	0.00019	gephyrin
MSL1	0.331	0.000199	MSL complex subunit 1
CLCA2	0.352	0.000201	chloride channel accessory 2
ANKRD22	0.33	0.000204	ankyrin repeat domain 22
GANAB	0.33	0.000207	glucosidase II alpha subunit
FAM3A	0.403	0.000208	FAM3 metabolism regulating signaling molecule A
CDS2	0.328	0.000227	CDP-diacylglycerol synthase 2
LDAH	0.328	0.00023	lipid droplet associated hydrolase
AUP1	0.327	0.000233	AUP1 lipid droplet regulating VLDL assembly factor
YIPF1	0.325	0.000259	Yip1 domain family member 1
KIAA1033	0.325	0.000261	WASH complex subunit 4
PI4KA	0.325	0.000263	phosphatidylinositol 4-kinase alpha
TRAF3IP2	0.335	0.000269	TRAF3 interacting protein 2
GLYATL1	0.324	0.000273	glycine-N-acyltransferase like 1
SNRNP27	-0.324	0.000276	small nuclear ribonucleoprotein U4/U6.U5 subunit 27
PRG3	0.347	0.000289	proteoglycan 3, pro eosinophil major basic protein 2
GLYATL2	0.322	0.000301	glycine-N-acyltransferase like 2
MOSPD2	0.321	0.000313	motile sperm domain containing 2
KIDINS220	0.321	0.000316	kinase D interacting substrate 220
CSNK1E	0.321	0.000317	casein kinase 1 epsilon
RTN3	0.32	0.000321	reticulon 3
RAB3D	0.32	0.000321	RAB3D, member RAS oncogene family
EPS15L1	-0.32	0.000322	epidermal growth factor receptor pathway substrate 15 like 1
TMEM132A	0.32	0.000325	transmembrane protein 132A
EPHB4	0.32	0.00033	EPH receptor B4
C1orf27	0.319	0.000334	odr-4 GPCR localization factor homolog
CEP170B	0.329	0.000336	centrosomal protein 170B
LRCH4	0.319	0.000337	leucine rich repeats and calponin homology domain containing 4
C5orf22	-0.319	0.00034	chromosome 5 open reading frame 22
FDXR	-0.318	0.000352	ferredoxin reductase
KIAA0355	-0.328	0.000363	granule associated Rac and RHOG effector 1
MARCHF6	0.382	0.000366	membrane associated ring-CH-type finger 6
RAB11A	0.317	0.000366	RAB11A, member RAS oncogene family
EIF5A	-0.317	0.000369	eukaryotic translation initiation factor 5A
ST3GAL1	0.317	0.000373	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
ERCC2	0.316	0.000385	ERCC excision repair 2, TFIIH core complex helicase subunit
CUTA	-0.316	0.000389	cutA divalent cation tolerance homolog
BZW2	0.316	0.000396	basic leucine zipper and W2 domains 2
PDZK1	-0.316	0.000398	PDZ domain containing 1
PEX16	0.338	0.0004	peroxisomal biogenesis factor 16
MAP3K11	0.315	0.000404	mitogen-activated protein kinase kinase kinase 11
DHCR24	0.315	0.000405	24-dehydrocholesterol reductase
PAGE2B	0.35	0.000409	PAGE family member 2B
SYNJ2BP	0.325	0.000415	synaptojanin 2 binding protein
LCLAT1	0.314	0.000419	lysocardiolipin acyltransferase 1
SGPL1	0.314	0.000426	sphingosine-1-phosphate lyase 1
TMEM245	0.314	0.000433	transmembrane protein 245
TP53I11	0.314	0.000435	tumor protein p53 inducible protein 11
LSM5	-0.313	0.000451	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated
ELMOD2	0.313	0.000455	ELMO domain containing 2
ITPR3	0.312	0.000458	inositol 1,4,5-trisphosphate receptor type 3
WDFY3	0.312	0.000461	WD repeat and FYVE domain containing 3
AKR1B10	0.312	0.000463	aldo-keto reductase family 1 member B10
MIA3	0.312	0.000478	MIA SH3 domain ER export factor 3
PPP6R3	0.312	0.000478	protein phosphatase 6 regulatory subunit 3
RAP1GAP	0.311	0.00049	RAP1 GTPase activating protein
ESYT2	0.311	0.000491	extended synaptotagmin 2
ERGIC1	0.311	0.000499	endoplasmic reticulum-golgi intermediate compartment 1
TRIP12	0.31	0.000502	thyroid hormone receptor interactor 12
CELSR2	-0.31	0.000502	cadherin EGF LAG seven-pass G-type receptor 2
AP1S1	0.31	0.000505	adaptor related protein complex 1 subunit sigma 1
RAB10	0.31	0.000511	RAB10, member RAS oncogene family
DNA2	0.31	0.000514	DNA replication helicase/nuclease 2
FLYWCH2	-0.31	0.000521	FLYWCH family member 2
SUB1	-0.309	0.000525	SUB1 regulator of transcription
PAPSS2	0.309	0.000531	3'-phosphoadenosine 5'-phosphosulfate synthase 2
DNAJB14	0.309	0.000538	DnaJ heat shock protein family (Hsp40) member B14
RAVER2	-0.309	0.000539	ribonucleoprotein, PTB binding 2
SYNRG	0.309	0.00054	synergin gamma
RAB43	0.309	0.000543	RAB43, member RAS oncogene family
MYO10	0.308	0.000549	myosin X
IDI1	0.308	0.000553	isopentenyl-diphosphate delta isomerase 1
TRAPPC10	0.307	0.000575	trafficking protein particle complex subunit 10
PLCG1	0.306	0.000607	phospholipase C gamma 1
NT5DC2	0.306	0.000607	5'-nucleotidase domain containing 2
RNASE3	0.329	0.00061	ribonuclease A family member 3
CAPN13	0.306	0.000611	calpain 13
MAVS	0.306	0.000618	mitochondrial antiviral signaling protein
ASPH	0.305	0.000631	aspartate beta-hydroxylase
VPS35	0.304	0.000655	VPS35 retromer complex component
TC2N	0.304	0.000656	tandem C2 domains, nuclear
RPN2	0.304	0.000661	ribophorin II
RBM38	-0.304	0.000661	RNA binding motif protein 38
ABHD16A	0.304	0.000666	abhydrolase domain containing 16A, phospholipase
APMAP	0.304	0.000672	adipocyte plasma membrane associated protein
QPRT	0.303	0.000681	quinolinate phosphoribosyltransferase
IER3IP1	0.303	0.000685	immediate early response 3 interacting protein 1
ATP2C1	0.303	0.000692	ATPase secretory pathway Ca2+ transporting 1
HMGCS1	0.303	0.000692	3-hydroxy-3-methylglutaryl-CoA synthase 1
RPL19	0.303	0.000701	ribosomal protein L19
SURF4	0.303	0.000702	surfeit 4
SHB	0.302	0.000713	SH2 domain containing adaptor protein B
TBC1D20	0.312	0.000716	TBC1 domain family member 20
DNPH1	-0.302	0.000732	2'-deoxynucleoside 5'-phosphate N-hydrolase 1
GOSR1	0.301	0.000744	golgi SNAP receptor complex member 1
CLYBL	-0.301	0.000765	citramalyl-CoA lyase
CISD3	0.3	0.000773	CDGSH iron sulfur domain 3
FDFT1	0.3	0.000779	farnesyl-diphosphate farnesyltransferase 1
PNPO	-0.3	0.000783	pyridoxamine 5'-phosphate oxidase
SLC27A4	0.3	0.000786	solute carrier family 27 member 4
HNRNPU	-0.3	0.000791	heterogeneous nuclear ribonucleoprotein U
MBOAT2	0.299	0.000827	membrane bound O-acyltransferase domain containing 2
KIAA0196	0.299	0.00083	WASH complex subunit 5
TG	0.321	0.000847	thyroglobulin
RALGAPB	0.298	0.000852	Ral GTPase activating protein non-catalytic subunit beta
RAB6A	0.298	0.000859	RAB6A, member RAS oncogene family
CHDH	-0.298	0.000866	choline dehydrogenase
ADAM15	0.297	0.000879	ADAM metallopeptidase domain 15
RAB18	0.297	0.000882	RAB18, member RAS oncogene family
ESYT1	0.297	0.000897	extended synaptotagmin 1
UBR1	0.296	0.000916	ubiquitin protein ligase E3 component n-recognin 1
CPT1A	0.296	0.000918	carnitine palmitoyltransferase 1A
S100A14	0.296	0.000924	S100 calcium binding protein A14
GOLGA2	0.296	0.00093	golgin A2
AKT1	0.296	0.000938	AKT serine/threonine kinase 1
DDOST	0.295	0.00097	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
RPL3	0.294	0.001	ribosomal protein L3
DLG5	0.294	0.00101	discs large MAGUK scaffold protein 5
DHRS13	0.294	0.00102	dehydrogenase/reductase 13
PI4K2B	0.294	0.00103	phosphatidylinositol 4-kinase type 2 beta
DOCK6	0.293	0.00104	dedicator of cytokinesis 6
FUS	-0.293	0.00105	FUS RNA binding protein
PNKD	0.303	0.00106	PNKD metallo-beta-lactamase domain containing
MECR	-0.293	0.00106	mitochondrial trans-2-enoyl-CoA reductase
ASCC2	0.293	0.00107	activating signal cointegrator 1 complex subunit 2
DNAJB12	0.292	0.00108	DnaJ heat shock protein family (Hsp40) member B12
RPL35	0.292	0.00111	ribosomal protein L35
RPL13	0.292	0.00111	ribosomal protein L13
SLC25A1	0.291	0.00112	solute carrier family 25 member 1
RAB3GAP2	0.291	0.00113	RAB3 GTPase activating non-catalytic protein subunit 2
DNAJC1	0.291	0.00113	DnaJ heat shock protein family (Hsp40) member C1
NAA40	0.291	0.00114	N-alpha-acetyltransferase 40, NatD catalytic subunit
KMT2C	0.291	0.00114	lysine methyltransferase 2C
SDC1	0.291	0.00116	syndecan 1
LNPK	0.29	0.00118	lunapark, ER junction formation factor
UBR2	0.29	0.00118	ubiquitin protein ligase E3 component n-recognin 2
PIGO	0.29	0.00119	phosphatidylinositol glycan anchor biosynthesis class O
GSTM1	-0.29	0.00119	glutathione S-transferase mu 1
PPP1R12B	0.3	0.0012	protein phosphatase 1 regulatory subunit 12B
SDF2	0.29	0.00121	stromal cell derived factor 2
STAP2	0.29	0.00121	signal transducing adaptor family member 2
FYTTD1	0.289	0.00124	forty-two-three domain containing 1
RALGAPA2	0.289	0.00124	Ral GTPase activating protein catalytic subunit alpha 2
PREB	0.289	0.00125	prolactin regulatory element binding
SLC39A11	0.289	0.00126	solute carrier family 39 member 11
RAB3GAP1	0.289	0.00127	RAB3 GTPase activating protein catalytic subunit 1
CANX	0.288	0.00127	calnexin
PBXIP1	0.288	0.00128	PBX homeobox interacting protein 1
RAB19	0.308	0.0013	RAB19, member RAS oncogene family
RAB1B	0.288	0.00131	RAB1B, member RAS oncogene family
CSNK1A1	0.288	0.00132	casein kinase 1 alpha 1
RPL34	0.287	0.00133	ribosomal protein L34
RAB14	0.287	0.00133	RAB14, member RAS oncogene family
ADIPOR1	0.287	0.00134	adiponectin receptor 1
SLC12A7	0.287	0.00134	solute carrier family 12 member 7
SLC38A2	0.287	0.00137	solute carrier family 38 member 2
ERCC3	0.287	0.00137	ERCC excision repair 3, TFIIH core complex helicase subunit
GXYLT1	0.286	0.00138	glucoside xylosyltransferase 1
YPEL5	0.286	0.00139	yippee like 5
WDR26	0.286	0.00139	WD repeat domain 26
ANKRD52	0.286	0.00142	ankyrin repeat domain 52
PIGU	0.295	0.00142	phosphatidylinositol glycan anchor biosynthesis class U
TPRKB	-0.286	0.00142	TP53RK binding protein
C2CD2L	0.293	0.00147	C2CD2 like
VKORC1L1	0.285	0.00147	vitamin K epoxide reductase complex subunit 1 like 1
ERGIC3	0.285	0.00147	ERGIC and golgi 3
RAD23A	-0.284	0.00149	RAD23 homolog A, nucleotide excision repair protein
GET4	0.284	0.0015	guided entry of tail-anchored proteins factor 4
SEC11A	0.284	0.00151	SEC11 homolog A, signal peptidase complex subunit
HECTD1	0.284	0.00151	HECT domain E3 ubiquitin protein ligase 1
ERAL1	0.284	0.00152	Era like 12S mitochondrial rRNA chaperone 1
SGSM3	0.284	0.00152	small G protein signaling modulator 3
RPL24	0.284	0.00154	ribosomal protein L24
USP3	0.284	0.00154	ubiquitin specific peptidase 3
TRAPPC9	0.284	0.00155	trafficking protein particle complex subunit 9
TEX2	0.283	0.00156	testis expressed 2
FAAH2	-0.338	0.00156	fatty acid amide hydrolase 2
TMEM33	0.283	0.00159	transmembrane protein 33
DNAJC5	0.283	0.00162	DnaJ heat shock protein family (Hsp40) member C5
TMEM184B	0.375	0.00162	transmembrane protein 184B
MAPT	-0.282	0.00165	microtubule associated protein tau
GCSH	-0.282	0.00165	glycine cleavage system protein H
LSM7	-0.282	0.00166	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated
DNAJC13	0.281	0.00174	DnaJ heat shock protein family (Hsp40) member C13
FDX1L	-0.281	0.00175	ferredoxin 2
HOMER2	-0.28	0.00176	homer scaffold protein 2
SLC35B3	0.312	0.00176	solute carrier family 35 member B3
TM7SF2	0.31	0.00178	transmembrane 7 superfamily member 2
PIK3C2B	0.279	0.00182	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta
ELP5	-0.279	0.00182	elongator acetyltransferase complex subunit 5
EEF1G	0.279	0.00183	eukaryotic translation elongation factor 1 gamma
ATAD1	0.279	0.00184	ATPase family AAA domain containing 1
TM9SF3	0.279	0.00185	transmembrane 9 superfamily member 3
LMBRD1	0.279	0.00186	LMBR1 domain containing 1
REEP3	0.279	0.00187	receptor accessory protein 3
TMED3	0.278	0.0019	transmembrane p24 trafficking protein 3
FAR1	0.288	0.00192	fatty acyl-CoA reductase 1
SRD5A3	0.372	0.00193	steroid 5 alpha-reductase 3
LRRC1	0.278	0.00194	leucine rich repeat containing 1
ZC3HAV1	0.278	0.00194	zinc finger CCCH-type containing, antiviral 1
FHOD1	0.278	0.00196	formin homology 2 domain containing 1
RABGAP1L	0.277	0.00198	RAB GTPase activating protein 1 like
PAGE5	0.285	0.00198	PAGE family member 5
RPL28	0.277	0.00198	ribosomal protein L28
KPTN	-0.287	0.00199	kaptin, actin binding protein
DDB2	-0.277	0.00199	damage specific DNA binding protein 2
PRKCD	0.277	0.00201	protein kinase C delta
LPCAT3	0.277	0.00202	lysophosphatidylcholine acyltransferase 3
APOOL	-0.277	0.00203	apolipoprotein O like
UBE2I	-0.277	0.00205	ubiquitin conjugating enzyme E2 I
AP1M2	0.277	0.00205	adaptor related protein complex 1 subunit mu 2
GALNT6	0.276	0.00205	polypeptide N-acetylgalactosaminyltransferase 6
BCAP29	0.276	0.00205	B cell receptor associated protein 29
CRIPT	-0.276	0.00209	CXXC repeat containing interactor of PDZ3 domain
UBE2J1	0.276	0.00212	ubiquitin conjugating enzyme E2 J1
EI24	0.275	0.00213	EI24 autophagy associated transmembrane protein
HACD3	0.275	0.00214	3-hydroxyacyl-CoA dehydratase 3
DNAJA4	0.275	0.00221	DnaJ heat shock protein family (Hsp40) member A4
NFYA	-0.282	0.00225	nuclear transcription factor Y subunit alpha
YBEY	0.293	0.00229	ybeY metalloendoribonuclease
SEL1L	0.274	0.00229	SEL1L adaptor subunit of ERAD E3 ubiquitin ligase
STX18	0.273	0.00232	syntaxin 18
USE1	0.273	0.00237	unconventional SNARE in the ER 1
C1orf226	-0.272	0.00242	chromosome 1 open reading frame 226
RPL7	0.272	0.00243	ribosomal protein L7
RPL13A	0.272	0.00246	ribosomal protein L13a
TMEM63B	0.272	0.00246	transmembrane protein 63B
FAM222B	0.356	0.00249	family with sequence similarity 222 member B
IVL	0.279	0.00251	involucrin
SLC39A7	0.271	0.00252	solute carrier family 39 member 7
EPN3	0.271	0.00255	epsin 3
TMEM209	0.271	0.00256	transmembrane protein 209
TMA16	-0.27	0.00259	translation machinery associated 16 homolog
AP2M1	0.27	0.00264	adaptor related protein complex 2 subunit mu 1
HSPA4L	-0.269	0.00268	heat shock protein family A (Hsp70) member 4 like
CCNYL1	0.296	0.00268	cyclin Y like 1
RBM8A	-0.269	0.0027	RNA binding motif protein 8A
GFRA1	-0.269	0.00275	GDNF family receptor alpha 1
CCDC94	-0.269	0.00278	YJU2 splicing factor homolog
PON2	0.268	0.00281	paraoxonase 2
IRS1	-0.268	0.00282	insulin receptor substrate 1
FAM134A	0.268	0.00282	reticulophagy regulator family member 2
UBE3C	0.268	0.00284	ubiquitin protein ligase E3C
SCYL2	0.268	0.00289	SCY1 like pseudokinase 2
C17orf62	0.267	0.00292	cytochrome b-245 chaperone 1
PEX1	0.267	0.00292	peroxisomal biogenesis factor 1
KPNA3	0.267	0.00293	karyopherin subunit alpha 3
TNS4	0.334	0.00295	tensin 4
RPA2	-0.267	0.00298	replication protein A2
HDHD2	-0.267	0.00299	haloacid dehalogenase like hydrolase domain containing 2
VAPB	0.267	0.003	VAMP associated protein B and C
ARL1	0.266	0.00301	ADP ribosylation factor like GTPase 1
STT3B	0.266	0.00307	STT3 oligosaccharyltransferase complex catalytic subunit B
NCOA3	0.266	0.00307	nuclear receptor coactivator 3
VTI1B	0.266	0.00307	vesicle transport through interaction with t-SNAREs 1B
DLGAP4	0.266	0.00308	DLG associated protein 4
PARK7	-0.266	0.00311	Parkinsonism associated deglycase
ZNF512	0.266	0.00312	zinc finger protein 512
YKT6	0.265	0.00313	YKT6 v-SNARE homolog
ENTPD2	0.321	0.00313	ectonucleoside triphosphate diphosphohydrolase 2
LMAN2	0.265	0.00316	lectin, mannose binding 2
LTN1	0.265	0.00319	listerin E3 ubiquitin protein ligase 1
SARS	-0.265	0.0032	seryl-tRNA synthetase 1
STX17	0.264	0.00325	syntaxin 17
RGS10	-0.264	0.00325	regulator of G protein signaling 10
ARSD	0.264	0.00327	arylsulfatase D
UGGT1	0.264	0.0033	UDP-glucose glycoprotein glucosyltransferase 1
BNIP1	0.264	0.0033	BCL2 interacting protein 1
TNFSF10	0.264	0.00332	TNF superfamily member 10
MAN2A2	0.264	0.00332	mannosidase alpha class 2A member 2
CRAT	0.264	0.00335	carnitine O-acetyltransferase
PCSK9	0.389	0.00336	proprotein convertase subtilisin/kexin type 9
QTRT1	-0.263	0.00337	queuine tRNA-ribosyltransferase catalytic subunit 1
BIRC6	0.263	0.00339	baculoviral IAP repeat containing 6
OSBPL5	0.263	0.0034	oxysterol binding protein like 5
PLD1	0.283	0.00341	phospholipase D1
ANAPC13	-0.281	0.00342	anaphase promoting complex subunit 13
USP9X	0.263	0.00343	ubiquitin specific peptidase 9 X-linked
ACADSB	-0.263	0.00343	acyl-CoA dehydrogenase short/branched chain
RNASEH2A	-0.263	0.00348	ribonuclease H2 subunit A
TMEM135	0.352	0.00349	transmembrane protein 135
SPAG7	-0.262	0.00352	sperm associated antigen 7
GPR108	0.271	0.00355	G protein-coupled receptor 108
LSM2	-0.262	0.00355	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated
WDR54	-0.262	0.00357	WD repeat domain 54
ABCG1	0.293	0.00357	ATP binding cassette subfamily G member 1
TEP1	0.262	0.00358	telomerase associated protein 1
GALNT10	0.262	0.0036	polypeptide N-acetylgalactosaminyltransferase 10
INTS8	0.261	0.00363	integrator complex subunit 8
NPM1	-0.261	0.00366	nucleophosmin 1
ZCCHC17	-0.261	0.0037	zinc finger CCHC-type containing 17
ASNSD1	-0.261	0.00374	asparagine synthetase domain containing 1
PLCB3	0.261	0.00374	phospholipase C beta 3
GTF2H2C	0.26	0.00377	GTF2H2 family member C
SEC63	0.26	0.00378	SEC63 homolog, protein translocation regulator
SH2D4A	0.259	0.0039	SH2 domain containing 4A
RPL26	0.259	0.00391	ribosomal protein L26
HMGCL	-0.259	0.00396	3-hydroxy-3-methylglutaryl-CoA lyase
TCEA1	-0.259	0.00396	transcription elongation factor A1
GLOD4	-0.259	0.00401	glyoxalase domain containing 4
ATP9A	0.259	0.00402	ATPase phospholipid transporting 9A (putative)
BCR	0.259	0.00403	BCR activator of RhoGEF and GTPase
CSTF3	0.258	0.00413	cleavage stimulation factor subunit 3
SUSD2	0.258	0.00415	sushi domain containing 2
CASC3	0.258	0.00419	CASC3 exon junction complex subunit
CDCP1	0.258	0.00419	CUB domain containing protein 1
TOR1AIP2	0.258	0.00419	torsin 1A interacting protein 2
VPS26A	0.257	0.00421	VPS26, retromer complex component A
FAHD1	-0.257	0.00424	fumarylacetoacetate hydrolase domain containing 1
RING1	0.257	0.00425	ring finger protein 1
HIP1R	0.257	0.00432	huntingtin interacting protein 1 related
USP12	0.265	0.00434	ubiquitin specific peptidase 12
RPN1	0.257	0.00435	ribophorin I
RPL6	0.256	0.00436	ribosomal protein L6
LIMK2	0.256	0.00438	LIM domain kinase 2
CLPTM1L	0.256	0.00439	CLPTM1 like
TJP2	0.256	0.0044	tight junction protein 2
C19orf70	-0.256	0.0044	mitochondrial contact site and cristae organizing system subunit 13
SIGLEC14	-0.372	0.00442	sialic acid binding Ig like lectin 14
ACBD7	-0.263	0.00445	acyl-CoA binding domain containing 7
MAN1B1	0.256	0.00446	mannosidase alpha class 1B member 1
UNC93B1	0.274	0.00447	unc-93 homolog B1, TLR signaling regulator
GRAMD4	0.264	0.00449	GRAM domain containing 4
DNAJC19	-0.256	0.00449	DnaJ heat shock protein family (Hsp40) member C19
PARD6A	-0.264	0.00449	par-6 family cell polarity regulator alpha
RPL27A	0.256	0.0045	ribosomal protein L27a
SUCO	0.295	0.0045	SUN domain containing ossification factor
CPSF1	0.256	0.0045	cleavage and polyadenylation specific factor 1
WDR70	-0.255	0.00454	WD repeat domain 70
ANKRD54	0.255	0.00455	ankyrin repeat domain 54
TMEM199	0.255	0.00455	transmembrane protein 199
BANF1	-0.255	0.00457	BAF nuclear assembly factor 1
ACOX3	0.255	0.00458	acyl-CoA oxidase 3, pristanoyl
TMEM120A	0.255	0.00461	transmembrane protein 120A
NATD1	0.358	0.00465	N-acetyltransferase domain containing 1
FREM2	-0.363	0.00468	FRAS1 related extracellular matrix 2
RERG	-0.254	0.00469	RAS like estrogen regulated growth inhibitor
HLA-F	0.254	0.00469	major histocompatibility complex, class I, F
RPL36AL	0.254	0.0047	ribosomal protein L36a like
AIF1	-0.254	0.00472	allograft inflammatory factor 1
PTRH2	0.254	0.00473	peptidyl-tRNA hydrolase 2
