Gene	p avg	Name
DHCR24	0.0002103	24-dehydrocholesterol reductase
RAB24	0.000213	RAB24, member RAS oncogene family
FLOT1	0.00022762	flotillin 1
MED1	0.00023150000128	mediator complex subunit 1
AKR1B10	0.00023151305	aldo-keto reductase family 1 member B10
KMO	0.000233365	kynurenine 3-monooxygenase
ATL3	0.0002515	atlastin GTPase 3
CWC25	0.0002675437	CWC25 spliceosome associated protein homolog
GLYATL2	0.0002785	glycine-N-acyltransferase like 2
GALNT6	0.00028769	polypeptide N-acetylgalactosaminyltransferase 6
RAB43	0.0003022	RAB43, member RAS oncogene family
SH3BP4	0.00033585	SH3 domain binding protein 4
RAB3D	0.0003455	RAB3D, member RAS oncogene family
CAPN13	0.0003494	calpain 13
TC2N	0.0003529	tandem C2 domains, nuclear
KIAA0100	0.0003720000001015	KIAA0100
SCARB2	0.0003875	scavenger receptor class B member 2
CISD3	0.00039165	CDGSH iron sulfur domain 3
FDFT1	0.00040055	farnesyl-diphosphate farnesyltransferase 1
CCDC6	0.00040565	coiled-coil domain containing 6
ACACA	0.0004280448	acetyl-CoA carboxylase alpha
HSP90AA1	0.0004335	heat shock protein 90 alpha family class A member 1
FASN	0.0004445	fatty acid synthase
IDI1	0.0004935	isopentenyl-diphosphate delta isomerase 1
DHRS13	0.0005100815000000001	dehydrogenase/reductase 13
MED24	0.00054415	mediator complex subunit 24
RPN2	0.000576	ribophorin II
CKAP4	0.0006115	cytoskeleton associated protein 4
PIGS	0.0006803610000000001	phosphatidylinositol glycan anchor biosynthesis class S
ELMOD2	0.000699	ELMO domain containing 2
CLYBL	0.0007034999999999999	citramalyl-CoA lyase
UBR1	0.0007095000000000001	ubiquitin protein ligase E3 component n-recognin 1
SLC27A4	0.0007260000000000001	solute carrier family 27 member 4
SGSM3	0.0007652000000000001	small G protein signaling modulator 3
ERAL1	0.0007652500000000001	Era like 12S mitochondrial rRNA chaperone 1
RAB3GAP1	0.0008335	RAB3 GTPase activating protein catalytic subunit 1
CDC42SE1	0.0008595	CDC42 small effector 1
TRAPPC10	0.0008874999999999999	trafficking protein particle complex subunit 10
EIF5	0.0009260000000000001	eukaryotic translation initiation factor 5
ACOT8	0.0009555000000000001	acyl-CoA thioesterase 8
RAB3GAP2	0.0009645	RAB3 GTPase activating non-catalytic protein subunit 2
TMED3	0.00096815	transmembrane p24 trafficking protein 3
S100A14	0.000972	S100 calcium binding protein A14
FHOD1	0.00098299	formin homology 2 domain containing 1
GLYATL1	0.0010414999999999999	glycine-N-acyltransferase like 1
TRIP12	0.001051	thyroid hormone receptor interactor 12
TBC1D20	0.001073	TBC1 domain family member 20
WFS1	0.00108045	wolframin ER transmembrane glycoprotein
ITPR3	0.001114	inositol 1,4,5-trisphosphate receptor type 3
SEL1L	0.0011756	SEL1L adaptor subunit of ERAD E3 ubiquitin ligase
PNKD	0.001275	PNKD metallo-beta-lactamase domain containing
ERGIC1	0.0012795	endoplasmic reticulum-golgi intermediate compartment 1
EPN3	0.00128095	epsin 3
TRAF3IP2	0.0012995	TRAF3 interacting protein 2
STX5	0.0013985	syntaxin 5
CEP135	0.0014	centrosomal protein 135
ASRGL1	0.001440146	asparaginase and isoaspartyl peptidase 1
USP40	0.001467	ubiquitin specific peptidase 40
FAR1	0.00147	fatty acyl-CoA reductase 1
HMGCS1	0.001501	3-hydroxy-3-methylglutaryl-CoA synthase 1
WDR26	0.0015300000000000001	WD repeat domain 26
TRAPPC9	0.00154	trafficking protein particle complex subunit 9
DLGAP4	0.00158935	DLG associated protein 4
LTN1	0.00160885	listerin E3 ubiquitin protein ligase 1
GOLGA2	0.00169	golgin A2
VAPB	0.0017225	VAMP associated protein B and C
ATP2A2	0.00177095	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
PIGK	0.0017848	phosphatidylinositol glycan anchor biosynthesis class K
CUTA	0.0018045000000000001	cutA divalent cation tolerance homolog
BZW2	0.001818	basic leucine zipper and W2 domains 2
KIDINS220	0.0018679999999999999	kinase D interacting substrate 220
SPAG7	0.0018830000000000001	sperm associated antigen 7
PDXDC1	0.0019735	pyridoxal dependent decarboxylase domain containing 1
NDOR1	0.0019985000000000003	NADPH dependent diflavin oxidoreductase 1
VTI1B	0.0020039999999999997	vesicle transport through interaction with t-SNAREs 1B
GNPNAT1	0.0020825	glucosamine-phosphate N-acetyltransferase 1
CASC3	0.002097505	CASC3 exon junction complex subunit
YKT6	0.0021	YKT6 v-SNARE homolog
CSTF3	0.0021012	cleavage stimulation factor subunit 3
RAB11A	0.0021130000000000003	RAB11A, member RAS oncogene family
HID1	0.0021204	HID1 domain containing
PEX16	0.0023250000000000002	peroxisomal biogenesis factor 16
HECTD1	0.0023350000000000003	HECT domain E3 ubiquitin protein ligase 1
TMEM199	0.0023675000000000002	transmembrane protein 199
CDS2	0.0023785	CDP-diacylglycerol synthase 2
DCUN1D4	0.0023899999999999998	defective in cullin neddylation 1 domain containing 4
GRAMD4	0.0024005	GRAM domain containing 4
RAB6A	0.0024145	RAB6A, member RAS oncogene family
PLCB3	0.0024349999999999997	phospholipase C beta 3
UGGT1	0.00245	UDP-glucose glycoprotein glucosyltransferase 1
NBEAL2	0.00256604	neurobeachin like 2
POLDIP2	0.002587	DNA polymerase delta interacting protein 2
ASPH	0.0026355	aspartate beta-hydroxylase
SHB	0.0027865	SH2 domain containing adaptor protein B
SLC39A11	0.0028	solute carrier family 39 member 11
DDOST	0.00281	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
CDC42BPG	0.0028755	CDC42 binding protein kinase gamma
ARL1	0.002935	ADP ribosylation factor like GTPase 1
ATP13A1	0.0030275000000000002	ATPase 13A1
SUSD2	0.00307	sushi domain containing 2
TBCB	0.0031157999999999997	tubulin folding cofactor B
TMEM135	0.00316	transmembrane protein 135
C1orf27	0.003162	odr-4 GPCR localization factor homolog
ABHD4	0.003165	abhydrolase domain containing 4, N-acyl phospholipase B
AGPAT3	0.0032215	1-acylglycerol-3-phosphate O-acyltransferase 3
EDARADD	0.003223305	EDAR associated death domain
TM7SF2	0.0032700000000000003	transmembrane 7 superfamily member 2
COPB2	0.00327345	COPI coat complex subunit beta 2
SLC38A2	0.00329	solute carrier family 38 member 2
HSPA4L	0.0033	heat shock protein family A (Hsp70) member 4 like
GOLGA5	0.003345	golgin A5
TM9SF2	0.00338	transmembrane 9 superfamily member 2
LMAN2	0.00339	lectin, mannose binding 2
CDCP1	0.003595	CUB domain containing protein 1
NCEH1	0.0036797500000000003	neutral cholesterol ester hydrolase 1
HM13	0.00368	histocompatibility minor 13
IGF2R	0.00373872	insulin like growth factor 2 receptor
PIK3C2B	0.0037549999999999997	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta
ZMPSTE24	0.003765	zinc metallopeptidase STE24
VEZT	0.003785	vezatin, adherens junctions transmembrane protein
COMT	0.0038185	catechol-O-methyltransferase
RAB1B	0.0038849999999999996	RAB1B, member RAS oncogene family
RPA3	0.00393	replication protein A3
PRKCD	0.00395	protein kinase C delta
RAB14	0.00398	RAB14, member RAS oncogene family
SCYL2	0.00398	SCY1 like pseudokinase 2
GPCPD1	0.004055	glycerophosphocholine phosphodiesterase 1
ASCC2	0.00413	activating signal cointegrator 1 complex subunit 2
USF2	0.004175	upstream transcription factor 2, c-fos interacting
RPN1	0.004215	ribophorin I
CLCA2	0.0042355	chloride channel accessory 2
ST3GAL1	0.0042515	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
DEGS1	0.004256	delta 4-desaturase, sphingolipid 1
NCLN	0.00425745	nicalin
PREB	0.004275	prolactin regulatory element binding
RPA1	0.004286	replication protein A1
RARA	0.00429865	retinoic acid receptor alpha
DNAJC8	0.00433	DnaJ heat shock protein family (Hsp40) member C8
DNAJC5	0.00436	DnaJ heat shock protein family (Hsp40) member C5
ATP7B	0.004405	ATPase copper transporting beta
MAVS	0.004479	mitochondrial antiviral signaling protein
SCD	0.004483	stearoyl-CoA desaturase
ACYP2	0.004493	acylphosphatase 2
FAM222B	0.0045000000000000005	family with sequence similarity 222 member B
SEMA4C	0.004535	semaphorin 4C
ATP2C1	0.004561	ATPase secretory pathway Ca2+ transporting 1
KRI1	0.0045615000000000005	KRI1 homolog
USE1	0.0046300000000000004	unconventional SNARE in the ER 1
SNAPC3	0.004634999999999999	small nuclear RNA activating complex polypeptide 3
CREB3L4	0.0047150000000000004	cAMP responsive element binding protein 3 like 4
RAD23A	0.00474	RAD23 homolog A, nucleotide excision repair protein
COPA	0.004774	COPI coat complex subunit alpha
AKT1	0.0048389999999999996	AKT serine/threonine kinase 1
ZNF467	0.00485	zinc finger protein 467
NBAS	0.0048649999999999995	NBAS subunit of NRZ tethering complex
TRPM4	0.004869999999999999	transient receptor potential cation channel subfamily M member 4
CASP14	0.0048850000000000005	caspase 14
IER3IP1	0.0049025	immediate early response 3 interacting protein 1
SH2D4A	0.00496	SH2 domain containing 4A
LRRC59	0.0049907499999999995	leucine rich repeat containing 59
TM9SF3	0.005115	transmembrane 9 superfamily member 3
PTRH2	0.0051400000000000005	peptidyl-tRNA hydrolase 2
ARHGEF10L	0.005145	Rho guanine nucleotide exchange factor 10 like
STT3B	0.00524	STT3 oligosaccharyltransferase complex catalytic subunit B
OSBPL5	0.00534	oxysterol binding protein like 5
CARD14	0.005350000000000001	caspase recruitment domain family member 14
IPO9	0.005495	importin 9
NEDD4	0.00555	NEDD4 E3 ubiquitin protein ligase
SUCO	0.00556	SUN domain containing ossification factor
PAPSS2	0.0055655	3'-phosphoadenosine 5'-phosphosulfate synthase 2
MSL3	0.00562	MSL complex subunit 3
CYP51A1	0.00562	cytochrome P450 family 51 subfamily A member 1
GNAI3	0.00571	G protein subunit alpha i3
DNAJC1	0.005815000000000001	DnaJ heat shock protein family (Hsp40) member C1
KRT72	0.005855	keratin 72
AP1M2	0.00601	adaptor related protein complex 1 subunit mu 2
LMNB2	0.0060505	lamin B2
ESRP2	0.00605905	epithelial splicing regulatory protein 2
PEX1	0.006125	peroxisomal biogenesis factor 1
XPNPEP3	0.0061559	X-prolyl aminopeptidase 3
PLXNB2	0.006281	plexin B2
YBEY	0.0063950000000000005	ybeY metalloendoribonuclease
ALDH18A1	0.0064335	aldehyde dehydrogenase 18 family member A1
PBXIP1	0.0064399999999999995	PBX homeobox interacting protein 1
CRIPT	0.006445	CXXC repeat containing interactor of PDZ3 domain
DNAJB14	0.006469	DnaJ heat shock protein family (Hsp40) member B14
ABI2	0.00654	abl interactor 2
CORO2A	0.006551400000000001	coronin 2A
RHBDD2	0.0066	rhomboid domain containing 2
RPA2	0.00664	replication protein A2
QPRT	0.0066405	quinolinate phosphoribosyltransferase
DUS3L	0.00665	dihydrouridine synthase 3 like
SH3BP5L	0.00667	SH3 binding domain protein 5 like
SLC25A1	0.00671	solute carrier family 25 member 1
ZDHHC3	0.00675239	zinc finger DHHC-type palmitoyltransferase 3
MAN1B1	0.006825	mannosidase alpha class 1B member 1
THEM6	0.00683	thioesterase superfamily member 6
ACSL3	0.006905	acyl-CoA synthetase long chain family member 3
TMEM167A	0.006945499999999999	transmembrane protein 167A
CSNK1A1	0.00701	casein kinase 1 alpha 1
SUB1	0.007062499999999999	SUB1 regulator of transcription
AR	0.007064	androgen receptor
GBF1	0.00707	golgi brefeldin A resistant guanine nucleotide exchange factor 1
MTHFR	0.007124999999999999	methylenetetrahydrofolate reductase
FBXL18	0.00714355	F-box and leucine rich repeat protein 18
EME1	0.00715004255	essential meiotic structure-specific endonuclease 1
CSTF2T	0.0071649999999999995	cleavage stimulation factor subunit 2 tau variant
HACD3	0.00722	3-hydroxyacyl-CoA dehydratase 3
USP38	0.007365	ubiquitin specific peptidase 38
GALNT10	0.007549999999999999	polypeptide N-acetylgalactosaminyltransferase 10
MCM9	0.0075735	minichromosome maintenance 9 homologous recombination repair factor
CPSF3	0.007595	cleavage and polyadenylation specific factor 3
SLC38A1	0.00768955	solute carrier family 38 member 1
ATAD1	0.007719999999999999	ATPase family AAA domain containing 1
PPP1R1B	0.0078395	protein phosphatase 1 regulatory inhibitor subunit 1B
NIPSNAP3B	0.00789	nipsnap homolog 3B
TM9SF4	0.00796	transmembrane 9 superfamily member 4
SUGP1	0.008	SURP and G-patch domain containing 1
MIA3	0.008189	MIA SH3 domain ER export factor 3
TOP2A	0.008255	DNA topoisomerase II alpha
ARFGEF3	0.00831	ARFGEF family member 3
HSPA8	0.008451499999999999	heat shock protein family A (Hsp70) member 8
B4GALT4	0.0085	beta-1,4-galactosyltransferase 4
TRA2B	0.0085475	transformer 2 beta homolog
RANBP9	0.00855	RAN binding protein 9
BIRC6	0.008695	baculoviral IAP repeat containing 6
SEC24B	0.008709999999999999	SEC24 homolog B, COPII coat complex component
ZNF787	0.008765	zinc finger protein 787
N4BP3	0.008781750000000001	NEDD4 binding protein 3
DNAJC19	0.008995	DnaJ heat shock protein family (Hsp40) member C19
PRR5-ARHGAP8	0.009001394999999999	PRR5-ARHGAP8 readthrough
MLPH	0.009165	melanophilin
OS9	0.00918	OS9 endoplasmic reticulum lectin
VKORC1L1	0.009235	vitamin K epoxide reductase complex subunit 1 like 1
SEC23B	0.0092605	SEC23 homolog B, COPII coat complex component
LSS	0.0092839	lanosterol synthase
TRIM4	0.009309999999999999	tripartite motif containing 4
PAFAH2	0.0093425	platelet activating factor acetylhydrolase 2
RAVER2	0.009369500000000001	ribonucleoprotein, PTB binding 2
RAVER1	0.00941	ribonucleoprotein, PTB binding 1
DHX33	0.0094505	DEAH-box helicase 33
RPTOR	0.00953	regulatory associated protein of MTOR complex 1
FAF2	0.009625000000000002	Fas associated factor family member 2
C2CD2L	0.009635	C2CD2 like
RTN4	0.009680000000000001	reticulon 4
BCR	0.009765	BCR activator of RhoGEF and GTPase
ADAM15	0.009789500000000001	ADAM metallopeptidase domain 15
NAB2	0.009819999999999999	NGFI-A binding protein 2
ITFG1	0.00986	integrin alpha FG-GAP repeat containing 1
ADIPOR1	0.00987	adiponectin receptor 1
RAB1A	0.010045	RAB1A, member RAS oncogene family
GNL1	0.010055	G protein nucleolar 1 (putative)
RING1	0.010075	ring finger protein 1
CCNY	0.010085	cyclin Y
ARL6IP5	0.010204999999999999	ADP ribosylation factor like GTPase 6 interacting protein 5
ASCC1	0.010305	activating signal cointegrator 1 complex subunit 1
RTN3	0.010310499999999998	reticulon 3
KCTD2	0.010409999999999999	potassium channel tetramerization domain containing 2
RALA	0.010440000000000001	RAS like proto-oncogene A
TXNRD3	0.010440000000000001	thioredoxin reductase 3
G3BP2	0.010494999999999999	G3BP stress granule assembly factor 2
TSPAN15	0.0105585	tetraspanin 15
USP3	0.01057	ubiquitin specific peptidase 3
CANX	0.010685	calnexin
SH2B1	0.010735000000000001	SH2B adaptor protein 1
CSTF1	0.01097	cleavage stimulation factor subunit 1
HEATR5A	0.010995	HEAT repeat containing 5A
NR2C2AP	0.011040000000000001	nuclear receptor 2C2 associated protein
ITFG2	0.0111	integrin alpha FG-GAP repeat containing 2
CSNK1G3	0.01123	casein kinase 1 gamma 3
ABHD16A	0.011283	abhydrolase domain containing 16A, phospholipase
KPTN	0.011295	kaptin, actin binding protein
VPS41	0.01137	VPS41 subunit of HOPS complex
DCAF16	0.011465	DDB1 and CUL4 associated factor 16
EI24	0.011465	EI24 autophagy associated transmembrane protein
ATP9A	0.011559999999999999	ATPase phospholipid transporting 9A (putative)
CPT1A	0.011659	carnitine palmitoyltransferase 1A
DERL1	0.011682	derlin 1
AAR2	0.0117	AAR2 splicing factor
KAZN	0.01173	kazrin, periplakin interacting protein
SYMPK	0.011785	symplekin scaffold protein
PLCG1	0.0119035	phospholipase C gamma 1
SLC35B3	0.01203	solute carrier family 35 member B3
RAB5C	0.012060000000000001	RAB5C, member RAS oncogene family
TMEM87A	0.012225	transmembrane protein 87A
GET4	0.01225	guided entry of tail-anchored proteins factor 4
AMACR	0.01229	alpha-methylacyl-CoA racemase
PON2	0.012305	paraoxonase 2
ARVCF	0.012355	ARVCF delta catenin family member
ACBD3	0.0125	acyl-CoA binding domain containing 3
MLEC	0.012549999999999999	malectin
ACLY	0.01264	ATP citrate lyase
S100P	0.01269	S100 calcium binding protein P
LGALS8	0.012719999999999999	galectin 8
TRIM47	0.01273	tripartite motif containing 47
TPRN	0.012799999999999999	taperin
TRIP11	0.012835	thyroid hormone receptor interactor 11
RPL32	0.01286	ribosomal protein L32
EPS8L1	0.01286085	EPS8 like 1
GOLGA1	0.012958	golgin A1
CLIC3	0.012995	chloride intracellular channel 3
ANKRD52	0.01301	ankyrin repeat domain 52
ZNF512	0.01301	zinc finger protein 512
PLEKHG3	0.013049999999999999	pleckstrin homology and RhoGEF domain containing G3
TMEM120A	0.013054999999999999	transmembrane protein 120A
MBOAT2	0.0130635	membrane bound O-acyltransferase domain containing 2
COPB1	0.013066050000000001	COPI coat complex subunit beta 1
TJP2	0.01315	tight junction protein 2
DGKH	0.01317	diacylglycerol kinase eta
SAPCD2	0.013175	suppressor APC domain containing 2
STT3A	0.013225	STT3 oligosaccharyltransferase complex catalytic subunit A
LSM2	0.013325	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated
HDLBP	0.013443499999999999	high density lipoprotein binding protein
ACOX3	0.01349	acyl-CoA oxidase 3, pristanoyl
PLEKHS1	0.0135	pleckstrin homology domain containing S1
PIGT	0.01355207	phosphatidylinositol glycan anchor biosynthesis class T
CYTIP	0.01375	cytohesin 1 interacting protein
NAALADL2	0.013850000000000001	N-acetylated alpha-linked acidic dipeptidase like 2
SAE1	0.01387	SUMO1 activating enzyme subunit 1
SOX13	0.014107	SRY-box transcription factor 13
RAB3A	0.0142355	RAB3A, member RAS oncogene family
IPO4	0.01425	importin 4
TMEM132A	0.0143625	transmembrane protein 132A
ACBD7	0.014525	acyl-CoA binding domain containing 7
RANBP3	0.014544999999999999	RAN binding protein 3
SARS2	0.01455	seryl-tRNA synthetase 2, mitochondrial
ALG12	0.01457	ALG12 alpha-1,6-mannosyltransferase
MAGT1	0.01459625	magnesium transporter 1
EDEM3	0.0146	ER degradation enhancing alpha-mannosidase like protein 3
BTF3	0.01465	basic transcription factor 3
ING1	0.01471	inhibitor of growth family member 1
GLOD4	0.014754999999999999	glyoxalase domain containing 4
SNX7	0.014905	sorting nexin 7
C17orf62	0.01496	cytochrome b-245 chaperone 1
HIBCH	0.014960000000000001	3-hydroxyisobutyryl-CoA hydrolase
STX6	0.014969999999999999	syntaxin 6
RAB2B	0.014984999999999998	RAB2B, member RAS oncogene family
UNK	0.015035000000000001	unk zinc finger
SCP2	0.015115	sterol carrier protein 2
TP53I11	0.0151175	tumor protein p53 inducible protein 11
TBL2	0.015179999999999999	transducin beta like 2
MED25	0.015205	mediator complex subunit 25
FCHSD2	0.01525	FCH and double SH3 domains 2
AP2S1	0.015285	adaptor related protein complex 2 subunit sigma 1
B4GALT7	0.015295	beta-1,4-galactosyltransferase 7
ZCCHC2	0.015380000000000001	zinc finger CCHC-type containing 2
CADPS2	0.0154	calcium dependent secretion activator 2
PI4KB	0.01541	phosphatidylinositol 4-kinase beta
RSBN1	0.015505	round spermatid basic protein 1
KLHDC7A	0.015515	kelch domain containing 7A
DYNLT1	0.015565	dynein light chain Tctex-type 1
ALG11	0.015565	ALG11 alpha-1,2-mannosyltransferase
ZNF451	0.015604999999999999	zinc finger protein 451
UBE2O	0.015649999999999997	ubiquitin conjugating enzyme E2 O
ZNF414	0.01575	zinc finger protein 414
KCTD18	0.015795	potassium channel tetramerization domain containing 18
LUC7L3	0.0158106	LUC7 like 3 pre-mRNA splicing factor
TMED5	0.01615	transmembrane p24 trafficking protein 5
SLITRK6	0.01625	SLIT and NTRK like family member 6
ABCC5	0.01625	ATP binding cassette subfamily C member 5
C7orf43	0.016250855	trafficking protein particle complex subunit 14
SRXN1	0.016295	sulfiredoxin 1
CDR2L	0.0162985	cerebellar degeneration related protein 2 like
SEC22B	0.0163	SEC22 homolog B, vesicle trafficking protein
LZTS2	0.01635	leucine zipper tumor suppressor 2
ACAA1	0.016425	acetyl-CoA acyltransferase 1
PM20D2	0.016425	peptidase M20 domain containing 2
TMEM141	0.016450127499999998	transmembrane protein 141
EHMT1	0.016505	euchromatic histone lysine methyltransferase 1
NAA25	0.0166	N-alpha-acetyltransferase 25, NatB auxiliary subunit
SOX9	0.016835	SRY-box transcription factor 9
ZCCHC17	0.01685	zinc finger CCHC-type containing 17
COPZ1	0.01697	COPI coat complex subunit zeta 1
THRA	0.01698925	thyroid hormone receptor alpha
NME1	0.0170715	NME/NM23 nucleoside diphosphate kinase 1
ARL6	0.0172823	ADP ribosylation factor like GTPase 6
DFFA	0.017365	DNA fragmentation factor subunit alpha
ABL1	0.01745	ABL proto-oncogene 1, non-receptor tyrosine kinase
EMC10	0.01745	ER membrane protein complex subunit 10
SSR1	0.01755	signal sequence receptor subunit 1
MACC1	0.017550000000000003	MET transcriptional regulator MACC1
JMJD4	0.01759	jumonji domain containing 4
WDR77	0.01765	WD repeat domain 77
FLAD1	0.0177	flavin adenine dinucleotide synthetase 1
OSBPL2	0.017916349999999998	oxysterol binding protein like 2
TEX264	0.017995	testis expressed 264, ER-phagy receptor
POMGNT2	0.01805	protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)
IRS1	0.01811	insulin receptor substrate 1
TSTD2	0.018125	thiosulfate sulfurtransferase like domain containing 2
KDM6B	0.01815	lysine demethylase 6B
TPRKB	0.01821	TP53RK binding protein
ALKBH2	0.0183	alkB homolog 2, alpha-ketoglutarate dependent dioxygenase
EIF3K	0.0183	eukaryotic translation initiation factor 3 subunit K
GTPBP3	0.018315	GTP binding protein 3, mitochondrial
RALB	0.018315	RAS like proto-oncogene B
FAM3B	0.01833	FAM3 metabolism regulating signaling molecule B
LSM7	0.01838	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated
C19orf47	0.018395	chromosome 19 open reading frame 47
VAMP7	0.0184	vesicle associated membrane protein 7
CELSR2	0.018401	cadherin EGF LAG seven-pass G-type receptor 2
ZBTB14	0.01845	zinc finger and BTB domain containing 14
SMPD4	0.018475	sphingomyelin phosphodiesterase 4
AK2	0.01855	adenylate kinase 2
RPAIN	0.0186	RPA interacting protein
SLC12A8	0.018761649999999998	solute carrier family 12 member 8
RABGGTB	0.018795	Rab geranylgeranyltransferase subunit beta
MNT	0.0188	MAX network transcriptional repressor
HDAC9	0.01885	histone deacetylase 9
PRDM10	0.018895	PR/SET domain 10
S100A7	0.01891	S100 calcium binding protein A7
TMCC1	0.01895	transmembrane and coiled-coil domain family 1
CPD	0.018950595	carboxypeptidase D
HDHD2	0.018995	haloacid dehalogenase like hydrolase domain containing 2
TPCN1	0.01905	two pore segment channel 1
UBA2	0.019085	ubiquitin like modifier activating enzyme 2
SRD5A3	0.019115	steroid 5 alpha-reductase 3
SPINT1	0.01916335	serine peptidase inhibitor, Kunitz type 1
RHOF	0.019190000000000002	ras homolog family member F, filopodia associated
ARHGAP21	0.01925	Rho GTPase activating protein 21
PCGF2	0.019303	polycomb group ring finger 2
SEC13	0.019450000000000002	SEC13 homolog, nuclear pore and COPII coat complex component
C1QBP	0.0195	complement C1q binding protein
USP28	0.01951	ubiquitin specific peptidase 28
TGFBR1	0.019595	transforming growth factor beta receptor 1
TNKS1BP1	0.0196	tankyrase 1 binding protein 1
PITPNC1	0.019665	phosphatidylinositol transfer protein cytoplasmic 1
TMX1	0.019675	thioredoxin related transmembrane protein 1
ERCC2	0.019842500000000002	ERCC excision repair 2, TFIIH core complex helicase subunit
MBD4	0.01997	methyl-CpG binding domain 4, DNA glycosylase
IVNS1ABP	0.020161	influenza virus NS1A binding protein
KLRG2	0.02024	killer cell lectin like receptor G2
TMEM87B	0.020249999999999997	transmembrane protein 87B
RAB20	0.020325000000000003	RAB20, member RAS oncogene family
RAB27A	0.02035234	RAB27A, member RAS oncogene family
SAR1A	0.020415	secretion associated Ras related GTPase 1A
HDAC5	0.02042	histone deacetylase 5
CISD2	0.020499999999999997	CDGSH iron sulfur domain 2
NDC1	0.0205	NDC1 transmembrane nucleoporin
HAGH	0.020505000000000002	hydroxyacylglutathione hydrolase
ANP32E	0.02065	acidic nuclear phosphoprotein 32 family member E
CCDC85C	0.0207	coiled-coil domain containing 85C
MOB3C	0.0207	MOB kinase activator 3C
BCAP29	0.020825000000000003	B cell receptor associated protein 29
TNS4	0.020875	tensin 4
YIPF5	0.020900000000000002	Yip1 domain family member 5
EEF1D	0.02095	eukaryotic translation elongation factor 1 delta
DAGLB	0.021075	diacylglycerol lipase beta
CCT8	0.021150000000000002	chaperonin containing TCP1 subunit 8
PIN1	0.0213	peptidylprolyl cis/trans isomerase, NIMA-interacting 1
AP1S1	0.0215025	adaptor related protein complex 1 subunit sigma 1
PIGU	0.021609999999999997	phosphatidylinositol glycan anchor biosynthesis class U
STXBP3	0.02165	syntaxin binding protein 3
NFIX	0.02169	nuclear factor I X
CROT	0.021855	carnitine O-octanoyltransferase
ZBED6	0.021901155	zinc finger BED-type containing 6
IPPK	0.02198	inositol-pentakisphosphate 2-kinase
HDGF	0.022010000000000002	heparin binding growth factor
COX20	0.022045	cytochrome c oxidase assembly factor COX20
ETNK2	0.02215	ethanolamine kinase 2
SARS	0.0223	seryl-tRNA synthetase 1
KRT7	0.022335	keratin 7
APMAP	0.022386	adipocyte plasma membrane associated protein
TMEM214	0.022405	transmembrane protein 214
