Gene	r	p	Name
FNBP1L	0.427	0.00011	formin binding protein 1 like
NCRNA00093	0.426	0.000111	DNMBP antisense RNA 1
LNX2	0.426	0.000113	ligand of numb-protein X 2
PHF20	0.426	0.000114	PHD finger protein 20
NFE2L3	-0.426	0.000114	NFE2 like bZIP transcription factor 3
PLEKHJ1	-0.425	0.000116	pleckstrin homology domain containing J1
CAMK1	-0.425	0.000116	calcium/calmodulin dependent protein kinase I
RHBDF2	-0.425	0.000116	rhomboid 5 homolog 2
FAM110C	0.425	0.000116	family with sequence similarity 110 member C
KIAA1598	0.425	0.000117	shootin 1
KHK	-0.425	0.000118	ketohexokinase
OSBPL5	0.425	0.000118	oxysterol binding protein like 5
C3orf14	0.425	0.000119	chromosome 3 open reading frame 14
SPRED2	0.425	0.000119	sprouty related EVH1 domain containing 2
FBL	-0.424	0.000122	fibrillarin
C6orf147	-0.424	0.000122	KH domain containing 1
MUTYH	-0.424	0.000123	mutY DNA glycosylase
MARVELD2	0.424	0.000123	MARVEL domain containing 2
RNASEK	-0.424	0.000123	ribonuclease K
MAGED1	0.423	0.000126	MAGE family member D1
FCN1	-0.423	0.000127	ficolin 1
EFR3A	0.423	0.000128	EFR3 homolog A
IGSF3	0.422	0.000132	immunoglobulin superfamily member 3
CRNKL1	0.422	0.000133	crooked neck pre-mRNA splicing factor 1
LYAR	-0.421	0.000135	Ly1 antibody reactive
F9	0.421	0.000135	coagulation factor IX
HN1L	0.421	0.000137	Jupiter microtubule associated homolog 2
FRS3	-0.421	0.000137	fibroblast growth factor receptor substrate 3
FAM100B	-0.421	0.000139	UBA like domain containing 2
PAX9	0.421	0.00014	paired box 9
ATP7B	0.42	0.00014	ATPase copper transporting beta
YPEL2	0.42	0.000142	yippee like 2
MTUS2	0.42	0.000142	microtubule associated scaffold protein 2
LDHB	-0.42	0.000143	lactate dehydrogenase B
GSK3B	0.42	0.000144	glycogen synthase kinase 3 beta
MAT1A	-0.42	0.000145	methionine adenosyltransferase 1A
TNIP2	-0.419	0.000148	TNFAIP3 interacting protein 2
KDM5B	0.419	0.000149	lysine demethylase 5B
CLTC	0.419	0.000152	clathrin heavy chain
PLEKHF2	0.419	0.000152	pleckstrin homology and FYVE domain containing 2
EPGN	0.419	0.000152	epithelial mitogen
KTELC1	-0.418	0.000152	protein O-glucosyltransferase 1
TMC5	0.418	0.000153	transmembrane channel like 5
SLC12A1	0.418	0.000154	solute carrier family 12 member 1
TRIM62	0.418	0.000158	tripartite motif containing 62
ZNF232	-0.417	0.000159	zinc finger protein 232
GNPNAT1	0.417	0.000161	glucosamine-phosphate N-acetyltransferase 1
TMEM49	0.417	0.000161	vacuole membrane protein 1
GSTCD	0.417	0.000162	glutathione S-transferase C-terminal domain containing
MBP	-0.416	0.000165	myelin basic protein
INPP5B	-0.416	0.000166	inositol polyphosphate-5-phosphatase B
C1orf84	-0.416	0.000168	SZT2 subunit of KICSTOR complex
CAPN13	0.416	0.000169	calpain 13
ALG10	0.416	0.00017	ALG10 alpha-1,2-glucosyltransferase
SH3BP4	0.415	0.000172	SH3 domain binding protein 4
SLC9A2	0.415	0.000172	solute carrier family 9 member A2
TOX3	0.415	0.000177	TOX high mobility group box family member 3
TAZ	-0.414	0.00018	tafazzin, phospholipid-lysophospholipid transacylase
AKR1B10	0.414	0.00018	aldo-keto reductase family 1 member B10
TMEM5	0.414	0.00018	ribitol xylosyltransferase 1
MYPN	0.414	0.000181	myopalladin
WDR26	0.414	0.000183	WD repeat domain 26
UBR1	0.414	0.000184	ubiquitin protein ligase E3 component n-recognin 1
N4BP2L1	-0.413	0.000187	NEDD4 binding protein 2 like 1
C1orf180	0.413	0.000187	long intergenic non-protein coding RNA 1555
GCM1	0.413	0.000187	glial cells missing transcription factor 1
MMEL1	0.413	0.000191	membrane metalloendopeptidase like 1
DAPK2	-0.413	0.000193	death associated protein kinase 2
PANK3	0.412	0.000198	pantothenate kinase 3
CHPT1	-0.411	0.000201	choline phosphotransferase 1
TNIK	0.411	0.000202	TRAF2 and NCK interacting kinase
SYT12	0.411	0.000205	synaptotagmin 12
U2AF1L4	-0.411	0.000206	U2 small nuclear RNA auxiliary factor 1 like 4
C17orf28	0.411	0.000206	HID1 domain containing
RBP7	-0.411	0.000207	retinol binding protein 7
CALML4	-0.411	0.000207	calmodulin like 4
FHOD1	0.411	0.000207	formin homology 2 domain containing 1
CRISP3	0.411	0.000208	cysteine rich secretory protein 3
RFESD	0.41	0.00021	Rieske Fe-S domain containing
C17orf81	-0.41	0.000213	elongator acetyltransferase complex subunit 5
RALB	0.41	0.000215	RAS like proto-oncogene B
RWDD3	-0.41	0.000215	RWD domain containing 3
FAM9A	0.41	0.000215	family with sequence similarity 9 member A
CA11	-0.409	0.000218	carbonic anhydrase 11
ANKLE1	-0.409	0.000218	ankyrin repeat and LEM domain containing 1
EPPK1	0.409	0.000219	epiplakin 1
ITFG2	-0.409	0.000219	integrin alpha FG-GAP repeat containing 2
ECHDC1	-0.409	0.00022	ethylmalonyl-CoA decarboxylase 1
RAB3GAP1	0.409	0.000221	RAB3 GTPase activating protein catalytic subunit 1
LOC400940	0.409	0.000222	uncharacterized LOC400940(LOC400940)
SLC26A3	0.409	0.000223	solute carrier family 26 member 3
PRR3	-0.409	0.000223	proline rich 3
SARS2	-0.408	0.000228	seryl-tRNA synthetase 2, mitochondrial
BTBD9	0.408	0.000228	BTB domain containing 9
KRT8	0.408	0.000229	keratin 8
SMUG1	0.408	0.00023	single-strand-selective monofunctional uracil-DNA glycosylase 1
TDRD1	0.408	0.000233	tudor domain containing 1
CTNND1	0.408	0.000233	catenin delta 1
RNF11	0.408	0.000234	ring finger protein 11
ZNF816A	0.408	0.000234	zinc finger protein 816
TMEM87B	0.407	0.000241	transmembrane protein 87B
TMEM135	0.407	0.000241	transmembrane protein 135
PSIP1	-0.407	0.000244	PC4 and SFRS1 interacting protein 1
ZNF576	-0.406	0.000244	zinc finger protein 576
MATN1	-0.406	0.000247	matrilin 1
C9orf91	0.406	0.000249	transmembrane protein 268
ACLY	0.406	0.000251	ATP citrate lyase
FGFR4	0.406	0.000253	fibroblast growth factor receptor 4
LOC100130557	-0.405	0.000254	
SDHAF1	-0.405	0.000255	succinate dehydrogenase complex assembly factor 1
CPB2	0.405	0.000255	carboxypeptidase B2
LOC285796	-0.405	0.000256	
SCD	0.405	0.000258	stearoyl-CoA desaturase
METTL4	-0.405	0.00026	methyltransferase 4, N6-adenosine
ASPHD1	-0.405	0.000261	aspartate beta-hydroxylase domain containing 1
CCDC163P	-0.405	0.000261	CCDC163 homolog
HPRT1	-0.404	0.000265	hypoxanthine phosphoribosyltransferase 1
PPM1N	-0.404	0.000266	protein phosphatase, Mg2+/Mn2+ dependent 1N (putative)
GAL3ST2	0.404	0.000269	galactose-3-O-sulfotransferase 2
ZNF575	-0.404	0.000273	zinc finger protein 575
TRIM3	0.404	0.000274	tripartite motif containing 3
VSTM2L	0.403	0.000275	V-set and transmembrane domain containing 2 like
JUP	0.403	0.000276	junction plakoglobin
PSMD5	0.403	0.000276	proteasome 26S subunit, non-ATPase 5
DEGS1	0.403	0.000276	delta 4-desaturase, sphingolipid 1
BPIL1	0.403	0.000277	BPI fold containing family B member 2
C19orf61	-0.403	0.000279	SMG9 nonsense mediated mRNA decay factor
PRLR	0.403	0.000279	prolactin receptor
YIPF1	0.403	0.000279	Yip1 domain family member 1
NCRNA00173	-0.403	0.000279	long intergenic non-protein coding RNA 173
C1orf9	0.403	0.00028	SUN domain containing ossification factor
UBL7	-0.403	0.00028	ubiquitin like 7
EXOSC5	-0.403	0.00028	exosome component 5
SYNJ2BP	0.403	0.000281	synaptojanin 2 binding protein
CLGN	0.403	0.000282	calmegin
MTA3	0.403	0.000282	metastasis associated 1 family member 3
ARRB2	-0.402	0.000288	arrestin beta 2
CANT1	0.402	0.00029	calcium activated nucleotidase 1
MRPL19	0.402	0.00029	mitochondrial ribosomal protein L19
CDC42BPB	0.402	0.000291	CDC42 binding protein kinase beta
NR2C1	-0.402	0.000294	nuclear receptor subfamily 2 group C member 1
GPRC5C	0.402	0.000295	G protein-coupled receptor class C group 5 member C
PLEKHG4	-0.402	0.000295	pleckstrin homology and RhoGEF domain containing G4
GBGT1	-0.402	0.000295	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)
ENTPD2	0.402	0.000295	ectonucleoside triphosphate diphosphohydrolase 2
SCARB1	-0.401	0.000298	scavenger receptor class B member 1
PELP1	-0.401	0.0003	proline, glutamate and leucine rich protein 1
MUC1	0.401	0.000301	mucin 1, cell surface associated
ZNF609	0.401	0.000303	zinc finger protein 609
PCGF2	0.401	0.000303	polycomb group ring finger 2
YIPF6	0.401	0.000304	Yip1 domain family member 6
GOLGA2	0.401	0.000305	golgin A2
UNC5A	0.4	0.000308	unc-5 netrin receptor A
FYCO1	0.4	0.000308	FYVE and coiled-coil domain autophagy adaptor 1
SNX11	-0.4	0.00031	sorting nexin 11
TSPAN9	0.4	0.000315	tetraspanin 9
RGS9	-0.399	0.000319	regulator of G protein signaling 9
TOM1L2	0.399	0.00032	target of myb1 like 2 membrane trafficking protein
SLC10A7	0.399	0.000321	solute carrier family 10 member 7
GGT1	0.399	0.000321	gamma-glutamyltransferase 1
ZNF649	0.399	0.000322	zinc finger protein 649
PLCG2	-0.399	0.000324	phospholipase C gamma 2
ZNF626	0.399	0.000325	zinc finger protein 626
FAM84B	0.399	0.000328	LRAT domain containing 2
ZNF276	-0.399	0.000329	zinc finger protein 276
CHST2	-0.399	0.000329	carbohydrate sulfotransferase 2
TBX19	-0.399	0.000329	T-box transcription factor 19
ESRP2	0.399	0.00033	epithelial splicing regulatory protein 2
JPH3	0.399	0.000331	junctophilin 3
MT1M	-0.398	0.000336	metallothionein 1M
FAM59A	0.397	0.000346	GRB2 associated regulator of MAPK1 subtype 1
RPAIN	-0.397	0.000348	RPA interacting protein
FES	-0.397	0.000348	FES proto-oncogene, tyrosine kinase
SCYL3	0.397	0.000351	SCY1 like pseudokinase 3
MFAP3	0.397	0.000351	microfibril associated protein 3
GDF5	-0.397	0.000351	growth differentiation factor 5
UBL3	0.397	0.000354	ubiquitin like 3
TYW3	-0.396	0.000359	tRNA-yW synthesizing protein 3 homolog
TTLL5	0.396	0.000361	tubulin tyrosine ligase like 5
CEACAM6	0.396	0.000365	CEA cell adhesion molecule 6
SEC24A	0.395	0.000373	SEC24 homolog A, COPII coat complex component
RAD21L1	0.395	0.000373	RAD21 cohesin complex component like 1
C1orf130	-0.395	0.000375	non-compact myelin associated protein
KLHDC7A	0.395	0.000376	kelch domain containing 7A
GFPT1	0.395	0.000377	glutamine--fructose-6-phosphate transaminase 1
CACNA2D4	-0.395	0.00038	calcium voltage-gated channel auxiliary subunit alpha2delta 4
ADHFE1	-0.395	0.000382	alcohol dehydrogenase iron containing 1
PM20D2	-0.395	0.000382	peptidase M20 domain containing 2
KIRREL2	-0.395	0.000385	kirre like nephrin family adhesion molecule 2
RAB40B	-0.394	0.000387	RAB40B, member RAS oncogene family
MBD1	-0.394	0.000387	methyl-CpG binding domain protein 1
