Gene	r	p	Name
GOLGA2	0.34	0.00245	golgin A2
UBR1	0.34	0.00247	ubiquitin protein ligase E3 component n-recognin 1
FOXRED1	0.34	0.00249	FAD dependent oxidoreductase domain containing 1
FN3KRP	-0.339	0.00252	fructosamine 3 kinase related protein
SMAD3	-0.339	0.00254	SMAD family member 3
BAD	-0.339	0.00255	BCL2 associated agonist of cell death
RBM22	-0.339	0.00255	RNA binding motif protein 22
RPS24	0.339	0.00257	ribosomal protein S24
ARHGEF10L	-0.339	0.00259	Rho guanine nucleotide exchange factor 10 like
RPS15	0.339	0.00259	ribosomal protein S15
XDH	0.338	0.00262	xanthine dehydrogenase
RLIM	-0.357	0.00263	ring finger protein, LIM domain interacting
KYNU	0.338	0.00265	kynureninase
BBS2	-0.342	0.00266	Bardet-Biedl syndrome 2
DCUN1D4	-0.364	0.00267	defective in cullin neddylation 1 domain containing 4
CGAS	-0.344	0.0027	cyclic GMP-AMP synthase
TSHZ3	0.441	0.00271	teashirt zinc finger homeobox 3
SRSF9	-0.337	0.00272	serine and arginine rich splicing factor 9
SEPTIN9	-0.337	0.00275	septin 9
STX5	0.336	0.00278	syntaxin 5
SNX10	-0.593	0.00284	sorting nexin 10
ARL1	0.335	0.00286	ADP ribosylation factor like GTPase 1
TRIM47	-0.336	0.00286	tripartite motif containing 47
HCFC1	-0.335	0.00287	host cell factor C1
DRC7	-0.421	0.00287	dynein regulatory complex subunit 7
RABGGTB	-0.335	0.00289	Rab geranylgeranyltransferase subunit beta
PTPRB	-0.398	0.0029	protein tyrosine phosphatase receptor type B
SCP2	0.335	0.00293	sterol carrier protein 2
SSBP3	-0.335	0.00294	single stranded DNA binding protein 3
CTAGE1	0.334	0.00297	cutaneous T cell lymphoma-associated antigen 1
THEGL	-0.442	0.00297	theg spermatid protein like
HDGFL2	-0.334	0.00299	HDGF like 2
CDCP1	0.34	0.003	CUB domain containing protein 1
USF2	-0.334	0.003	upstream transcription factor 2, c-fos interacting
RAB5C	0.334	0.00302	RAB5C, member RAS oncogene family
ELMOD2	0.333	0.00305	ELMO domain containing 2
KRT7	0.333	0.00307	keratin 7
SPIN4	-0.359	0.00307	spindlin family member 4
GPCPD1	0.333	0.0031	glycerophosphocholine phosphodiesterase 1
ACTL6B	-0.333	0.0031	actin like 6B
STC2	-0.333	0.00311	stanniocalcin 2
KCNH5	-0.53	0.00314	potassium voltage-gated channel subfamily H member 5
ACSL3	0.332	0.00321	acyl-CoA synthetase long chain family member 3
BZW2	0.331	0.00324	basic leucine zipper and W2 domains 2
CEP131	-0.331	0.00324	centrosomal protein 131
MAPRE3	-0.331	0.00325	microtubule associated protein RP/EB family member 3
RPS10-NUDT3	-0.331	0.0033	RPS10-NUDT3 readthrough
SCGN	0.331	0.00331	secretagogin, EF-hand calcium binding protein
ARVCF	0.331	0.00331	ARVCF delta catenin family member
MBD4	-0.337	0.00334	methyl-CpG binding domain 4, DNA glycosylase
RBM33	-0.33	0.00334	RNA binding motif protein 33
PREPL	0.33	0.00339	prolyl endopeptidase like
RANBP9	0.33	0.0034	RAN binding protein 9
MED25	-0.33	0.00341	mediator complex subunit 25
DNAJC14	-0.469	0.00342	DnaJ heat shock protein family (Hsp40) member C14
KMT2E	-0.414	0.00342	lysine methyltransferase 2E (inactive)
WDR4	0.329	0.00345	WD repeat domain 4
POGLUT1	-0.329	0.00346	protein O-glucosyltransferase 1
FOXK2	-0.329	0.00349	forkhead box K2
CEP20	-0.487	0.0035	centrosomal protein 20
UPRT	-0.329	0.00351	uracil phosphoribosyltransferase homolog
PIGK	0.329	0.00352	phosphatidylinositol glycan anchor biosynthesis class K
TBC1D30	0.349	0.00352	TBC1 domain family member 30
ATP2A2	0.329	0.00353	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
ZNF318	-0.328	0.00356	zinc finger protein 318
MAD1L1	-0.328	0.00359	mitotic arrest deficient 1 like 1
LMAN2	0.328	0.00362	lectin, mannose binding 2
GSTA4	0.351	0.00364	glutathione S-transferase alpha 4
NIPSNAP3B	-0.364	0.00368	nipsnap homolog 3B
OSTC	0.331	0.00369	oligosaccharyltransferase complex non-catalytic subunit
SEC13	0.327	0.0037	SEC13 homolog, nuclear pore and COPII coat complex component
RAB11B	0.327	0.00371	RAB11B, member RAS oncogene family
SSR4	0.327	0.00373	signal sequence receptor subunit 4
FPGS	0.326	0.00378	folylpolyglutamate synthase
SNIP1	-0.326	0.00387	Smad nuclear interacting protein 1
CGN	-0.325	0.00388	cingulin
TFAP4	-0.325	0.00392	transcription factor AP-4
HSPA4L	-0.325	0.00392	heat shock protein family A (Hsp70) member 4 like
SMAD1	0.325	0.00392	SMAD family member 1
ARL6IP4	-0.324	0.00405	ADP ribosylation factor like GTPase 6 interacting protein 4
RPN1	0.324	0.00408	ribophorin I
CDKN1C	-0.501	0.00409	cyclin dependent kinase inhibitor 1C
DNAJC8	-0.323	0.00414	DnaJ heat shock protein family (Hsp40) member C8
N4BP2L2	-0.323	0.00417	NEDD4 binding protein 2 like 2
ITGB6	0.323	0.00417	integrin subunit beta 6
GMPPA	0.323	0.00419	GDP-mannose pyrophosphorylase A
HID1	0.323	0.00419	HID1 domain containing
TGFB2	-0.329	0.00423	transforming growth factor beta 2
LUC7L2	-0.322	0.00423	LUC7 like 2, pre-mRNA splicing factor
ASXL2	-0.322	0.00427	ASXL transcriptional regulator 2
NUP58	-0.322	0.00427	nucleoporin 58
CHN1	0.342	0.00428	chimerin 1
CEP192	-0.322	0.00429	centrosomal protein 192
FRG1	-0.322	0.0043	FSHD region gene 1
RAB3B	0.321	0.00437	RAB3B, member RAS oncogene family
RASSF4	-0.321	0.00437	Ras association domain family member 4
SMAD2	-0.321	0.00447	SMAD family member 2
SEC24D	0.321	0.00447	SEC24 homolog D, COPII coat complex component
CEP78	-0.327	0.00448	centrosomal protein 78
RAB5B	0.32	0.00451	RAB5B, member RAS oncogene family
TNIP2	-0.32	0.00454	TNFAIP3 interacting protein 2
PPIG	-0.32	0.00455	peptidylprolyl isomerase G
RPS10	-0.32	0.00459	ribosomal protein S10
NAB1	-0.335	0.0046	NGFI-A binding protein 1
ASPH	0.319	0.00464	aspartate beta-hydroxylase
DDOST	0.319	0.00465	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
RAB11A	0.319	0.00474	RAB11A, member RAS oncogene family
PCSK6	-0.437	0.0048	proprotein convertase subtilisin/kexin type 6
KCNB1	-0.459	0.00488	potassium voltage-gated channel subfamily B member 1
CLTC	0.317	0.00492	clathrin heavy chain
MLPH	0.317	0.00493	melanophilin
RPL23	0.317	0.00495	ribosomal protein L23
NOXA1	0.364	0.00496	NADPH oxidase activator 1
DCAF16	-0.334	0.00503	DDB1 and CUL4 associated factor 16
ATP7B	0.533	0.00505	ATPase copper transporting beta
SCYL2	0.316	0.00507	SCY1 like pseudokinase 2
WDCP	-0.349	0.0051	WD repeat and coiled coil containing
SUGP1	-0.316	0.0051	SURP and G-patch domain containing 1
TMED10	0.316	0.00511	transmembrane p24 trafficking protein 10
ARFGEF3	0.316	0.00512	ARFGEF family member 3
NBEAL2	0.316	0.00513	neurobeachin like 2
NDUFA3	-0.316	0.00515	NADH:ubiquinone oxidoreductase subunit A3
CANT1	0.316	0.00516	calcium activated nucleotidase 1
SCGB1D2	0.32	0.00517	secretoglobin family 1D member 2
CCNY	0.322	0.00517	cyclin Y
AMACR	0.316	0.00518	alpha-methylacyl-CoA racemase
TOX3	0.315	0.0052	TOX high mobility group box family member 3
CSDE1	0.315	0.00521	cold shock domain containing E1
CCDC8	-0.321	0.00523	coiled-coil domain containing 8
EPC2	-0.371	0.00525	enhancer of polycomb homolog 2
SLBP	-0.335	0.00526	stem-loop binding protein
CREB3L4	0.34	0.00528	cAMP responsive element binding protein 3 like 4
RAB5A	0.315	0.00533	RAB5A, member RAS oncogene family
EMC7	0.314	0.0055	ER membrane protein complex subunit 7
TM9SF4	0.313	0.00552	transmembrane 9 superfamily member 4
PTRH2	0.313	0.00555	peptidyl-tRNA hydrolase 2
SUSD2	0.313	0.00557	sushi domain containing 2
TNFSF12-TNFSF13	-0.313	0.00559	TNFSF12-TNFSF13 readthrough
ARHGAP22	-0.348	0.0056	Rho GTPase activating protein 22
CLTCL1	0.313	0.00561	clathrin heavy chain like 1
GALNT3	0.313	0.00563	polypeptide N-acetylgalactosaminyltransferase 3
PIK3C2B	0.312	0.00569	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta
IFI35	-0.312	0.0057	interferon induced protein 35
CBR3	0.312	0.00575	carbonyl reductase 3
APOBEC3A_B	-0.385	0.00578	APOBEC3A and APOBEC3B deletion hybrid
GID8	0.312	0.00581	GID complex subunit 8 homolog
YEATS4	-0.312	0.00581	YEATS domain containing 4
SOX4	-0.333	0.00585	SRY-box transcription factor 4
SNRPF	-0.311	0.00587	small nuclear ribonucleoprotein polypeptide F
PRKCD	0.311	0.00589	protein kinase C delta
POMGNT2	-0.413	0.0059	protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)
ADCK5	0.363	0.00592	aarF domain containing kinase 5
LRRC58	-0.357	0.00593	leucine rich repeat containing 58
ANKRD55	-0.408	0.00599	ankyrin repeat domain 55
SH2D4A	0.31	0.00602	SH2 domain containing 4A
FTSJ1	0.31	0.00614	FtsJ RNA 2'-O-methyltransferase 1
NAB2	-0.31	0.00614	NGFI-A binding protein 2
NCOA1	-0.31	0.00615	nuclear receptor coactivator 1
ARMCX2	-0.31	0.00616	armadillo repeat containing X-linked 2
TAF13	-0.352	0.00621	TATA-box binding protein associated factor 13
TRIM4	0.309	0.00622	tripartite motif containing 4
SNX24	-0.309	0.00623	sorting nexin 24
ETV3	-0.336	0.00629	ETS variant transcription factor 3
AGPAT3	0.309	0.0063	1-acylglycerol-3-phosphate O-acyltransferase 3
CTAGE6	0.309	0.00631	CTAGE family member 6
NOL3	0.308	0.00636	nucleolar protein 3
SLC25A46	-0.575	0.00637	solute carrier family 25 member 46
ITPA	0.308	0.00641	inosine triphosphatase
ATXN7L3B	0.308	0.00643	ataxin 7 like 3B
EDARADD	0.32	0.00644	EDAR associated death domain
KRT72	0.308	0.00645	keratin 72
RAB1B	0.308	0.00646	RAB1B, member RAS oncogene family
CCDC134	0.308	0.00651	coiled-coil domain containing 134
VANGL1	0.342	0.00654	VANGL planar cell polarity protein 1
ZNF92	0.317	0.00658	zinc finger protein 92
WDR87	-0.324	0.00661	WD repeat domain 87
DPH5	0.307	0.00661	diphthamide biosynthesis 5
RAB14	0.307	0.00663	RAB14, member RAS oncogene family
RFX5	-0.306	0.00681	regulatory factor X5
OPLAH	0.306	0.00683	5-oxoprolinase, ATP-hydrolysing
NUDT8	0.308	0.00685	nudix hydrolase 8
USE1	0.306	0.00689	unconventional SNARE in the ER 1
C1D	-0.448	0.00696	C1D nuclear receptor corepressor
MVK	0.305	0.00697	mevalonate kinase
RWDD2B	0.334	0.00701	RWD domain containing 2B
SCG3	-0.384	0.00702	secretogranin III
QARS1	0.305	0.00703	glutaminyl-tRNA synthetase 1
R3HCC1L	-0.311	0.00709	R3H domain and coiled-coil containing 1 like
HIF3A	-0.359	0.00712	hypoxia inducible factor 3 subunit alpha
ASCC2	0.304	0.00719	activating signal cointegrator 1 complex subunit 2
ABCC11	0.343	0.00723	ATP binding cassette subfamily C member 11
BMPR2	0.48	0.00726	bone morphogenetic protein receptor type 2
NCEH1	0.304	0.00727	neutral cholesterol ester hydrolase 1
