Gene	r	p	Name
ADAM15	0.2974	0.000879028086798	ADAM metallopeptidase domain 15
RAB18	0.2973	0.0008817483591933	RAB18, member RAS oncogene family
CFAP44	0.2969	0.0008958192720209	cilia and flagella associated protein 44
ESYT1	0.2969	0.0008969498730551	extended synaptotagmin 1
BAHCC1	0.2964	0.0009151970791158	BAH domain and coiled-coil containing 1
UBR1	0.2964	0.0009164266376137	ubiquitin protein ligase E3 component n-recognin 1
CPT1A	0.2964	0.0009181686615695	carnitine palmitoyltransferase 1A
S100A14	0.2962	0.0009240664656847	S100 calcium binding protein A14
GOLGA2	0.2961	0.0009296391263359	golgin A2
AKT1	0.2959	0.0009376691254848	AKT serine/threonine kinase 1
AFF2	0.2957	0.0009430887557827	AF4/FMR2 family member 2
CCNYL1	0.2957	0.0009432905805171	cyclin Y like 1
PIGU	0.2954	0.0009555078721272	phosphatidylinositol glycan anchor biosynthesis class U
SUCO	0.2952	0.00096241091254	SUN domain containing ossification factor
DDOST	0.295	0.0009702809337137	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
RPL3	0.2942	0.0010030241580904	ribosomal protein L3
DLG5	0.294	0.0010132860503862	discs large MAGUK scaffold protein 5
DHRS13	0.2938	0.0010210962773074	dehydrogenase/reductase 13
PI4K2B	0.2936	0.0010297265681748	phosphatidylinositol 4-kinase type 2 beta
DOCK6	0.2934	0.0010393841608182	dedicator of cytokinesis 6
C2CD2L	0.2933	0.0010429573279682	C2CD2 like
YBEY	0.2932	0.0010464295712623	ybeY metalloendoribonuclease
MS4A1	0.2932	0.0010474009512602	membrane spanning 4-domains A1
ABCG1	0.2932	0.0010492558974672	ATP binding cassette subfamily G member 1
FUS	-0.2931	0.0010501113929376	FUS RNA binding protein
MECR	-0.2929	0.0010598325735371	mitochondrial trans-2-enoyl-CoA reductase
ASCC2	0.2928	0.001065934256047	activating signal cointegrator 1 complex subunit 2
DNAJB12	0.2925	0.0010786466219319	DnaJ heat shock protein family (Hsp40) member B12
RPL35	0.2919	0.0011059551186312	ribosomal protein L35
RPL13	0.2918	0.0011107634283485	ribosomal protein L13
SLC25A1	0.2915	0.0011236205372574	solute carrier family 25 member 1
DNAJC1	0.2914	0.0011291652149664	DnaJ heat shock protein family (Hsp40) member C1
RAB3GAP2	0.2913	0.0011341607545586	RAB3 GTPase activating non-catalytic protein subunit 2
NAA40	0.2912	0.0011351256898556	N-alpha-acetyltransferase 40, NatD catalytic subunit
KMT2C	0.2911	0.0011414549654712	lysine methyltransferase 2C
SDC1	0.2907	0.001159713181966	syndecan 1
UBR2	0.2903	0.0011789085862477	ubiquitin protein ligase E3 component n-recognin 2
LNPK	0.2903	0.0011815733170587	lunapark, ER junction formation factor
PIGO	0.2901	0.0011878946888168	phosphatidylinositol glycan anchor biosynthesis class O
GSTM1	-0.2901	0.0011883979454478	glutathione S-transferase mu 1
B4GALT7	0.2899	0.0011994356541174	beta-1,4-galactosyltransferase 7
STAP2	0.2897	0.0012072174096144	signal transducing adaptor family member 2
SDF2	0.2897	0.0012079855654223	stromal cell derived factor 2
FAM174B	0.2897	0.001210067122435	family with sequence similarity 174 member B
MYOT	-0.2894	0.0012267635639432	myotilin
CFAP43	0.2893	0.0012273969917207	cilia and flagella associated protein 43
RALGAPA2	0.2891	0.0012387998798635	Ral GTPase activating protein catalytic subunit alpha 2
FYTTD1	0.2891	0.0012418573579988	forty-two-three domain containing 1
PREB	0.2889	0.0012486468113575	prolactin regulatory element binding
ANKRD18A	0.2887	0.0012590814106941	ankyrin repeat domain 18A
SLC39A11	0.2887	0.0012595997131787	solute carrier family 39 member 11
SWI5	0.2887	0.0012604044028569	SWI5 homologous recombination repair protein
RAB3GAP1	0.2886	0.0012656171733109	RAB3 GTPase activating protein catalytic subunit 1
CANX	0.2884	0.0012743672078953	calnexin
PBXIP1	0.2883	0.0012814299581868	PBX homeobox interacting protein 1
C5orf15	0.2881	0.0012886215604886	chromosome 5 open reading frame 15
RAD51B	0.2879	0.0013017428867008	RAD51 paralog B
MANEA	0.2878	0.0013048562965022	mannosidase endo-alpha
KMO	0.2877	0.0013128262366679	kynurenine 3-monooxygenase
RAB1B	0.2877	0.001312885315916	RAB1B, member RAS oncogene family
CSNK1A1	0.2876	0.0013151374754564	casein kinase 1 alpha 1
FAR1	0.2876	0.0013203590945372	fatty acyl-CoA reductase 1
RPL34	0.2874	0.0013308733477839	ribosomal protein L34
RAB14	0.2874	0.0013310438147242	RAB14, member RAS oncogene family
ADIPOR1	0.2872	0.0013381342187743	adiponectin receptor 1
SLC12A7	0.2872	0.0013390714511894	solute carrier family 12 member 7
DEGS2	0.2871	0.0013447658449683	delta 4-desaturase, sphingolipid 2
SLC34A2	0.2869	0.0013534509713595	solute carrier family 34 member 2
KPTN	-0.2866	0.0013704132933735	kaptin, actin binding protein
SLC38A2	0.2866	0.0013727082632499	solute carrier family 38 member 2
ERCC3	0.2866	0.0013727974116986	ERCC excision repair 3, TFIIH core complex helicase subunit
CSF1	-0.2865	0.0013788438382485	colony stimulating factor 1
GXYLT1	0.2864	0.0013806917683101	glucoside xylosyltransferase 1
WDR26	0.2863	0.0013872246586687	WD repeat domain 26
YPEL5	0.2863	0.0013893315379754	yippee like 5
ANKRD52	0.2858	0.0014162735401621	ankyrin repeat domain 52
TPRKB	-0.2858	0.0014175977737631	TP53RK binding protein
PAGE5	0.2855	0.0014358974505246	PAGE family member 5
ERGIC3	0.2849	0.0014675365500078	ERGIC and golgi 3
VKORC1L1	0.2849	0.0014687572411261	vitamin K epoxide reductase complex subunit 1 like 1
SMDT1	0.2847	0.0014824854568887	single-pass membrane protein with aspartate rich tail 1
RAD23A	-0.2845	0.0014937082855345	RAD23 homolog A, nucleotide excision repair protein
GET4	0.2844	0.0014981581047621	guided entry of tail-anchored proteins factor 4
SEC11A	0.2843	0.0015055493965571	SEC11 homolog A, signal peptidase complex subunit
HECTD1	0.2843	0.0015067377628905	HECT domain E3 ubiquitin protein ligase 1
SGSM3	0.284	0.0015210911357701	small G protein signaling modulator 3
ERAL1	0.284	0.0015220099306338	Era like 12S mitochondrial rRNA chaperone 1
USP3	0.2838	0.0015364415255467	ubiquitin specific peptidase 3
RPL24	0.2837	0.0015429152235761	ribosomal protein L24
TRAPPC9	0.2836	0.0015484703978612	trafficking protein particle complex subunit 9
TEX2	0.2834	0.001559225383821	testis expressed 2
PLD1	0.2833	0.0015688619326396	phospholipase D1
TMEM33	0.2829	0.0015934080036619	transmembrane protein 33
PTK6	0.2827	0.0016033152561032	protein tyrosine kinase 6
ZP2	-0.2826	0.0016104933728231	zona pellucida glycoprotein 2
DNAJC5	0.2825	0.0016157189794193	DnaJ heat shock protein family (Hsp40) member C5
JMJD4	0.2824	0.0016230004342037	jumonji domain containing 4
NFYA	-0.2822	0.0016401633654545	nuclear transcription factor Y subunit alpha
MAPT	-0.282	0.0016522033791733	microtubule associated protein tau
GCSH	-0.2819	0.0016548071882366	glycine cleavage system protein H
LSM7	-0.2819	0.0016573176539042	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated
DMPK	0.2816	0.0016762751777665	DM1 protein kinase
FAM104A	-0.2809	0.0017210852579627	family with sequence similarity 104 member A
DNAJC13	0.2807	0.0017360543816741	DnaJ heat shock protein family (Hsp40) member C13
ANAPC13	-0.2806	0.0017467721135269	anaphase promoting complex subunit 13
FDX1L	-0.2805	0.0017485810172719	ferredoxin 2
HIPK2	0.2805	0.0017498839506951	homeodomain interacting protein kinase 2
HOMER2	-0.2804	0.0017619884166288	homer scaffold protein 2
PIK3C2B	0.2795	0.00182241387411	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta
ELP5	-0.2795	0.0018227278134656	elongator acetyltransferase complex subunit 5
EEF1G	0.2794	0.0018277215319763	eukaryotic translation elongation factor 1 gamma
IVL	0.2793	0.001837550192849	involucrin
ATAD1	0.2793	0.0018397100092933	ATPase family AAA domain containing 1
TM9SF3	0.2791	0.0018489509481857	transmembrane 9 superfamily member 3
LMBRD1	0.279	0.0018608859182564	LMBR1 domain containing 1
ABCC5	0.2789	0.0018670087793029	ATP binding cassette subfamily C member 5
REEP3	0.2788	0.0018707367500452	receptor accessory protein 3
SLC37A4	0.2785	0.0018981286571635	solute carrier family 37 member 4
TMED3	0.2784	0.0019016514760294	transmembrane p24 trafficking protein 3
HPD	-0.278	0.001932689165498	4-hydroxyphenylpyruvate dioxygenase
ZC3HAV1	0.2779	0.0019414795367157	zinc finger CCCH-type containing, antiviral 1
LRRC1	0.2779	0.001941671635223	leucine rich repeat containing 1
FHOD1	0.2777	0.0019571357215914	formin homology 2 domain containing 1
RPL28	0.2774	0.0019766434534217	ribosomal protein L28
RABGAP1L	0.2773	0.0019847531452675	RAB GTPase activating protein 1 like
DDB2	-0.2773	0.0019854783825345	damage specific DNA binding protein 2
PRKCD	0.277	0.0020062490001745	protein kinase C delta
MSRB1	-0.2769	0.0020187945503555	methionine sulfoxide reductase B1
LPCAT3	0.2768	0.0020228200651365	lysophosphatidylcholine acyltransferase 3
APOOL	-0.2767	0.0020314527852384	apolipoprotein O like
AP1M2	0.2765	0.0020456858882172	adaptor related protein complex 1 subunit mu 2
UBE2I	-0.2765	0.0020487993358401	ubiquitin conjugating enzyme E2 I
GALNT6	0.2765	0.0020519051401774	polypeptide N-acetylgalactosaminyltransferase 6
BCAP29	0.2764	0.0020547903218501	B cell receptor associated protein 29
RFFL	0.2763	0.0020674145128365	ring finger and FYVE like domain containing E3 ubiquitin protein ligase
CRIPT	-0.276	0.002092233534142	CXXC repeat containing interactor of PDZ3 domain
