Gene	p value	Name
ABL1	<0.001	ABL proto-oncogene 1, non-receptor tyrosine kinase
PPP1R10	<0.001	protein phosphatase 1 regulatory subunit 10
AKT1	<0.001	AKT serine/threonine kinase 1
RPAIN	<0.001	RPA interacting protein
TNKS1BP1	<0.001	tankyrase 1 binding protein 1
LASP1	<0.001	LIM and SH3 protein 1
HN1L	<0.001	Jupiter microtubule associated homolog 2
ALDH4A1	<0.001	aldehyde dehydrogenase 4 family member A1
GGT1	<0.001	gamma-glutamyltransferase 1
PSMB3	<0.001	proteasome 20S subunit beta 3
ABCA12	<0.001	ATP binding cassette subfamily A member 12
C9orf152	<0.001	chromosome 9 open reading frame 152
GNRH1	<0.001	gonadotropin releasing hormone 1
HPRT1	<0.001	hypoxanthine phosphoribosyltransferase 1
ZBTB42	<0.001	zinc finger and BTB domain containing 42
CRAT	<0.001	carnitine O-acetyltransferase
CDC6	<0.001	cell division cycle 6
PNMT	<0.001	phenylethanolamine N-methyltransferase
MED1	<0.001	mediator complex subunit 1
LAMTOR5	<0.001	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5
HRASLS2	<0.001	phospholipase A and acyltransferase 2
MLLT6	<0.001	MLLT6, PHD finger containing
CLCA2	<0.001	chloride channel accessory 2
GRB7	<0.001	growth factor receptor bound protein 7
CWC25	<0.001	CWC25 spliceosome associated protein homolog
CAPN13	<0.001	calpain 13
NR1D1	<0.001	nuclear receptor subfamily 1 group D member 1
NEUROD2	<0.001	neuronal differentiation 2
P2RY2	<0.001	purinergic receptor P2Y2
LRRC26	<0.001	leucine rich repeat containing 26
EXOSC5	<0.001	exosome component 5
RWDD3	<0.001	RWD domain containing 3
PGAP3	<0.001	post-GPI attachment to proteins phospholipase 3
TANC2	<0.001	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2
HPX	<0.001	hemopexin
ORMDL3	<0.001	ORMDL sphingolipid biosynthesis regulator 3
GSDMB	<0.001	gasdermin B
TFCP2L1	<0.001	transcription factor CP2 like 1
PHF12	<0.001	PHD finger protein 12
STARD3	<0.001	StAR related lipid transfer domain containing 3
MIEN1	<0.001	migration and invasion enhancer 1
IGLL1	<0.01	immunoglobulin lambda like polypeptide 1
CBLC	<0.01	Cbl proto-oncogene C
C7orf43	<0.01	trafficking protein particle complex subunit 14
MAST3	<0.01	microtubule associated serine/threonine kinase 3
PRTFDC1	<0.01	phosphoribosyl transferase domain containing 1
THAP11	<0.01	THAP domain containing 11
LFNG	<0.01	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
LRRC1	<0.01	leucine rich repeat containing 1
FBXO44	<0.01	F-box protein 44
ENAH	<0.01	ENAH actin regulator
CLDND1	<0.01	claudin domain containing 1
TMEM150C	<0.01	transmembrane protein 150C
SLC12A2	<0.01	solute carrier family 12 member 2
TP53I13	<0.01	tumor protein p53 inducible protein 13
ZNF576	<0.01	zinc finger protein 576
FAM131B	<0.01	family with sequence similarity 131 member B
TFF3	<0.01	trefoil factor 3
FAM21C	<0.01	WASH complex subunit 2C
C2orf54	<0.01	mab-21 like 4
TP53RK	<0.01	TP53 regulating kinase
SLC16A2	<0.01	solute carrier family 16 member 2
ITGB5	<0.01	integrin subunit beta 5
ARRDC2	<0.01	arrestin domain containing 2
SLC25A46	<0.01	solute carrier family 25 member 46
ATG3	<0.01	autophagy related 3
PPP3CC	<0.01	protein phosphatase 3 catalytic subunit gamma
NDOR1	<0.01	NADPH dependent diflavin oxidoreductase 1
ME2	<0.01	malic enzyme 2
SSB	<0.01	small RNA binding exonuclease protection factor La
NSMAF	<0.01	neutral sphingomyelinase activation associated factor
KIAA0100	<0.01	KIAA0100
BIK	<0.01	BCL2 interacting killer
RPL23P8	<0.01	ribosomal protein L23 pseudogene 8
EDAR	<0.01	ectodysplasin A receptor
ZNF91	<0.01	zinc finger protein 91
SDC1	<0.01	syndecan 1
TM7SF2	<0.01	transmembrane 7 superfamily member 2
LARS2	<0.01	leucyl-tRNA synthetase 2, mitochondrial
FYCO1	<0.01	FYVE and coiled-coil domain autophagy adaptor 1
KATNAL2	<0.01	katanin catalytic subunit A1 like 2
DHRS13	<0.01	dehydrogenase/reductase 13
SLC22A23	<0.01	solute carrier family 22 member 23
C2orf44	<0.01	WD repeat and coiled coil containing
KIAA1598	<0.01	shootin 1
FOXC1	<0.01	forkhead box C1
FAM24B	<0.01	family with sequence similarity 24 member B
RNF217	<0.01	ring finger protein 217
C9orf47	<0.01	sphingosine-1-phosphate receptor 3
EPGN	<0.01	epithelial mitogen
REEP6	<0.01	receptor accessory protein 6
ARHGAP32	<0.01	Rho GTPase activating protein 32
AMBP	<0.01	alpha-1-microglobulin/bikunin precursor
CPA3	<0.01	carboxypeptidase A3
EIF3E	<0.01	eukaryotic translation initiation factor 3 subunit E
FFAR2	<0.01	free fatty acid receptor 2
C9orf24	<0.01	chromosome 9 open reading frame 24
SCD	<0.01	stearoyl-CoA desaturase
RAB19	<0.01	RAB19, member RAS oncogene family
CLTC	<0.01	clathrin heavy chain
LYPD4	<0.01	LY6/PLAUR domain containing 4
RAPGEFL1	<0.01	Rap guanine nucleotide exchange factor like 1
ADCY3	<0.01	adenylate cyclase 3
ARCN1	<0.01	archain 1
FLOT2	<0.01	flotillin 2
SNHG6	<0.01	small nucleolar RNA host gene 6
ENG	<0.01	endoglin
INPP5J	<0.01	inositol polyphosphate-5-phosphatase J
PPIL2	<0.01	peptidylprolyl isomerase like 2
HNRNPA3	<0.01	heterogeneous nuclear ribonucleoprotein A3
SNED1	<0.01	sushi, nidogen and EGF like domains 1
PSCA	<0.01	prostate stem cell antigen
TGFB3	<0.01	transforming growth factor beta 3
XYLT2	<0.01	xylosyltransferase 2
SLC35F5	<0.01	solute carrier family 35 member F5
DDX6	<0.01	DEAD-box helicase 6
CRNKL1	<0.01	crooked neck pre-mRNA splicing factor 1
PTPN2	<0.01	protein tyrosine phosphatase non-receptor type 2
CUZD1	<0.01	CUB and zona pellucida like domains 1
C9orf40	<0.01	chromosome 9 open reading frame 40
C2CD2L	<0.01	C2CD2 like
ZNF486	<0.01	zinc finger protein 486
TOX3	<0.01	TOX high mobility group box family member 3
C8orf46	<0.01	vexin
ACVR1B	<0.01	activin A receptor type 1B
DDX20	<0.01	DEAD-box helicase 20
SLC39A14	<0.01	solute carrier family 39 member 14
ZNF609	<0.01	zinc finger protein 609
SEPTIN15	<0.01	
NHEJ1	<0.01	non-homologous end joining factor 1
TMEM63C	<0.01	transmembrane protein 63C
TARBP1	<0.01	TAR (HIV-1) RNA binding protein 1
ZBTB7C	<0.01	zinc finger and BTB domain containing 7C
MAGOH	<0.01	mago homolog, exon junction complex subunit
VSTM2L	<0.01	V-set and transmembrane domain containing 2 like
CISH	<0.01	cytokine inducible SH2 containing protein
TP53I11	<0.01	tumor protein p53 inducible protein 11
FBXL19-AS1	<0.01	FBXL19 antisense RNA 1
SLC34A1	<0.01	solute carrier family 34 member 1
SEMA3F	<0.01	semaphorin 3F
NUDT6	<0.01	nudix hydrolase 6
TECPR2	<0.01	tectonin beta-propeller repeat containing 2
PRR15L	<0.01	proline rich 15 like
ODC1	<0.01	ornithine decarboxylase 1
KLK15	<0.01	kallikrein related peptidase 15
NOB1	<0.01	NIN1 (RPN12) binding protein 1 homolog
GABRD	<0.01	gamma-aminobutyric acid type A receptor subunit delta
SYF2	<0.01	SYF2 pre-mRNA splicing factor
MFSD2A	<0.01	major facilitator superfamily domain containing 2A
MRPL10	<0.01	mitochondrial ribosomal protein L10
BCAS2	<0.01	BCAS2 pre-mRNA processing factor
GSTO1	<0.01	glutathione S-transferase omega 1
SREBF1	<0.01	sterol regulatory element binding transcription factor 1
CNTNAP2	<0.01	contactin associated protein 2
CCDC115	<0.01	coiled-coil domain containing 115
ASCC3	<0.01	activating signal cointegrator 1 complex subunit 3
RAB15	<0.01	RAB15, member RAS oncogene family
C2orf16	<0.01	chromosome 2 open reading frame 16
TIMM44	<0.01	translocase of inner mitochondrial membrane 44
AGR2	<0.01	anterior gradient 2, protein disulphide isomerase family member
OGG1	<0.01	8-oxoguanine DNA glycosylase
CXXC1	<0.01	CXXC finger protein 1
CD46	<0.01	CD46 molecule
HDAC5	<0.01	histone deacetylase 5
STT3B	<0.01	STT3 oligosaccharyltransferase complex catalytic subunit B
SRMS	<0.01	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites
GGTLC2	<0.01	gamma-glutamyltransferase light chain 2
ARHGAP8	<0.01	Rho GTPase activating protein 8
C11orf73	<0.01	heat shock protein nuclear import factor hikeshi
TNFAIP1	<0.01	TNF alpha induced protein 1
NBEAL1	<0.01	neurobeachin like 1
SMIM12	<0.01	small integral membrane protein 12
TRIT1	<0.01	tRNA isopentenyltransferase 1
SH2D7	<0.01	SH2 domain containing 7
PLEKHJ1	<0.01	pleckstrin homology domain containing J1
OTUB2	<0.01	OTU deubiquitinase, ubiquitin aldehyde binding 2
PTPRF	<0.01	protein tyrosine phosphatase receptor type F
TNRC18	<0.01	trinucleotide repeat containing 18
HNRNPR	<0.01	heterogeneous nuclear ribonucleoprotein R
PCDH20	<0.01	protocadherin 20
BEX2	<0.01	brain expressed X-linked 2
FAM110C	<0.01	family with sequence similarity 110 member C
LOC100996634	<0.01	
SNUPN	<0.01	snurportin 1
ERAL1	<0.01	Era like 12S mitochondrial rRNA chaperone 1
SDHD	<0.01	succinate dehydrogenase complex subunit D
SMARCE1	<0.01	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1
EDEM3	<0.01	ER degradation enhancing alpha-mannosidase like protein 3
C1orf109	<0.01	chromosome 1 open reading frame 109
RANGRF	<0.01	RAN guanine nucleotide release factor
WNT7B	<0.01	Wnt family member 7B
KLHL42	<0.01	kelch like family member 42
POLDIP2	<0.01	DNA polymerase delta interacting protein 2
ZNF789	<0.01	zinc finger protein 789
TAF6	<0.01	TATA-box binding protein associated factor 6
KRT18	<0.01	keratin 18
GPR98	<0.01	adhesion G protein-coupled receptor V1
MEIG1	<0.01	meiosis/spermiogenesis associated 1
RAB26	<0.01	RAB26, member RAS oncogene family
SYT17	<0.01	synaptotagmin 17
RAB3GAP2	<0.01	RAB3 GTPase activating non-catalytic protein subunit 2
C1orf54	<0.01	chromosome 1 open reading frame 54
BCAS1	<0.01	brain enriched myelin associated protein 1
DUSP2	<0.01	dual specificity phosphatase 2
RD3	<0.01	RD3 regulator of GUCY2D
GLTSCR2	<0.01	NOP53 ribosome biogenesis factor
DNAJC14	<0.01	DnaJ heat shock protein family (Hsp40) member C14
BRPF3	<0.01	bromodomain and PHD finger containing 3
RIMS1	<0.01	regulating synaptic membrane exocytosis 1
SLC9A6	<0.01	solute carrier family 9 member A6
NUPL2	<0.01	nucleoporin 42
CASP14	<0.01	caspase 14
ACSS1	<0.01	acyl-CoA synthetase short chain family member 1
PDXDC1	<0.01	pyridoxal dependent decarboxylase domain containing 1
KCTD9	<0.01	potassium channel tetramerization domain containing 9
GBF1	<0.01	golgi brefeldin A resistant guanine nucleotide exchange factor 1
TMEM159	<0.01	lipid droplet assembly factor 1
BCL2L1	<0.01	BCL2 like 1
SULT2B1	<0.01	sulfotransferase family 2B member 1
TPRN	<0.01	taperin
FAM57A	<0.01	TLC domain containing 3A
SPTLC3	<0.01	serine palmitoyltransferase long chain base subunit 3
ENTPD2	<0.01	ectonucleoside triphosphate diphosphohydrolase 2
TRIB3	<0.01	tribbles pseudokinase 3
CLPP	<0.01	caseinolytic mitochondrial matrix peptidase proteolytic subunit
PTPLAD1	<0.01	3-hydroxyacyl-CoA dehydratase 3
ROPN1	<0.01	rhophilin associated tail protein 1
C1orf216	<0.01	chromosome 1 open reading frame 216
BBS12	<0.01	Bardet-Biedl syndrome 12
USP1	<0.01	ubiquitin specific peptidase 1
SLMO1	<0.01	PRELI domain containing 3A
TMEM19	<0.01	transmembrane protein 19
PI4KA	<0.01	phosphatidylinositol 4-kinase alpha
PSMG2	<0.01	proteasome assembly chaperone 2
GTF2IRD1	<0.01	GTF2I repeat domain containing 1
RHPN1	<0.01	rhophilin Rho GTPase binding protein 1
UPF3B	<0.01	UPF3B regulator of nonsense mediated mRNA decay
ALDH3B2	<0.01	aldehyde dehydrogenase 3 family member B2
NAB1	<0.01	NGFI-A binding protein 1
SEMA6A	<0.01	semaphorin 6A
RAVER2	<0.01	ribonucleoprotein, PTB binding 2
IFT57	<0.01	intraflagellar transport 57
SLC7A8	<0.01	solute carrier family 7 member 8
NUFIP2	<0.01	nuclear FMR1 interacting protein 2
ATP2C2	<0.01	ATPase secretory pathway Ca2+ transporting 2
FZD4	<0.01	frizzled class receptor 4
PAPSS1	<0.01	3'-phosphoadenosine 5'-phosphosulfate synthase 1
SREBF2	<0.01	sterol regulatory element binding transcription factor 2
ERMP1	<0.01	endoplasmic reticulum metallopeptidase 1
CPD	<0.01	carboxypeptidase D
OR56A3	<0.01	olfactory receptor family 56 subfamily A member 3
SH2D4A	<0.01	SH2 domain containing 4A
ACBD7	<0.01	acyl-CoA binding domain containing 7
SAMD11	<0.01	sterile alpha motif domain containing 11
BAZ2A	<0.01	bromodomain adjacent to zinc finger domain 2A
DOLPP1	<0.01	dolichyldiphosphatase 1
TRIL	<0.01	TLR4 interactor with leucine rich repeats
QPRT	<0.01	quinolinate phosphoribosyltransferase
LEO1	<0.01	LEO1 homolog, Paf1/RNA polymerase II complex component
PTPN3	<0.01	protein tyrosine phosphatase non-receptor type 3
ABHD11	<0.01	abhydrolase domain containing 11
CD47	<0.01	CD47 molecule
CXCL17	<0.01	C-X-C motif chemokine ligand 17
RBBP8	<0.01	RB binding protein 8, endonuclease
SLC9A3R2	<0.01	SLC9A3 regulator 2
FAM19A3	<0.01	TAFA chemokine like family member 3
DPY19L2P2	<0.01	DPY19L2 pseudogene 2
C10orf90	<0.01	chromosome 10 open reading frame 90
MBP	<0.01	myelin basic protein
MS4A2	<0.01	membrane spanning 4-domains A2
GPR160	<0.01	G protein-coupled receptor 160
DNAJC22	<0.01	DnaJ heat shock protein family (Hsp40) member C22
NUDT4	<0.01	nudix hydrolase 4
SCARB2	<0.01	scavenger receptor class B member 2
GTF3C1	<0.01	general transcription factor IIIC subunit 1
CRISP3	<0.01	cysteine rich secretory protein 3
STK33	<0.01	serine/threonine kinase 33
ERGIC1	<0.01	endoplasmic reticulum-golgi intermediate compartment 1
DUSP4	<0.01	dual specificity phosphatase 4
SPTLC2	<0.01	serine palmitoyltransferase long chain base subunit 2
RIOK3	<0.01	RIO kinase 3
FA2H	<0.01	fatty acid 2-hydroxylase
TXNRD3	<0.01	thioredoxin reductase 3
STAT5A	<0.01	signal transducer and activator of transcription 5A
MYO1D	<0.01	myosin ID
IRS2	<0.01	insulin receptor substrate 2
MED21	<0.01	mediator complex subunit 21
MARVELD2	<0.01	MARVEL domain containing 2
LMX1B	<0.01	LIM homeobox transcription factor 1 beta
ANP32E	<0.01	acidic nuclear phosphoprotein 32 family member E
THNSL1	<0.01	threonine synthase like 1
DPP3	<0.01	dipeptidyl peptidase 3
PPP1R2P9	<0.01	PPP1R2C family member C
STARD7	<0.01	StAR related lipid transfer domain containing 7
RP9	<0.01	RP9 pre-mRNA splicing factor
OC90	<0.01	otoconin 90
LINC01341	<0.01	long intergenic non-protein coding RNA 1341
ARHGEF12	<0.01	Rho guanine nucleotide exchange factor 12
LOC145837	<0.01	
TMEM210	<0.01	transmembrane protein 210
ZNF157	<0.01	zinc finger protein 157
SAMD12	<0.01	sterile alpha motif domain containing 12
SLC39A9	<0.01	solute carrier family 39 member 9
CDKL5	<0.01	cyclin dependent kinase like 5
SON	<0.01	SON DNA and RNA binding protein
TMEM141	<0.01	transmembrane protein 141
EMG1	<0.01	EMG1 N1-specific pseudouridine methyltransferase
PP14571	<0.01	
LRFN2	<0.01	leucine rich repeat and fibronectin type III domain containing 2
ESRP2	<0.01	epithelial splicing regulatory protein 2
TTC19	<0.01	tetratricopeptide repeat domain 19
UBR1	<0.01	ubiquitin protein ligase E3 component n-recognin 1
CYP4Z1	<0.01	cytochrome P450 family 4 subfamily Z member 1
SLC39A11	<0.01	solute carrier family 39 member 11
SLC4A8	<0.01	solute carrier family 4 member 8
FNTA	<0.01	farnesyltransferase, CAAX box, alpha
NPNT	<0.01	nephronectin
S100A3	<0.01	S100 calcium binding protein A3
NR5A1	<0.01	nuclear receptor subfamily 5 group A member 1
DCAF15	<0.01	DDB1 and CUL4 associated factor 15
GTF2A1	<0.01	general transcription factor IIA subunit 1
DCAF4L1	<0.01	DDB1 and CUL4 associated factor 4 like 1
NFIX	<0.01	nuclear factor I X
CDC42BPB	<0.01	CDC42 binding protein kinase beta
CDH19	<0.01	cadherin 19
VPS39	<0.01	VPS39 subunit of HOPS complex
SDHC	<0.01	succinate dehydrogenase complex subunit C
TAC4	<0.01	tachykinin precursor 4
CNTLN	<0.01	centlein
OSBPL5	<0.01	oxysterol binding protein like 5
MB	<0.01	myoglobin
ZBTB7A	<0.01	zinc finger and BTB domain containing 7A
DIP2B	<0.01	disco interacting protein 2 homolog B
HOXC11	<0.01	homeobox C11
SLC9A1	<0.01	solute carrier family 9 member A1
PCGF6	<0.01	polycomb group ring finger 6
NFKBIB	<0.01	NFKB inhibitor beta
FBL	<0.01	fibrillarin
HP1BP3	<0.01	heterochromatin protein 1 binding protein 3
ADHFE1	<0.01	alcohol dehydrogenase iron containing 1
NXPH1	<0.01	neurexophilin 1
C1orf50	<0.01	chromosome 1 open reading frame 50
PMAIP1	<0.01	phorbol-12-myristate-13-acetate-induced protein 1
JKAMP	<0.01	JNK1/MAPK8 associated membrane protein
PRLR	<0.01	prolactin receptor
DLG3	<0.01	discs large MAGUK scaffold protein 3
CEBPG	<0.01	CCAAT enhancer binding protein gamma
SCAMP2	<0.01	secretory carrier membrane protein 2
PLXNB2	<0.01	plexin B2
MYC	<0.01	MYC proto-oncogene, bHLH transcription factor
SIDT1	<0.01	SID1 transmembrane family member 1
L3MBTL4	<0.01	L3MBTL histone methyl-lysine binding protein 4
MMP20	<0.01	matrix metallopeptidase 20
ZBED1	<0.01	zinc finger BED-type containing 1
PPP1R8	<0.01	protein phosphatase 1 regulatory subunit 8
MYBL1	<0.01	MYB proto-oncogene like 1
RPAP1	<0.01	RNA polymerase II associated protein 1
LOC730101	<0.01	uncharacterized LOC730101(LOC730101)
POGLUT1	<0.01	protein O-glucosyltransferase 1
NDUFS5	<0.01	NADH:ubiquinone oxidoreductase subunit S5
CHRNA3	<0.01	cholinergic receptor nicotinic alpha 3 subunit
UTP14C	<0.01	UTP14C small subunit processome component
MLPH	<0.01	melanophilin
RNF8	<0.01	ring finger protein 8
NLK	<0.01	nemo like kinase
GTF2B	<0.01	general transcription factor IIB
SGK3	<0.01	serum/glucocorticoid regulated kinase family member 3
FUBP3	<0.01	far upstream element binding protein 3
TOB1	<0.01	transducer of ERBB2, 1
MORN3	<0.01	MORN repeat containing 3
EPPK1	<0.01	epiplakin 1
SLC16A11	<0.01	solute carrier family 16 member 11
MYPN	<0.01	myopalladin
RP9P	<0.01	RP9 pseudogene
EXOG	<0.01	exo/endonuclease G
FJX1	<0.01	four-jointed box kinase 1
PRPSAP2	<0.01	phosphoribosyl pyrophosphate synthetase associated protein 2
POLR2J2	<0.01	RNA polymerase II subunit J2
SERPINB12	<0.01	serpin family B member 12
TBC1D23	<0.01	TBC1 domain family member 23
SRD5A3	<0.01	steroid 5 alpha-reductase 3
ZFAND2B	<0.01	zinc finger AN1-type containing 2B
HAUS1	<0.01	HAUS augmin like complex subunit 1
DPH2	<0.01	diphthamide biosynthesis 2
CCDC162P	<0.01	coiled-coil domain containing 162, pseudogene
RGMB	<0.01	repulsive guidance molecule BMP co-receptor b
RXRA	<0.01	retinoid X receptor alpha
EIF3K	<0.01	eukaryotic translation initiation factor 3 subunit K
LOC100131347	<0.01	
RNASEH2B	<0.01	ribonuclease H2 subunit B
SNX11	<0.01	sorting nexin 11
PBX1	<0.01	PBX homeobox 1
SRPK3	<0.01	SRSF protein kinase 3
TAOK1	<0.01	TAO kinase 1
GNL1	<0.01	G protein nucleolar 1 (putative)
CEPT1	<0.01	choline/ethanolamine phosphotransferase 1
CAB39L	<0.01	calcium binding protein 39 like
MIA3	<0.01	MIA SH3 domain ER export factor 3
VIPR1	<0.01	vasoactive intestinal peptide receptor 1
FIBCD1	<0.01	fibrinogen C domain containing 1
FAM102B	<0.01	family with sequence similarity 102 member B
NR1H2	<0.01	nuclear receptor subfamily 1 group H member 2
CMBL	<0.01	carboxymethylenebutenolidase homolog
ADCY6	<0.01	adenylate cyclase 6
CEACAM5	<0.01	CEA cell adhesion molecule 5
SLC37A1	<0.01	solute carrier family 37 member 1
CCDC6	<0.01	coiled-coil domain containing 6
MFAP3	<0.01	microfibril associated protein 3
UBA2	<0.01	ubiquitin like modifier activating enzyme 2
ELMO2	<0.01	engulfment and cell motility 2
RPS19	<0.01	ribosomal protein S19
GPATCH3	<0.01	G-patch domain containing 3
NCAPH2	<0.01	non-SMC condensin II complex subunit H2
FBXO7	<0.01	F-box protein 7
SBK1	<0.01	SH3 domain binding kinase 1
STS	<0.01	steroid sulfatase
SRF	<0.01	serum response factor
UBL7	<0.01	ubiquitin like 7
ADRA2C	<0.01	adrenoceptor alpha 2C
NDUFA11	<0.01	NADH:ubiquinone oxidoreductase subunit A11
OSBPL2	<0.01	oxysterol binding protein like 2
SGCB	<0.01	sarcoglycan beta
XRCC1	<0.01	X-ray repair cross complementing 1
BZW2	<0.01	basic leucine zipper and W2 domains 2
PTX3	<0.01	pentraxin 3
PROCA1	<0.01	protein interacting with cyclin A1
SF3A3	<0.01	splicing factor 3a subunit 3
KDM2B	<0.01	lysine demethylase 2B
RAB1B	<0.01	RAB1B, member RAS oncogene family
ADPRHL2	<0.01	ADP-ribosylserine hydrolase
MMGT1	<0.01	membrane magnesium transporter 1
PIGY	<0.01	phosphatidylinositol glycan anchor biosynthesis class Y
ZRANB2	<0.01	zinc finger RANBP2-type containing 2
ECHDC1	<0.01	ethylmalonyl-CoA decarboxylase 1
