Gene	Summed p values	Name
SREBF1	0.02345051956691115	sterol regulatory element binding transcription factor 1
OC90	0.023770895754660307	otoconin 90
A1BG-AS1	0.0239307791302858	A1BG antisense RNA 1
TMEM141	0.02421973144819817	transmembrane protein 141
CCDC73	0.02428214632868097	coiled-coil domain containing 73
ME2	0.02454402682704365	malic enzyme 2
TPRN	0.02468389697126304	taperin
SPINK8	0.02491471369971289	serine peptidase inhibitor Kazal type 8 (putative)
ARHGAP32	0.0250428086224676	Rho GTPase activating protein 32
LOC646903	0.025382723360416123	uncharacterized LOC646903(LOC646903)
KIAA2013	0.02552257100867371	KIAA2013
STL	0.025931218375551582	RNF217 antisense RNA 1 (head to head)
SERPINB12	0.026042126111749452	serpin family B member 12
LMX1B	0.026553943028590904	LIM homeobox transcription factor 1 beta
HAGLR	0.02659650405939312	HOXD antisense growth-associated long non-coding RNA
PRSS8	0.026657178283779247	serine protease 8
HPX	0.026676907369181605	hemopexin
EXOG	0.026846699026566806	exo/endonuclease G
CNTNAP2	0.027157740627094362	contactin associated protein 2
P2RY2	0.02743847880442603	purinergic receptor P2Y2
POLDIP2	0.02818581864161014	DNA polymerase delta interacting protein 2
TMEM159	0.028599142049605786	lipid droplet assembly factor 1
ABCA12	0.028710297335886953	ATP binding cassette subfamily A member 12
RP9	0.0289804526424403	RP9 pre-mRNA splicing factor
B4GALNT2	0.02959679647583539	beta-1,4-N-acetyl-galactosaminyltransferase 2
TMEM63B	0.030024005962646108	transmembrane protein 63B
C9orf53	0.030231738818915832	CDKN2A divergent transcript
RNASEH2B	0.030275100172997806	ribonuclease H2 subunit B
PI4KA	0.030613328703933847	phosphatidylinositol 4-kinase alpha
SLC39A14	0.030686556843392117	solute carrier family 39 member 14
DPP3	0.03070998015925523	dipeptidyl peptidase 3
CACFD1	0.03087716164390779	calcium channel flower domain containing 1
AARD	0.03136332003294976	alanine and arginine rich domain containing protein
PSCA	0.03139151115793444	prostate stem cell antigen
FLJ41278	0.03162453176517017	long intergenic non-protein coding RNA 2389
PBX1	0.03173863674750952	PBX homeobox 1
NELFE	0.031834693970829914	negative elongation factor complex member E
LYPD4	0.03183758326804304	LY6/PLAUR domain containing 4
ITGB6	0.03209799215858898	integrin subunit beta 6
WDR26	0.032201524321990194	WD repeat domain 26
MFSD2A	0.03243189791716653	major facilitator superfamily domain containing 2A
APMAP	0.03282678636965749	adipocyte plasma membrane associated protein
ECHDC1	0.0335281187208768	ethylmalonyl-CoA decarboxylase 1
PPP1R8	0.03368935361785891	protein phosphatase 1 regulatory subunit 8
XYLT2	0.033727887532677046	xylosyltransferase 2
SAMD12	0.03385152895733457	sterile alpha motif domain containing 12
TAOK1	0.03412183669818373	TAO kinase 1
AGBL1-AS1	0.03437504105450529	AGBL1 antisense RNA 1
AAED1	0.034427911851700584	peroxiredoxin like 2C
UBA2	0.03457925010888639	ubiquitin like modifier activating enzyme 2
PDCD5	0.034892457480045214	programmed cell death 5
FNTA	0.034897878349024164	farnesyltransferase, CAAX box, alpha
STXBP3	0.035186921269225145	syntaxin binding protein 3
PSMB3	0.035934685820438995	proteasome 20S subunit beta 3
EXO5	0.036409441352724815	exonuclease 5
EPN3	0.03658505578307838	epsin 3
ROPN1B	0.0371684468484447	rhophilin associated tail protein 1B
OSBPL2	0.037838286704344325	oxysterol binding protein like 2
GGCT	0.03821285171844331	gamma-glutamylcyclotransferase
CELF2-AS2	0.038371112058498094	CELF2 antisense RNA 2
LRP10	0.0385888408801402	LDL receptor related protein 10
PSIP1	0.03885424370882788	PC4 and SFRS1 interacting protein 1
FMO9P	0.0388722961557486	flavin containing dimethylaniline monoxygenase 9, pseudogene
KCNK1	0.03934233352474263	potassium two pore domain channel subfamily K member 1
MIR221	0.039378269216340925	microRNA 221
FRA10AC1	0.03947935751626885	FRA10A associated CGG repeat 1
DDI1	0.040137815208897226	DNA damage inducible 1 homolog 1
SGCB	0.04027330576898165	sarcoglycan beta
SNUPN	0.04056944901300636	snurportin 1
GAB1	0.04087261707167551	GRB2 associated binding protein 1
PRPSAP2	0.04089159638909528	phosphoribosyl pyrophosphate synthetase associated protein 2
TMEM97	0.040937906260391954	transmembrane protein 97
C2CD2L	0.041591222738510965	C2CD2 like
MARK2	0.042204642346673864	microtubule affinity regulating kinase 2
ING3	0.0425128881895593	inhibitor of growth family member 3
NUDT6	0.04289201108298075	nudix hydrolase 6
STS	0.0431728070391452	steroid sulfatase
SIX1	0.04317909080776475	SIX homeobox 1
C1orf109	0.04329208961522339	chromosome 1 open reading frame 109
ERRFI1	0.04356563228965417	ERBB receptor feedback inhibitor 1
HID1	0.043702968159177534	HID1 domain containing
NOB1	0.043775872883288665	NIN1 (RPN12) binding protein 1 homolog
PLEKHG4	0.043824326104007556	pleckstrin homology and RhoGEF domain containing G4
CPQ	0.04410928018832934	carboxypeptidase Q
LOC100270710	0.04417630883925068	
FAM214B	0.04420551580618955	family with sequence similarity 214 member B
MRPL34	0.04423218327486921	mitochondrial ribosomal protein L34
HNRNPLL	0.04443733398445328	heterogeneous nuclear ribonucleoprotein L like
SBK1	0.044647955528777414	SH3 domain binding kinase 1
LINC01021	0.04466128155790665	p53 upregulated regulator of p53 levels
COMMD2	0.04467869109727618	COMM domain containing 2
PPP1R1B	0.04513237897387777	protein phosphatase 1 regulatory inhibitor subunit 1B
SETD1B	0.04527191081596125	SET domain containing 1B, histone lysine methyltransferase
WIPF2	0.045301708632359536	WAS/WASL interacting protein family member 2
AP5S1	0.0460562923111388	adaptor related protein complex 5 subunit sigma 1
DBNDD2	0.04633382991386001	dysbindin domain containing 2
SLC9C1	0.04642832500825739	solute carrier family 9 member C1
ARHGAP8	0.046771524347201596	Rho GTPase activating protein 8
PCGF5	0.04700210460950315	polycomb group ring finger 5
FAM222B	0.04750691706867086	family with sequence similarity 222 member B
TMEM19	0.04804015418475107	transmembrane protein 19
ATP9A	0.04807417171083543	ATPase phospholipid transporting 9A (putative)
CASC3	0.04839251879178034	CASC3 exon junction complex subunit
CLTC	0.04865859711427706	clathrin heavy chain
C6orf25	0.04870855645714577	megakaryocyte and platelet inhibitory receptor G6b
POTEM	0.04908159421200554	POTE ankyrin domain family member M
HAUS1	0.0491662804119073	HAUS augmin like complex subunit 1
MAP3K7CL	0.04962628981451381	MAP3K7 C-terminal like
LINC00930	0.049824820372484625	long intergenic non-protein coding RNA 930
LOC100652824	0.049886763138747965	
CCSER2	0.05010885722452393	coiled-coil serine rich protein 2
LINC00265	0.0504240610058654	long intergenic non-protein coding RNA 265
BCAS2	0.05051917164336734	BCAS2 pre-mRNA processing factor
ZBTB7C	0.05088366626218134	zinc finger and BTB domain containing 7C
RIIAD1	0.05090801812740204	regulatory subunit of type II PKA R-subunit domain containing 1
DAG1	0.05095306199183338	dystroglycan 1
EIF4G1	0.05178540450495936	eukaryotic translation initiation factor 4 gamma 1
GAL3ST2	0.05180329859848962	galactose-3-O-sulfotransferase 2
CDRT4	0.05191646288172487	CMT1A duplicated region transcript 4
LINC01107	0.05206847172537096	long intergenic non-protein coding RNA 1107
LINC00313	0.05248662033707783	long intergenic non-protein coding RNA 313
RAPGEFL1	0.05255623254820202	Rap guanine nucleotide exchange factor like 1
MUC22	0.052636197859604106	mucin 22
SLC4A8	0.05263698234532782	solute carrier family 4 member 8
LOC100133091	0.054130371015420425	
SRSF2	0.054326149470102475	serine and arginine rich splicing factor 2
U2SURP	0.05489901851563812	U2 snRNP associated SURP domain containing
ZNF112	0.055077693032639055	zinc finger protein 112
KIAA1161	0.05541784474217026	myogenesis regulating glycosidase (putative)
KCNJ12	0.05560820479962452	potassium inwardly rectifying channel subfamily J member 12
FAM57A	0.056144165408009414	TLC domain containing 3A
TRAF4	0.056392323835694314	TNF receptor associated factor 4
RAP1A	0.05651334133242534	RAP1A, member of RAS oncogene family
SF3B6	0.05674743805252687	splicing factor 3b subunit 6
ZSCAN16-AS1	0.056749196812096	ZSCAN16 antisense RNA 1
KRTAP10-10	0.05675830302502932	keratin associated protein 10-10
TMEM178A	0.05772059049563448	transmembrane protein 178A
GABARAPL2	0.057776623199164615	GABA type A receptor associated protein like 2
NIFK	0.057843080251960804	nucleolar protein interacting with the FHA domain of MKI67
LOC643355	0.0580229978912923	
SPHK2	0.058255999894313626	sphingosine kinase 2
C6orf170	0.05827204996937779	TBC1 domain family member 32
MCTS2P	0.05830296931979161	MCTS family member 2
CWC25	0.05861108575835052	CWC25 spliceosome associated protein homolog
ZNF345	0.058725282377494234	zinc finger protein 345
MED30	0.05873129733400062	mediator complex subunit 30
AGXT	0.05880709817547304	alanine--glyoxylate and serine--pyruvate aminotransferase
ZNF232	0.05902051314751756	zinc finger protein 232
MTUS1	0.059154798584920995	microtubule associated scaffold protein 1
ODF2	0.05938891858277027	outer dense fiber of sperm tails 2
RPL23	0.059805049390173906	ribosomal protein L23
KIAA1324	0.05983878576310929	endosome-lysosome associated apoptosis and autophagy regulator 1
FOXA1	0.06001052322552305	forkhead box A1
FOXL1	0.060065772624540895	forkhead box L1
ZMIZ1	0.06022913239295834	zinc finger MIZ-type containing 1
CAAP1	0.060272272343191984	caspase activity and apoptosis inhibitor 1
USP1	0.06040653946100833	ubiquitin specific peptidase 1
ZFAND3	0.06056612517981849	zinc finger AN1-type containing 3
CEBPG	0.06088298090449921	CCAAT enhancer binding protein gamma
TMEM233	0.060977076364015594	transmembrane protein 233
CSTF3-AS1	0.06100202234510972	CSTF3 divergent transcript
MALSU1	0.06110068204470597	mitochondrial assembly of ribosomal large subunit 1
BROX	0.06203113370883441	BRO1 domain and CAAX motif containing
ATP2A2	0.06212076386540137	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
C17orf103	0.062213414587719756	N-acetyltransferase domain containing 1
FAM201A	0.062385787530541914	family with sequence similarity 201 member A
RAB13	0.06267992149684262	RAB13, member RAS oncogene family
CABS1	0.06272591375795203	calcium binding protein, spermatid associated 1
C3orf58	0.06275036385915911	divergent protein kinase domain 2A
ZBTB37	0.06395793324829602	zinc finger and BTB domain containing 37
SWSAP1	0.06447360234346228	SWIM-type zinc finger 7 associated protein 1
ANK3	0.06451377544939217	ankyrin 3
RWDD4	0.06454195060142352	RWD domain containing 4
SEMA4A	0.06484101213498811	semaphorin 4A
SYT12	0.06508573917082015	synaptotagmin 12
MLANA	0.06522799250116351	melan-A
TVP23C	0.06532850435942113	trans-golgi network vesicle protein 23 homolog C
PTK6	0.06555464006956147	protein tyrosine kinase 6
GABARAP	0.06599716491982195	GABA type A receptor-associated protein
PLEKHM1P	0.06643476696087389	pleckstrin homology and RUN domain containing M1 pseudogene 1
ARHGAP23	0.06660772151966496	Rho GTPase activating protein 23
RPL22	0.0667312365887264	ribosomal protein L22
UBE2D3	0.06782625913055236	ubiquitin conjugating enzyme E2 D3
LOC101927621	0.0681549871443694	
IFI35	0.06851621061082815	interferon induced protein 35
RAB1A	0.06887172462405444	RAB1A, member RAS oncogene family
CRISP3	0.06896258192765783	cysteine rich secretory protein 3
C2CD5	0.06917074680288997	C2 calcium dependent domain containing 5
PPP1R26	0.06920307428615977	protein phosphatase 1 regulatory subunit 26
RUSC1-AS1	0.0692805546838122	RUSC1 antisense RNA 1
RPAP1	0.06937803889078642	RNA polymerase II associated protein 1
ZW10	0.06939992189947122	zw10 kinetochore protein
DGKD	0.06950506987059762	diacylglycerol kinase delta
GTF3C1	0.0695900241613112	general transcription factor IIIC subunit 1
CCNB1IP1	0.07086138646535453	cyclin B1 interacting protein 1
TIRAP	0.07108135015220016	TIR domain containing adaptor protein
RHOF	0.07113085992625001	ras homolog family member F, filopodia associated
ST6GALNAC1	0.07119654007008984	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1
C10orf90	0.07121494455684571	chromosome 10 open reading frame 90
LINC01091	0.07131586640237424	long intergenic non-protein coding RNA 1091
LOC642846	0.07134393938444081	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11-like(LOC642846)
C1orf50	0.07142260128127942	chromosome 1 open reading frame 50
ACTL7A	0.07143409425898187	actin like 7A
LOC100507537	0.07167205505502774	
MLLT6	0.07174940846893797	MLLT6, PHD finger containing
RAB26	0.07216238358654174	RAB26, member RAS oncogene family
HSP90AB2P	0.07229252322842278	heat shock protein 90 alpha family class B member 2, pseudogene
LINC00612	0.07243765628207254	long intergenic non-protein coding RNA 612
ZDHHC11	0.07252051695180514	zinc finger DHHC-type containing 11
PPDPF	0.07274703423157383	pancreatic progenitor cell differentiation and proliferation factor
SRF	0.07286864536116627	serum response factor
DPH2	0.07311792935809003	diphthamide biosynthesis 2
RAVER2	0.07320966257562805	ribonucleoprotein, PTB binding 2
PAPSS1	0.07337094411016333	3'-phosphoadenosine 5'-phosphosulfate synthase 1
KDSR	0.07375806652352299	3-ketodihydrosphingosine reductase
LINC00665	0.0739381475687972	long intergenic non-protein coding RNA 665
MYLIP	0.0742383348626443	myosin regulatory light chain interacting protein
METTL5	0.07424188394499513	methyltransferase 5, N6-adenosine
DDR1	0.07460782695717379	discoidin domain receptor tyrosine kinase 1
DUSP10	0.07461569051361186	dual specificity phosphatase 10
GALNT10	0.07472133972645828	polypeptide N-acetylgalactosaminyltransferase 10
TMEM50A	0.07474211145854115	transmembrane protein 50A
MTA3	0.07474854588744295	metastasis associated 1 family member 3
TVP23B	0.07485998392539146	trans-golgi network vesicle protein 23 homolog B
DEPTOR	0.07540488960765228	DEP domain containing MTOR interacting protein
FAM122C	0.07555330036264697	PABIR family member 3
CPT1A	0.07594629725524386	carnitine palmitoyltransferase 1A
MRPL41	0.07600034116951263	mitochondrial ribosomal protein L41
LINC01102	0.07610851093866686	long intergenic non-protein coding RNA 1102
SLC7A8	0.07639117004921411	solute carrier family 7 member 8
RETSAT	0.07671989890773576	retinol saturase
UPF3B	0.07676427525854139	UPF3B regulator of nonsense mediated mRNA decay
MED24	0.07678570783407913	mediator complex subunit 24
PINK1	0.07697262568175138	PTEN induced kinase 1
BCL9L	0.07709759081455653	BCL9 like
MMGT1	0.07747182785616585	membrane magnesium transporter 1
MAU2	0.07787890608893636	MAU2 sister chromatid cohesion factor
WDR55	0.07790482533921415	WD repeat domain 55
GPR137B	0.07844956451221094	G protein-coupled receptor 137B
FAM166A	0.0787981963177631	family with sequence similarity 166 member A
EGFL7	0.07892625721971193	EGF like domain multiple 7
DAXX	0.07913508780967136	death domain associated protein
NYAP1	0.07931244284734265	neuronal tyrosine phosphorylated phosphoinositide-3-kinase adaptor 1
RPL19	0.07931791305817726	ribosomal protein L19
SERINC5	0.07934749980465773	serine incorporator 5
CRTC3	0.07960382170707045	CREB regulated transcription coactivator 3
TXNL4B	0.08002175417289065	thioredoxin like 4B
GTF2IRD1	0.08034170455673542	GTF2I repeat domain containing 1
LOC148709	0.08041538878431853	
MAN1B1	0.08041603739941332	mannosidase alpha class 1B member 1
ADHFE1	0.08058498218154646	alcohol dehydrogenase iron containing 1
C1QBP	0.0806075040244685	complement C1q binding protein
FAM156B	0.08067741085930843	family with sequence similarity 156 member B
SMIM11	0.08142824951837349	small integral membrane protein 11
EPPK1	0.08177733198430431	epiplakin 1
MRPS22	0.08190899828528533	mitochondrial ribosomal protein S22
CDC42EP2	0.0819599119089843	CDC42 effector protein 2
PCNXL4	0.08218353036951193	pecanex 4
LOC643387	0.08266555047061248	
LRRC34	0.08270611817167087	leucine rich repeat containing 34
CCDC115	0.08289205749777138	coiled-coil domain containing 115
MMP17	0.08307231624935439	matrix metallopeptidase 17
LYRM7	0.08361659189700815	LYR motif containing 7
F7	0.08364067318498714	coagulation factor VII
ERGIC2	0.08366320824832962	ERGIC and golgi 2
NT5DC3	0.08373950301732924	5'-nucleotidase domain containing 3
TMEM55A	0.08405580157033253	phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2
SGK3	0.08412608041942755	serum/glucocorticoid regulated kinase family member 3
OARD1	0.08416153060774093	O-acyl-ADP-ribose deacylase 1
WDR77	0.08417254706977381	WD repeat domain 77
RAB5C	0.08527562800118446	RAB5C, member RAS oncogene family
POF1B	0.08546423960789427	POF1B actin binding protein
DEK	0.08547153125723261	DEK proto-oncogene
INPP1	0.0857754720926889	inositol polyphosphate-1-phosphatase
KATNAL2	0.08584785587124348	katanin catalytic subunit A1 like 2
HDDC2	0.08623254477532885	HD domain containing 2
LINC01260	0.08623927919761298	long intergenic non-protein coding RNA 1260
PSMD3	0.08631167218167675	proteasome 26S subunit, non-ATPase 3
ZC3H6	0.08665840358671623	zinc finger CCCH-type containing 6
TMEM199	0.08665914793450119	transmembrane protein 199
CYP4Z2P	0.08672782647535161	cytochrome P450 family 4 subfamily Z member 2, pseudogene
PLK2	0.08678683264817358	polo like kinase 2
AGBL5	0.08679959285216302	AGBL carboxypeptidase 5
NHEJ1	0.08694389358159607	non-homologous end joining factor 1
ARHGAP21	0.08697259062713329	Rho GTPase activating protein 21
POR	0.08734165091693002	cytochrome p450 oxidoreductase
LINC01001	0.08762362597265175	long intergenic non-protein coding RNA 1001
GNG10	0.08787765156885792	G protein subunit gamma 10
LRTOMT	0.08807089913421498	leucine rich transmembrane and O-methyltransferase domain containing
IYD	0.08860086473207637	iodotyrosine deiodinase
FAM216A	0.0891242010093084	family with sequence similarity 216 member A
EIF1AX	0.08940437015693205	eukaryotic translation initiation factor 1A X-linked
DXO	0.08956372065453572	decapping exoribonuclease
POMGNT2	0.08969627593650045	protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)
POLR1E	0.08984614286142983	RNA polymerase I subunit E
ARMCX4	0.08994305144320805	armadillo repeat containing X-linked 4
TNFAIP1	0.09000378071263318	TNF alpha induced protein 1
LOC100132215	0.09060296661721269	
TMEM69	0.09148553022221172	transmembrane protein 69
ZASP	0.09161696491014314	LIM domain binding 3
MAGI3	0.09163001098043189	membrane associated guanylate kinase, WW and PDZ domain containing 3
FFAR2	0.09182913395031782	free fatty acid receptor 2
C9orf24	0.09242894897540567	chromosome 9 open reading frame 24
LOC730101	0.09258920132202637	uncharacterized LOC730101(LOC730101)
HP1BP3	0.09279088169120438	heterochromatin protein 1 binding protein 3
ZNF639	0.09296305376134816	zinc finger protein 639
TMEM150C	0.09321780744761114	transmembrane protein 150C
CACNB3	0.09340862296981509	calcium voltage-gated channel auxiliary subunit beta 3
EIF1B	0.09372848904327823	eukaryotic translation initiation factor 1B
NFU1	0.09383804869462947	NFU1 iron-sulfur cluster scaffold
PROM2	0.09461835678719047	prominin 2
CLDND1	0.09501122306699353	claudin domain containing 1
PRODH	0.09517661286262427	proline dehydrogenase 1
SLC7A11	0.09524325585935396	solute carrier family 7 member 11
KIFAP3	0.09542822163047325	kinesin associated protein 3
SDR42E1	0.0954389258484551	short chain dehydrogenase/reductase family 42E, member 1
CASP14	0.09561185784496534	caspase 14
ENO4	0.09580114254668427	enolase 4
RALBP1	0.0958453045546209	ralA binding protein 1
EIF5AL1	0.0960286261715339	eukaryotic translation initiation factor 5A like 1
FAM21C	0.09607778078554821	WASH complex subunit 2C
RSBN1	0.09653612241032189	round spermatid basic protein 1
RGS4	0.0965868673203744	regulator of G protein signaling 4
WDR83	0.09689177242965052	WD repeat domain 83
TNRC18	0.09700693426628436	trinucleotide repeat containing 18
MIR31HG	0.09716766793135925	MIR31 host gene
KIAA1598	0.09777905341820621	shootin 1
PRH1	0.0977940179960003	proline rich protein HaeIII subfamily 1
TBC1D30	0.09819232145305971	TBC1 domain family member 30
SDC1	0.0984110291735876	syndecan 1
ASUN	0.09859946904925823	integrator complex subunit 13
EFCAB9	0.09869586775361848	EF-hand calcium binding domain 9
UBALD1	0.09902361742320706	UBA like domain containing 1
TIFA	0.09987569704482424	TRAF interacting protein with forkhead associated domain
SOX18	0.09991813904774408	SRY-box transcription factor 18
AFF1	0.0999422444321379	AF4/FMR2 family member 1
CYLC1	0.10030414478236974	cylicin 1
RREB1	0.10060210077801099	ras responsive element binding protein 1
ADAMTSL2	0.10081770455716949	ADAMTS like 2
PNN	0.10084951523169078	pinin, desmosome associated protein
TIMM44	0.10132981739860579	translocase of inner mitochondrial membrane 44
CREG1	0.10144192461563716	cellular repressor of E1A stimulated genes 1
HECTD4	0.101796383262342	HECT domain E3 ubiquitin protein ligase 4
LOC100131289	0.10192312913496568	uncharacterized LOC100131289(LOC100131289)
TRIM40	0.10195050571882777	tripartite motif containing 40
PRR5-ARHGAP8	0.10195506246949909	PRR5-ARHGAP8 readthrough
BPIFA2	0.10204551046906495	BPI fold containing family A member 2
GRAMD4	0.10211113408895477	GRAM domain containing 4
