Gene	r	p
CCDC120	0.295	0.0009703861476663
FOXD4	0.295	0.0009707363884667
ALDH16A1	0.295	0.0009714163639009
ACSS1	0.295	0.0009717778256559
PSTK	-0.295	0.000973390674924
MIR4669	0.295	0.0009734712330998
RXRA	0.295	0.0009734712330998
ZNF232	-0.2949	0.0009768234887504
PAGR1	0.2948	0.0009794566854596
MVP	0.2948	0.0009794566854596
C14orf64	0.2947	0.0009831576739569
SRGAP1	0.2947	0.0009841249436282
POTEE	0.2947	0.000985720568271
TJP3	0.2945	0.000990858155872
SBK1	0.2943	0.0009985809830679
COPS3	-0.2942	0.0010062462191694
ZNF385A	0.2941	0.0010072187423092
CMC1	-0.294	0.0010127383200029
MARVELD2	0.2939	0.0010156973129716
ELK1	-0.2939	0.0010169728604774
LOC100268168	-0.2939	0.0010181124119132
PELI1	-0.2938	0.0010200356073973
TRIM40	-0.2938	0.0010210046112574
FJX1	-0.2937	0.0010248917819732
LINC00998	-0.2935	0.0010337405005553
LOC402160	-0.2934	0.0010387862457377
MYC	-0.2932	0.0010464716616801
CEACAM5	0.2931	0.0010519141834273
NUDCD3	0.2931	0.0010534174685346
TXNRD3NB	-0.293	0.0010562271497563
TXNRD3	-0.293	0.0010562271497563
TOX3	0.2926	0.0010715835757851
TMEM114	-0.2926	0.0010741918798849
PCGF6	-0.2926	0.0010756895757685
NOXA1	0.2924	0.0010845270378422
TIGD1	-0.2922	0.0010928566853555
MIR5001	-0.2922	0.0010928566853555
TRIL	0.2918	0.0011088044297887
USP2-AS1	-0.2918	0.0011111472432578
FAM95C	-0.2916	0.0011178102708833
PLAA	-0.2916	0.0011210392444141
CHRNG	-0.2913	0.0011308605607816
SPNS2	0.2913	0.0011330823766469
SPG20	-0.2913	0.0011349298263968
HSPB1	0.2912	0.0011375915542956
NDUFA10	-0.291	0.0011467557230647
OSBPL2	0.291	0.0011474332554348
NDUFB8	-0.2908	0.0011581841525946
FHDC1	0.2904	0.0011732186686244
VPS51	0.2899	0.0011977959278111
TM7SF2	0.2899	0.0011977959278111
PAK1IP1	-0.2897	0.0012093617224425
BLACAT1	-0.2896	0.0012168051807515
RGL2	0.2894	0.0012266114618273
XYLT2	0.2892	0.0012369740735503
PUS7	-0.2891	0.0012379256537481
OSBPL1A	-0.289	0.0012426075081686
KRBA1	0.289	0.0012472267643277
ZNF346	0.2889	0.0012512035834499
RAB19	0.2889	0.0012512807736647
TIPIN	-0.2888	0.0012536939129417
DSC3	-0.2887	0.0012594493234943
HEATR1	-0.2886	0.0012646019564469
FZD6	-0.2886	0.0012652638729098
FAM57A	-0.2885	0.0012708133215897
C8orf46	-0.2883	0.001279855685445
CNOT10	-0.2882	0.0012844362298244
GOLT1B	-0.2882	0.0012872894555288
PLEKHM1	0.2881	0.0012917325102194
MIR4315-2	0.2881	0.0012917325102194
EIF3E	-0.2879	0.0013023752572085
LRBA	0.2878	0.0013078222663874
IFRD1	-0.2878	0.0013094295752382
ANKRD30A	0.2877	0.0013145176008864
DYNC1LI1	-0.2875	0.0013252025083423
VBP1	-0.2874	0.0013272461461709
EPS8L1	0.2874	0.0013291176999079
RNF43	0.287	0.0013493105922798
GPR89B	-0.2869	0.0013541986690968
ZRANB2	-0.2868	0.0013616984046831
SLC25A37	-0.2866	0.0013695284464195
UBA2	-0.2866	0.001372876085588
PLCB3	0.2866	0.0013732753316744
MIR31HG	-0.2864	0.0013850476723223
CRISP3	0.2863	0.001387265108072
PLSCR2	-0.2862	0.0013961142962201
PALM	0.2859	0.0014110582768119
CMAS	-0.2859	0.0014124670582679
DQX1	0.2858	0.0014166648150496
OR51Q1	-0.2857	0.0014250163270264
SEMA6B	0.2856	0.0014305509203325
LINC00035	0.2855	0.0014331097090701
SMIM8	-0.2854	0.0014430503552432
LOC100130899	-0.2853	0.0014445952869467
ALG1L	0.2852	0.0014505624689128
DHRSX	0.285	0.0014660347917185
ZBED1	0.285	0.0014660347917185
SYNGR2	0.2849	0.0014675879626962
CIRH1A	-0.2847	0.0014837143634894
RGMB	0.2846	0.001485492775904
CCDC162P	0.2846	0.00148573834713
CYP39A1	-0.2845	0.0014951732143251
FAM66D	-0.2844	0.0015018444127632
SREBF2	0.2843	0.0015059051412786
AMBP	0.2843	0.0015081442363186
ARHGAP8	0.284	0.001523646614265
PRR5-ARHGAP8	0.284	0.001523646614265
PRR5	0.284	0.001523646614265
LARS2	0.284	0.0015240859775435
BIRC2	-0.284	0.0015248994712865
PSMG4	-0.284	0.0015259642075586
ACVR2B-AS1	-0.2839	0.0015286805862449
PRR12	0.2839	0.001528876851003
ABCG1	0.2837	0.0015394148283092
SIDT1	0.2836	0.0015493002018122
SLC26A2	-0.2835	0.0015542789354971
KCNJ11	0.2835	0.0015558324002921
SNORD124	0.2834	0.0015620945411692
TMEM141	0.2834	0.0015622528392134
VMA21	-0.2831	0.001576491910767
CATSPERB	0.283	0.0015861242368245
NRXN2	0.283	0.0015884177202808
KLHL42	-0.2829	0.0015942655254108
SRSF10	-0.2828	0.0015959064759111
CMBL	0.2827	0.0016058090147002
ARHGAP32	0.2826	0.0016141660514088
ROPN1	-0.2825	0.0016148139056225
SMIM12	-0.2825	0.0016193809617435
PROM2	0.2823	0.001633178435345
SUSD2	0.2821	0.0016412086111833
BRPF3	0.282	0.001648085320959
HSPA4L	-0.282	0.0016499992670453
CHRM3	-0.282	0.0016530638530297
LINC00265	0.2818	0.0016649149450764
ITGB8	-0.2817	0.0016712504625454
NFIX	-0.2817	0.0016727612876474
CAPN8	0.2816	0.0016785665226762
MIR3658	-0.2815	0.0016823929249014
UCK2	-0.2815	0.0016823929249014
ATP5L	-0.2815	0.0016858351268356
TMEM63B	0.2814	0.0016877498870506
UXT	-0.2813	0.0016960765337467
SNHG21	-0.2811	0.0017091720969336
CYSLTR1	0.2809	0.001722154404825
MRPL39	-0.2809	0.0017230831244682
CMC4	-0.2808	0.001730636530465
MTCP1	-0.2808	0.001730636530465
GIT1	0.2808	0.0017325371108513
C16orf46	-0.2807	0.0017353323237849
BTBD18	-0.2807	0.0017369649337727
ZNF91	0.2806	0.0017412929037509
PPARA	-0.2806	0.0017464599445139
NEK8	0.2805	0.0017494524419182
HORMAD1	-0.2805	0.0017506681665484
FETUB	0.2805	0.0017527604263728
GPR179	0.2804	0.0017564990166425
LEO1	0.2804	0.0017595493480421
DNAJB13	0.2802	0.0017716514644158
SRSF12	-0.2802	0.0017735517129348
SMARCE1	0.2801	0.0017813527786193
CHP1	0.28	0.0017835887404591
CTDSP1	0.28	0.0017886011987663
MIR4726	0.28	0.0017887235774177
ERN2	-0.28	0.0017887235774177
DEFA6	-0.28	0.0017887235774177
STPG2-AS1	-0.28	0.0017887235774177
ITIH6	0.2799	0.0017927400365098
RP9P	-0.2796	0.0018136611161439
PPIL2	0.2795	0.0018189724964094
CNNM1	-0.2794	0.0018310396750777
PTPRF	0.2793	0.0018363938817993
