Gene	Summed p values	Name
MYO18A	0.018565209279124504	myosin XVIIIA
APOBEC3A_B	0.018910172196518395	APOBEC3A and APOBEC3B deletion hybrid
SH3BP4	0.0189402629614642	SH3 domain binding protein 4
SEC16A	0.020426137803910276	SEC16 homolog A, endoplasmic reticulum export factor
SGSM3	0.02242073757284518	small G protein signaling modulator 3
PEX1	0.022842167885601943	peroxisomal biogenesis factor 1
ABCC5	0.02408715346673019	ATP binding cassette subfamily C member 5
CSTF3	0.024932454643992658	cleavage stimulation factor subunit 3
ZBED6	0.02611685758601609	zinc finger BED-type containing 6
TM9SF3	0.026284076244555726	transmembrane 9 superfamily member 3
MAL2	0.026783438806743783	mal, T cell differentiation protein 2
RHBDD2	0.027140299922327627	rhomboid domain containing 2
RARA	0.027212605802738776	retinoic acid receptor alpha
VMP1	0.027405590813004425	vacuole membrane protein 1
FREM2	0.028591235399461127	FRAS1 related extracellular matrix 2
DCUN1D4	0.029647511772097065	defective in cullin neddylation 1 domain containing 4
C17orf62	0.029880728207676795	cytochrome b-245 chaperone 1
B4GALT7	0.02991969718448139	beta-1,4-galactosyltransferase 7
ACOT8	0.03026092213021217	acyl-CoA thioesterase 8
ITGA9	0.030283561640696018	integrin subunit alpha 9
TBCB	0.030322826820442395	tubulin folding cofactor B
RAB3GAP1	0.03058952503513563	RAB3 GTPase activating protein catalytic subunit 1
RPA1	0.031928116654300884	replication protein A1
VKORC1L1	0.03242304890887232	vitamin K epoxide reductase complex subunit 1 like 1
C7orf43	0.032462145826692025	trafficking protein particle complex subunit 14
SEC22B	0.03264078987395441	SEC22 homolog B, vesicle trafficking protein
CSNK1G3	0.03344241347259099	casein kinase 1 gamma 3
MIA3	0.033535262108190966	MIA SH3 domain ER export factor 3
PNKD	0.03473821985631925	PNKD metallo-beta-lactamase domain containing
LRRC59	0.035259659541163696	leucine rich repeat containing 59
FASN	0.03567095584191998	fatty acid synthase
CORO2A	0.03571672514573399	coronin 2A
HDAC9	0.03771631678781755	histone deacetylase 9
SRCIN1	0.03825693350744353	SRC kinase signaling inhibitor 1
GPCPD1	0.040727266007113454	glycerophosphocholine phosphodiesterase 1
FAM109A	0.04073758862951743	PH domain containing endocytic trafficking adaptor 1
ZNF865	0.04123271446766832	zinc finger protein 865
ANP32E	0.04127222215963123	acidic nuclear phosphoprotein 32 family member E
RAB3GAP2	0.04135642026245116	RAB3 GTPase activating non-catalytic protein subunit 2
SLC2A10	0.042913726780533214	solute carrier family 2 member 10
G3BP2	0.043782549301389084	G3BP stress granule assembly factor 2
ERGIC1	0.043900891229236204	endoplasmic reticulum-golgi intermediate compartment 1
GRAMD4	0.044543045294870416	GRAM domain containing 4
SARS	0.04459162998718546	seryl-tRNA synthetase 1
ABHD16A	0.0449483303505637	abhydrolase domain containing 16A, phospholipase
S100P	0.0450094431931959	S100 calcium binding protein P
XPR1	0.04706678739945809	xenotropic and polytropic retrovirus receptor 1
CC2D2A	0.047245366900827875	coiled-coil and C2 domain containing 2A
TMEM184B	0.047796889901069464	transmembrane protein 184B
RTFDC1	0.048009208527999586	replication termination factor 2
SLC16A7	0.04873509763519746	solute carrier family 16 member 7
ASCC2	0.04877494696357562	activating signal cointegrator 1 complex subunit 2
ADAM8	0.049156502657464865	ADAM metallopeptidase domain 8
ZDHHC8	0.049668217419798	zinc finger DHHC-type palmitoyltransferase 8
ARHGEF10L	0.050134831083185505	Rho guanine nucleotide exchange factor 10 like
MCRIP1	0.05035410744251869	MAPK regulated corepressor interacting protein 1
FAM84B	0.05141032852526961	LRAT domain containing 2
DERL1	0.05400145184325941	derlin 1
GOLGA5	0.0546931668480119	golgin A5
B9D1	0.055075154054497234	B9 domain containing 1
FAM129B	0.05524942658272815	niban apoptosis regulator 2
ATL3	0.05541386634836296	atlastin GTPase 3
PI4KB	0.05555103706344189	phosphatidylinositol 4-kinase beta
RPA2	0.05574988614849122	replication protein A2
BTF3	0.05598380693388779	basic transcription factor 3
IGF2R	0.05603756784726738	insulin like growth factor 2 receptor
SPTLC3	0.057205631227109234	serine palmitoyltransferase long chain base subunit 3
AR	0.057219481382104684	androgen receptor
IGFLR1	0.05775229060010056	IGF like family receptor 1
BIRC6	0.05789303293887973	baculoviral IAP repeat containing 6
SARS2	0.058190544002951664	seryl-tRNA synthetase 2, mitochondrial
ASNA1	0.05827782971391295	guided entry of tail-anchored proteins factor 3, ATPase
HSP90AA1	0.0584165903652407	heat shock protein 90 alpha family class A member 1
CCDC106	0.05854610653881024	coiled-coil domain containing 106
RALA	0.05893786129960121	RAS like proto-oncogene A
NBEAL2	0.06060905217053039	neurobeachin like 2
TRIM4	0.06106361237330145	tripartite motif containing 4
SLC9A8	0.06230958440130581	solute carrier family 9 member A8
MARVELD2	0.06290021468746429	MARVEL domain containing 2
VTI1B	0.06369087363172389	vesicle transport through interaction with t-SNAREs 1B
SH2D4A	0.06400915456559086	SH2 domain containing 4A
CASC4	0.06462621066036209	golgi membrane protein 2
DNAJC6	0.06513058013688597	DnaJ heat shock protein family (Hsp40) member C6
ITGB3	0.06586844998991231	integrin subunit beta 3
RPAIN	0.06600362225839917	RPA interacting protein
TNKS1BP1	0.0660706353088085	tankyrase 1 binding protein 1
SPOP	0.06681548314270623	speckle type BTB/POZ protein
TFAP2E	0.06701326747385551	transcription factor AP-2 epsilon
SH3BP5L	0.06728783019116714	SH3 binding domain protein 5 like
PPP1CA	0.06738957909744424	protein phosphatase 1 catalytic subunit alpha
DFFA	0.06780017835941467	DNA fragmentation factor subunit alpha
STARD9	0.06794717891163521	StAR related lipid transfer domain containing 9
GON7	0.06945915102237929	GON7 subunit of KEOPS complex
GOLGA2	0.06959858964343758	golgin A2
GTPBP3	0.07020243173974763	GTP binding protein 3, mitochondrial
NBL1	0.07032235408292078	NBL1, DAN family BMP antagonist
FBXL18	0.07055349867919623	F-box and leucine rich repeat protein 18
VEZT	0.07087842922325711	vezatin, adherens junctions transmembrane protein
ATP2C1	0.07141466673980067	ATPase secretory pathway Ca2+ transporting 1
RSBN1	0.07172697599528585	round spermatid basic protein 1
GNPNAT1	0.07187220187772894	glucosamine-phosphate N-acetyltransferase 1
ZBTB38	0.07246548769431534	zinc finger and BTB domain containing 38
QPCT	0.0731030627793047	glutaminyl-peptide cyclotransferase
C16orf58	0.07445662521044544	RUS family member 1
ZSCAN29	0.07454257716748595	zinc finger and SCAN domain containing 29
RIPK1	0.07613695791455247	receptor interacting serine/threonine kinase 1
CFAP44	0.07647344751410581	cilia and flagella associated protein 44
ASRGL1	0.07656998678325574	asparaginase and isoaspartyl peptidase 1
LSS	0.07674609531014955	lanosterol synthase
LGALS8	0.07689595898132806	galectin 8
SPINT1	0.07717362472929261	serine peptidase inhibitor, Kunitz type 1
ZNF787	0.07728186336795112	zinc finger protein 787
FAM221A	0.07747598378372063	family with sequence similarity 221 member A
COL28A1	0.07755996863583851	collagen type XXVIII alpha 1 chain
CAND2	0.07770077623657504	cullin associated and neddylation dissociated 2 (putative)
PLEKHS1	0.07826049567215154	pleckstrin homology domain containing S1
HDAC5	0.07839951525510475	histone deacetylase 5
QPRT	0.07840834334228448	quinolinate phosphoribosyltransferase
DOPEY2	0.07858908771698483	DOP1 leucine zipper like protein B
RHOB	0.07881704266031281	ras homolog family member B
PLCH2	0.07884514392438466	phospholipase C eta 2
BCAP29	0.07888597868993935	B cell receptor associated protein 29
TMEM87B	0.07919007901312763	transmembrane protein 87B
CSNK1D	0.07968489724037475	casein kinase 1 delta
TSPAN15	0.08061163553633782	tetraspanin 15
PLCB3	0.08102490665185208	phospholipase C beta 3
ABCC4	0.08126461019659209	ATP binding cassette subfamily C member 4
PIN1	0.08186732499032492	peptidylprolyl cis/trans isomerase, NIMA-interacting 1
PLIN5	0.08318873206187419	perilipin 5
NOL4L	0.08373038137429517	nucleolar protein 4 like
CSTF1	0.08441935070792811	cleavage stimulation factor subunit 1
TRIM47	0.08465456895169796	tripartite motif containing 47
KATNAL2	0.08501704487616801	katanin catalytic subunit A1 like 2
PPP2R5E	0.0853407870712207	protein phosphatase 2 regulatory subunit B'epsilon
RANBP9	0.0854405367739675	RAN binding protein 9
N4BP2L1	0.08718576334232621	NEDD4 binding protein 2 like 1
DNAJC8	0.0875755216164267	DnaJ heat shock protein family (Hsp40) member C8
KCNH5	0.0880817104782572	potassium voltage-gated channel subfamily H member 5
GCN1	0.08848638147376187	GCN1 activator of EIF2AK4
MLPH	0.08850128007499046	melanophilin
ZC3H7B	0.088510306800819	zinc finger CCCH-type containing 7B
RING1	0.08898685695948391	ring finger protein 1
SLC35B3	0.08979115251688344	solute carrier family 35 member B3
ELK3	0.09051150806800654	ETS transcription factor ELK3
ZNF398	0.0909287395523751	zinc finger protein 398
RPA3	0.09095705602195953	replication protein A3
GOLGA1	0.09264412270540735	golgin A1
ARF1	0.09324460368622743	ADP ribosylation factor 1
SCAP	0.09379538573326862	SREBF chaperone
CCZ1	0.09388421867530813	CCZ1 homolog, vacuolar protein trafficking and biogenesis associated
CHRDL1	0.09390057154053778	chordin like 1
ACACA	0.09391305563198363	acetyl-CoA carboxylase alpha
STXBP3	0.09471416723754662	syntaxin binding protein 3
PCSK6	0.09489577235913775	proprotein convertase subtilisin/kexin type 6
ITFG2	0.0952135082576306	integrin alpha FG-GAP repeat containing 2
MIER2	0.09551010053416362	MIER family member 2
EME1	0.09688929793216144	essential meiotic structure-specific endonuclease 1
ZNF226	0.09694079108248184	zinc finger protein 226
MAGT1	0.09737511604049945	magnesium transporter 1
ANKRD52	0.0975053222435877	ankyrin repeat domain 52
CRLF1	0.09770085107079651	cytokine receptor like factor 1
SUB1	0.09850171674315661	SUB1 regulator of transcription
RFX3	0.09874124098152673	regulatory factor X3
PIK3C2B	0.09916876941009366	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta
LMNB2	0.09922240579187823	lamin B2
C19orf47	0.10022321334556507	chromosome 19 open reading frame 47
PDE8B	0.10046053161259823	phosphodiesterase 8B
ADIPOR1	0.10087458001852116	adiponectin receptor 1
TRPC1	0.10096131233495538	transient receptor potential cation channel subfamily C member 1
SYT17	0.1011136241615872	synaptotagmin 17
PCP2	0.10141379883232055	Purkinje cell protein 2
KAZN	0.10339510415366482	kazrin, periplakin interacting protein
CLCN3	0.10398255229454884	chloride voltage-gated channel 3
CCDC58	0.1050482588557933	mitochondrial matrix import factor 23
ZNF22	0.10517736967968203	zinc finger protein 22
ATP2C2	0.10579847241164964	ATPase secretory pathway Ca2+ transporting 2
CSNK2A1	0.10781668276699843	casein kinase 2 alpha 1
YPEL5	0.10792547526248085	yippee like 5
BNIP1	0.10827562718778971	BCL2 interacting protein 1
PRADC1	0.10831640212671026	protease associated domain containing 1
CEP162	0.10834107952995986	centrosomal protein 162
HMGCS1	0.10851054267611389	3-hydroxy-3-methylglutaryl-CoA synthase 1
TSHZ3	0.10873270078112808	teashirt zinc finger homeobox 3
FUBP3	0.10985331567746083	far upstream element binding protein 3
ARL6IP6	0.11050671791636218	ADP ribosylation factor like GTPase 6 interacting protein 6
ESRP2	0.11052862901292423	epithelial splicing regulatory protein 2
NAB1	0.1107390568855566	NGFI-A binding protein 1
PRPF39	0.11154850367270315	pre-mRNA processing factor 39
ACBD3	0.11160424570571002	acyl-CoA binding domain containing 3
JMJD4	0.11200296116787477	jumonji domain containing 4
PRPS2	0.11239364710169403	phosphoribosyl pyrophosphate synthetase 2
TNIK	0.11286794073858832	TRAF2 and NCK interacting kinase
KIAA1755	0.11309900346018151	KIAA1755
NOMO2	0.11310286853435603	NODAL modulator 2
WFS1	0.11474300251074088	wolframin ER transmembrane glycoprotein
TOP2A	0.11476690137438278	DNA topoisomerase II alpha
KIAA1161	0.11561270237521742	myogenesis regulating glycosidase (putative)
SCYL2	0.11576728120584666	SCY1 like pseudokinase 2
ARRDC1	0.1171346926278999	arrestin domain containing 1
RYR3	0.11754914713288112	ryanodine receptor 3
ITGAV	0.11860671862568921	integrin subunit alpha V
FAM168B	0.11874546583044093	family with sequence similarity 168 member B
RBM15B	0.11940894412708843	RNA binding motif protein 15B
FAM193B	0.11962607605007247	family with sequence similarity 193 member B
CBX1	0.12033207441934046	chromobox 1
KIAA2012	0.1206666088259688	KIAA2012
KIDINS220	0.1209802057397071	kinase D interacting substrate 220
KIAA1549	0.12105246461939156	KIAA1549
SKOR1	0.12131709703523076	SKI family transcriptional corepressor 1
SUGP1	0.1218766483948145	SURP and G-patch domain containing 1
MYC	0.1219257840050442	MYC proto-oncogene, bHLH transcription factor
TPRN	0.12248614934848537	taperin
CHMP7	0.1227418567797888	charged multivesicular body protein 7
EIF5	0.12387673594544427	eukaryotic translation initiation factor 5
TCEB3	0.1242200091883365	elongin A
CCDC85C	0.12435258507135526	coiled-coil domain containing 85C
FRMD4B	0.12450181042192762	FERM domain containing 4B
HDLBP	0.12456436951715916	high density lipoprotein binding protein
GBF1	0.12551808841575257	golgi brefeldin A resistant guanine nucleotide exchange factor 1
DEGS2	0.12644116221211377	delta 4-desaturase, sphingolipid 2
FAM133A	0.12671149066699633	family with sequence similarity 133 member A
MECR	0.12763108305812523	mitochondrial trans-2-enoyl-CoA reductase
FHOD1	0.12796936910211698	formin homology 2 domain containing 1
ATP2A2	0.12804808325020844	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
OSBPL2	0.12856065070052383	oxysterol binding protein like 2
STX6	0.12901850169463563	syntaxin 6
C5orf15	0.12976232342365565	chromosome 5 open reading frame 15
TRIP12	0.13047575751066542	thyroid hormone receptor interactor 12
HSPA4L	0.13078728066406267	heat shock protein family A (Hsp70) member 4 like
PPP6R3	0.13137944828343023	protein phosphatase 6 regulatory subunit 3
ZCCHC17	0.1317575702515546	zinc finger CCHC-type containing 17
PCDHB8	0.13211970733115738	protocadherin beta 8
FOXK2	0.13264373847063468	forkhead box K2
RFXANK	0.13295116134524518	regulatory factor X associated ankyrin containing protein
LSM8	0.13366607189729954	LSM8 homolog, U6 small nuclear RNA associated
ZW10	0.1340881771909825	zw10 kinetochore protein
PET117	0.1343904873608806	PET117 cytochrome c oxidase chaperone
ASPH	0.13454961219567912	aspartate beta-hydroxylase
C19orf70	0.13472554527128486	mitochondrial contact site and cristae organizing system subunit 13
CCDC94	0.13496652703630355	YJU2 splicing factor homolog
UNK	0.13545059297249346	unk zinc finger
LY86	0.13571666346815933	lymphocyte antigen 86
TXNRD3	0.13659892020863654	thioredoxin reductase 3
DNAI2	0.1366608601562863	dynein axonemal intermediate chain 2
JPH3	0.1367986916695596	junctophilin 3
COMT	0.13707037494691948	catechol-O-methyltransferase
FAM160B1	0.1370822019901375	FHF complex subunit HOOK interacting protein 2A
PIGH	0.13753580836512674	phosphatidylinositol glycan anchor biosynthesis class H
ADGRV1	0.13772280429092354	adhesion G protein-coupled receptor V1
OSBPL5	0.1377957704321897	oxysterol binding protein like 5
ZFHX2	0.1389840838977295	zinc finger homeobox 2
GSK3B	0.1392815214499094	glycogen synthase kinase 3 beta
ARFGAP1	0.13928160864001704	ADP ribosylation factor GTPase activating protein 1
COL4A5	0.1397667779064388	collagen type IV alpha 5 chain
SH2B1	0.14028858209414	SH2B adaptor protein 1
CD177	0.1407882131446286	CD177 molecule
RAD23A	0.1412737040348382	RAD23 homolog A, nucleotide excision repair protein
C1QBP	0.1413463505308335	complement C1q binding protein
LSM14B	0.14135767737642077	LSM family member 14B
SLC25A1	0.14160434074324305	solute carrier family 25 member 1
ORAOV1	0.1416497240111425	LTO1 maturation factor of ABCE1
CROT	0.1420960685782595	carnitine O-octanoyltransferase
CKM	0.14250033097582926	creatine kinase, M-type
TRPT1	0.1426015430564127	tRNA phosphotransferase 1
RARG	0.1427666091228371	retinoic acid receptor gamma
MLLT1	0.14360043945665182	MLLT1 super elongation complex subunit
CANX	0.14396898239368935	calnexin
MARCHF1	0.14422782870025208	membrane associated ring-CH-type finger 1
SCD	0.14447786746468524	stearoyl-CoA desaturase
HRAS	0.14490723104287612	HRas proto-oncogene, GTPase
COX20	0.14498624654542366	cytochrome c oxidase assembly factor COX20
SREBF1	0.14564366788267263	sterol regulatory element binding transcription factor 1
NDOR1	0.14610525983117673	NADPH dependent diflavin oxidoreductase 1
RAB11B	0.1463769809915929	RAB11B, member RAS oncogene family
TM9SF2	0.14645864088283517	transmembrane 9 superfamily member 2
NRDC	0.14671526524152306	nardilysin convertase
ARHGAP24	0.14815490785372198	Rho GTPase activating protein 24
TM7SF2	0.14944599086554944	transmembrane 7 superfamily member 2
LRRC58	0.14990723460317362	leucine rich repeat containing 58
ZNF451	0.14992492003017882	zinc finger protein 451
GPX4	0.15010573689558998	glutathione peroxidase 4
ATP5S	0.15087655665023453	distal membrane arm assembly component 2 like
RFFL	0.15125143594088208	ring finger and FYVE like domain containing E3 ubiquitin protein ligase
ASCC1	0.15208186609423605	activating signal cointegrator 1 complex subunit 1
ZCCHC2	0.15250722436910188	zinc finger CCHC-type containing 2
FCGR3A	0.15291655923761707	Fc gamma receptor IIIa
PM20D2	0.15331381118848114	peptidase M20 domain containing 2
LILRB3	0.153844036356167	leukocyte immunoglobulin like receptor B3
NUDCD3	0.15516089245118103	NudC domain containing 3
PLEKHA6	0.1554570869622736	pleckstrin homology domain containing A6
VPS45	0.15691831572597242	vacuolar protein sorting 45 homolog
SOX12	0.15712742628464266	SRY-box transcription factor 12
LENG8	0.15752362434984682	leukocyte receptor cluster member 8
DAGLB	0.15802713169415716	diacylglycerol lipase beta
ZNF444	0.15819673867477393	zinc finger protein 444
LNPK	0.1585840345137633	lunapark, ER junction formation factor
TNFSF12-TNFSF13	0.1591317520357011	TNFSF12-TNFSF13 readthrough
USP40	0.15913914496529533	ubiquitin specific peptidase 40
PIGT	0.15939589527128736	phosphatidylinositol glycan anchor biosynthesis class T
CARD14	0.15950440605447422	caspase recruitment domain family member 14
EPS8L1	0.15986813531926916	EPS8 like 1
FANCG	0.15993524685552468	FA complementation group G
HAPLN1	0.16027619220823153	hyaluronan and proteoglycan link protein 1
ASCC3	0.16031974268442442	activating signal cointegrator 1 complex subunit 3
MRPL42	0.16036315252752492	mitochondrial ribosomal protein L42
KARS	0.1607630545311123	lysyl-tRNA synthetase 1
DLGAP4	0.16118276444878615	DLG associated protein 4
YIPF5	0.16160808321225148	Yip1 domain family member 5
NR2C2AP	0.16322355768119987	nuclear receptor 2C2 associated protein
ARHGAP21	0.16368860924133558	Rho GTPase activating protein 21
USP3	0.1638157062917144	ubiquitin specific peptidase 3
TRNAU1AP	0.16472375479366833	tRNA selenocysteine 1 associated protein 1
AMACR	0.16487553497615637	alpha-methylacyl-CoA racemase
MAP2K2	0.16498022262285586	mitogen-activated protein kinase kinase 2
ACSM3	0.1660574915339678	acyl-CoA synthetase medium chain family member 3
SCARA3	0.1662210737820078	scavenger receptor class A member 3
CASP3	0.166459758265103	caspase 3
PEX11B	0.16801921374910955	peroxisomal biogenesis factor 11 beta
MYOM2	0.16836675870688828	myomesin 2
ADGB	0.1687001868184847	androglobin
PLXNB2	0.16880578625563364	plexin B2
B3GNTL1	0.1691753279982011	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1
RAVER2	0.16935837101858908	ribonucleoprotein, PTB binding 2
MBOAT2	0.1697546655005358	membrane bound O-acyltransferase domain containing 2
ITFG1	0.16982920144363517	integrin alpha FG-GAP repeat containing 1
PRIMPOL	0.1714028852164498	primase and DNA directed polymerase
KRT73	0.17226276963210566	keratin 73
LITAF	0.17250077287263085	lipopolysaccharide induced TNF factor
TRAPPC3	0.1725099576302942	trafficking protein particle complex subunit 3
PTOV1	0.17297331360409685	PTOV1 extended AT-hook containing adaptor protein
PDCD4	0.17424377966485288	programmed cell death 4
CADPS2	0.17425367448318807	calcium dependent secretion activator 2
LOXL4	0.17468498139981437	lysyl oxidase like 4
PALM3	0.17476637950168	paralemmin 3
PAFAH1B1	0.1773143387698171	platelet activating factor acetylhydrolase 1b regulatory subunit 1
FAM83H	0.1775704570216501	family with sequence similarity 83 member H
RAB27B	0.17803230404670725	RAB27B, member RAS oncogene family
NFIX	0.17806803728147946	nuclear factor I X
RPL32	0.17868718593090746	ribosomal protein L32
MICAL2	0.17903427010454992	microtubule associated monooxygenase, calponin and LIM domain containing 2
FAM213A	0.17919665181007663	peroxiredoxin like 2A
STX16	0.17980527582757494	syntaxin 16
SPAG7	0.18000491504664634	sperm associated antigen 7
KIAA1551	0.1801125815215297	retroelement silencing factor 1
MAVS	0.18021739399225953	mitochondrial antiviral signaling protein
TMEM230	0.18079684779230892	transmembrane protein 230
YES1	0.18351421114920893	YES proto-oncogene 1, Src family tyrosine kinase
ABL2	0.18355236740768893	ABL proto-oncogene 2, non-receptor tyrosine kinase
DDHD1	0.1836535224916269	DDHD domain containing 1
THNSL1	0.18432587733200093	threonine synthase like 1
PKHD1	0.18450982390852227	PKHD1 ciliary IPT domain containing fibrocystin/polyductin
SGF29	0.1847114305112754	SAGA complex associated factor 29
GALNT3	0.18483300997495797	polypeptide N-acetylgalactosaminyltransferase 3
TAOK1	0.18500656265500992	TAO kinase 1
SLC38A1	0.1850804154595526	solute carrier family 38 member 1
ACBD7	0.18535201544740054	acyl-CoA binding domain containing 7
LUC7L	0.185727692487435	LUC7 like
WRAP73	0.18590595968416085	WD repeat containing, antisense to TP73
ATAD1	0.18598369707368992	ATPase family AAA domain containing 1
TFDP2	0.18606336822204628	transcription factor Dp-2
FMC1	0.1861276796800285	formation of mitochondrial complex V assembly factor 1 homolog
TCAF1	0.18703994385574924	TRPM8 channel associated factor 1
METTL10	0.18713452077949844	EEF1A lysine methyltransferase 2
SDHAF3	0.187165087930262	succinate dehydrogenase complex assembly factor 3
WDR82	0.18835106848439043	WD repeat domain 82
ING5	0.18864676940063485	inhibitor of growth family member 5
SURF4	0.1896465840041485	surfeit 4
AGPAT3	0.1896835276344635	1-acylglycerol-3-phosphate O-acyltransferase 3
EIF4G1	0.1898084187675539	eukaryotic translation initiation factor 4 gamma 1
GPRC5A	0.1898725392194891	G protein-coupled receptor class C group 5 member A
RPAP1	0.19054918098082557	RNA polymerase II associated protein 1
POMGNT2	0.19113349783209319	protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)
TEP1	0.19126525078041862	telomerase associated protein 1
SCYL3	0.19150562902369322	SCY1 like pseudokinase 3
G6PD	0.19193080464580026	glucose-6-phosphate dehydrogenase
ADPRHL2	0.1921372504960786	ADP-ribosylserine hydrolase
RRAGC	0.19348918736532444	Ras related GTP binding C
SEC13	0.19380223126937132	SEC13 homolog, nuclear pore and COPII coat complex component
GTF3C2	0.1939763621613455	general transcription factor IIIC subunit 2
CCDC82	0.1942933322569072	coiled-coil domain containing 82
HM13	0.19437535947713408	histocompatibility minor 13
HDHD2	0.19465398461594222	haloacid dehalogenase like hydrolase domain containing 2
CLTC	0.1954001457870625	clathrin heavy chain
CDH2	0.19574660260183846	cadherin 2
TNFAIP1	0.19586714615694215	TNF alpha induced protein 1
OGT	0.19587676342194027	O-linked N-acetylglucosamine (GlcNAc) transferase
DHRS4	0.1960208208412885	dehydrogenase/reductase 4
ACOX1	0.1970200211243985	acyl-CoA oxidase 1
ACYP1	0.19734449455629927	acylphosphatase 1
OTUB2	0.1976527944560032	OTU deubiquitinase, ubiquitin aldehyde binding 2
PTPA	0.19788928421358024	protein phosphatase 2 phosphatase activator
USP38	0.19869127069354117	ubiquitin specific peptidase 38
MAGOHB	0.19906693543339823	mago homolog B, exon junction complex subunit
TMEM165	0.19910095488366153	transmembrane protein 165
NTN1	0.19934017965035372	netrin 1
DDB2	0.19939473372712913	damage specific DNA binding protein 2
